id,condition,scale,n_items,score
11,Neutral,EMP,3,3
11,Neutral,NORM,3,3
11,Neutral,NAR,3,3
11,Neutral,CTRL1,1,5
11,Neutral,CTRL2,1,5
11,Empathy,EMP,3,5
11,Empathy,NORM,3,1
11,Empathy,NAR,3,1
11,Empathy,CTRL1,1,1
11,Empathy,CTRL2,1,1
11,Social Norm,EMP,3,1
11,Social Norm,NORM,3,5
11,Social Norm,NAR,3,1
11,Social Norm,CTRL1,1,5
11,Social Norm,CTRL2,1,5
11,Narrative,EMP,3,1
11,Narrative,NORM,3,1
11,Narrative,NAR,3,5
11,Narrative,CTRL1,1,5
11,Narrative,CTRL2,1,5
13,Neutral,EMP,3,1
13,Neutral,NORM,3,1
13,Neutral,NAR,3,1
13,Neutral,CTRL1,1,3
13,Neutral,CTRL2,1,5
13,Empathy,EMP,3,5
13,Empathy,NORM,3,1
13,Empathy,NAR,3,1.3333333333333333
13,Empathy,CTRL1,1,4
13,Empathy,CTRL2,1,5
13,Social Norm,EMP,3,1
13,Social Norm,NORM,3,5
13,Social Norm,NAR,3,1
13,Social Norm,CTRL1,1,5
13,Social Norm,CTRL2,1,5
13,Narrative,EMP,3,1
13,Narrative,NORM,3,1
13,Narrative,NAR,3,5
13,Narrative,CTRL1,1,5
13,Narrative,CTRL2,1,5
15,Neutral,EMP,3,1.6666666666666667
15,Neutral,NORM,3,1.3333333333333333
15,Neutral,NAR,3,1.6666666666666667
15,Neutral,CTRL1,1,2
15,Neutral,CTRL2,1,4
15,Empathy,EMP,3,3.6666666666666665
15,Empathy,NORM,3,2
15,Empathy,NAR,3,2
15,Empathy,CTRL1,1,3
15,Empathy,CTRL2,1,4
15,Social Norm,EMP,3,3
15,Social Norm,NORM,3,5
15,Social Norm,NAR,3,2.3333333333333335
15,Social Norm,CTRL1,1,4
15,Social Norm,CTRL2,1,4
15,Narrative,EMP,3,4
15,Narrative,NORM,3,3.6666666666666665
15,Narrative,NAR,3,4.666666666666667
15,Narrative,CTRL1,1,4
15,Narrative,CTRL2,1,4
17,Neutral,EMP,3,2.3333333333333335
17,Neutral,NORM,3,4
17,Neutral,NAR,3,2
17,Neutral,CTRL1,1,3
17,Neutral,CTRL2,1,5
17,Empathy,EMP,3,3.6666666666666665
17,Empathy,NORM,3,2.3333333333333335
17,Empathy,NAR,3,2.6666666666666665
17,Empathy,CTRL1,1,4
17,Empathy,CTRL2,1,5
17,Social Norm,EMP,3,3
17,Social Norm,NORM,3,4.333333333333333
17,Social Norm,NAR,3,3.3333333333333335
17,Social Norm,CTRL1,1,3
17,Social Norm,CTRL2,1,5
17,Narrative,EMP,3,3.3333333333333335
17,Narrative,NORM,3,4
17,Narrative,NAR,3,3.6666666666666665
17,Narrative,CTRL1,1,3
17,Narrative,CTRL2,1,5
18,Neutral,EMP,3,1
18,Neutral,NORM,3,3.3333333333333335
18,Neutral,NAR,3,1.6666666666666667
18,Neutral,CTRL1,1,2
18,Neutral,CTRL2,1,5
18,Empathy,EMP,3,2
18,Empathy,NORM,3,1.6666666666666667
18,Empathy,NAR,3,4.333333333333333
18,Empathy,CTRL1,1,3
18,Empathy,CTRL2,1,5
18,Social Norm,EMP,3,2
18,Social Norm,NORM,3,5
18,Social Norm,NAR,3,2.3333333333333335
18,Social Norm,CTRL1,1,4
18,Social Norm,CTRL2,1,5
18,Narrative,EMP,3,2.6666666666666665
18,Narrative,NORM,3,2
18,Narrative,NAR,3,5
18,Narrative,CTRL1,1,3
18,Narrative,CTRL2,1,5
19,Neutral,EMP,3,3
19,Neutral,NORM,3,1.6666666666666667
19,Neutral,NAR,3,2
19,Neutral,CTRL1,1,2
19,Neutral,CTRL2,1,5
19,Empathy,EMP,3,4.666666666666667
19,Empathy,NORM,3,2
19,Empathy,NAR,3,4.333333333333333
19,Empathy,CTRL1,1,3
19,Empathy,CTRL2,1,5
19,Social Norm,EMP,3,2.3333333333333335
19,Social Norm,NORM,3,4
