id,condition,scale,item_num,item_id,score
11,Empathy,EMP,1,EMP_1,5
11,Empathy,EMP,2,EMP_2,5
11,Empathy,EMP,3,EMP_3,5
11,Empathy,NORM,4,NORM_4,1
11,Empathy,NORM,5,NORM_5,1
11,Empathy,NORM,6,NORM_6,1
11,Empathy,NAR,7,NAR_7,1
11,Empathy,NAR,8,NAR_8,1
11,Empathy,NAR,9,NAR_9,1
11,Empathy,CTRL1,10,CTRL1_10,1
11,Empathy,CTRL2,11,CTRL2_11,1
11,Narrative,EMP,1,EMP_1,1
11,Narrative,EMP,2,EMP_2,1
11,Narrative,EMP,3,EMP_3,1
11,Narrative,NORM,4,NORM_4,1
11,Narrative,NORM,5,NORM_5,1
11,Narrative,NORM,6,NORM_6,1
11,Narrative,NAR,7,NAR_7,5
11,Narrative,NAR,8,NAR_8,5
11,Narrative,NAR,9,NAR_9,5
11,Narrative,CTRL1,10,CTRL1_10,5
11,Narrative,CTRL2,11,CTRL2_11,5
11,Neutral,EMP,1,EMP_1,3
11,Neutral,EMP,2,EMP_2,3
11,Neutral,EMP,3,EMP_3,3
11,Neutral,NORM,4,NORM_4,3
11,Neutral,NORM,5,NORM_5,3
11,Neutral,NORM,6,NORM_6,3
11,Neutral,NAR,7,NAR_7,3
11,Neutral,NAR,8,NAR_8,3
11,Neutral,NAR,9,NAR_9,3
11,Neutral,CTRL1,10,CTRL1_10,5
11,Neutral,CTRL2,11,CTRL2_11,5
11,Social Norm,EMP,1,EMP_1,1
11,Social Norm,EMP,2,EMP_2,1
11,Social Norm,EMP,3,EMP_3,1
11,Social Norm,NORM,4,NORM_4,5
11,Social Norm,NORM,5,NORM_5,5
11,Social Norm,NORM,6,NORM_6,5
11,Social Norm,NAR,7,NAR_7,1
11,Social Norm,NAR,8,NAR_8,1
11,Social Norm,NAR,9,NAR_9,1
11,Social Norm,CTRL1,10,CTRL1_10,5
11,Social Norm,CTRL2,11,CTRL2_11,5
13,Empathy,EMP,1,EMP_1,5
13,Empathy,EMP,2,EMP_2,5
