id,position,page_label
11,1,1
11,2,2
11,3,3
11,4,4
13,1,3
13,2,2
13,3,4
13,4,1
15,1,2
15,2,3
15,3,4
15,4,1
17,1,3
17,2,1
17,3,4
17,4,2
18,1,1
18,2,3
18,3,2
18,4,4
19,1,1
19,2,3
19,3,4
19,4,2
21,1,3
21,2,2
21,3,4
21,4,1
22,1,2
22,2,4
22,3,3
22,4,1
23,1,3
23,2,4
23,3,2
23,4,1
24,1,2
24,2,3
24,3,1
24,4,4
25,1,2
25,2,3
25,3,4
25,4,1
34,1,3
34,2,1
34,3,4
34,4,2
37,1,2
37,2,1
37,3,3
37,4,4
40,1,2
40,2,4
40,3,1
40,4,3
43,1,3
43,2,4
43,3,1
43,4,2
45,1,1
45,2,2
45,3,4
45,4,3
46,1,3
46,2,2
46,3,1
46,4,4
48,1,3
48,2,1
48,3,2
48,4,4
50,1,3
50,2,1
50,3,4
50,4,2
51,1,3
51,2,4
51,3,2
51,4,1
53,1,4
53,2,3
53,3,2
53,4,1
55,1,3
55,2,2
55,3,1
55,4,4
56,1,1
56,2,3
56,3,4
56,4,2
57,1,4
57,2,2
57,3,3
57,4,1
