# ----------------------------------------
# Namibia Water Crisis
# Untitled exploration-Free form 1
# 20260702-20260707
# ----------------------------------------

Session manual ad content,Country,City,Region,Engaged sessions,Engagement rate,User engagement,Engaged sessions per active user,Sessions,Average session duration
,,,,16,0.5517241379310345,584,0.64,29,56.51332293103448,Grand total
(not set),Germany,(removed for privacy),(removed for privacy),2,0.6666666666666666,8,2,3,9.939560333333333
empathy_1,Namibia,(removed for privacy),(removed for privacy),2,1,25,1,2,16.9940975
empathy_2,Namibia,(removed for privacy),(removed for privacy),2,0.6666666666666666,63,0.6666666666666666,3,125.23392799999999
narrative_2,Namibia,(removed for privacy),(removed for privacy),2,0.4,84,0.5,5,20.1910616
neutral_2,Namibia,(removed for privacy),(removed for privacy),2,0.6666666666666666,120,0.6666666666666666,3,69.05058666666666
social_norm_2,Namibia,(removed for privacy),(removed for privacy),2,1,135,1,2,341.9795375
empathy_2,South Africa,(removed for privacy),(removed for privacy),1,1,31,1,1,37.231399
empathy_3,Namibia,(removed for privacy),(removed for privacy),1,1,16,1,1,22.350615
neutral_3,Germany,(removed for privacy),(removed for privacy),1,1,0,0,1,15.32648
social_norm_1,Namibia,(removed for privacy),(removed for privacy),1,1,102,1,1,109.572825
(not set),United States,(removed for privacy),(removed for privacy),0,0,0,0,1,8.411143
narrative_1,Namibia,(removed for privacy),(removed for privacy),0,0,0,0,1,5.382712
narrative_3,Namibia,(removed for privacy),(removed for privacy),0,0,0,0,1,0
social_norm_2,Namibia,(removed for privacy),(removed for privacy),0,0,0,0,1,0
social_norm_3,Germany,(removed for privacy),(removed for privacy),0,0,0,0,1,0
social_norm_3,Namibia,(removed for privacy),(removed for privacy),0,0,0,0,2,4.518194

