round,condition,ad_name,comment_text,timestamp,timestamp_precision,ig_relative_marker,is_reply,non_textual,source,media_id
round2,empathy,WC_empathy_3,Stop lying it was raining almost everyday,2026-07-05T07:35:00+0000,api_exact,,False,False,graph_api,18318122473263179
round2,empathy,WC_empathy_3,You think we don't know what you're doing,2026-07-05T02:45:20+0000,api_exact,,False,False,graph_api,18318122473263179
round2,empathy,WC_empathy_3,What does that actually mean,2026-07-05T02:44:21+0000,api_exact,,False,False,graph_api,18318122473263179
round2,empathy,WC_empathy_3,.,2026-07-03T07:22:08+0000,api_exact,,False,False,graph_api,18318122473263179
round2,empathy,WC_empathy_1,Walk hours to find it?,2026-07-05T20:01:18+0000,api_exact,,False,False,graph_api,18539359177073761
round2,empathy,WC_empathy_1,"Namibia's worst drought occurred in 2018/9. This year, we have had one of the best rainfalls we've experienced in decades and the dams overflowed with so much water, that they had to open the dam to release some of it due to capacity problems.",2026-07-04T06:10:45+0000,api_exact,,False,False,graph_api,18539359177073761
round2,empathy,WC_empathy_1,@C0722 please make accurate statements 🙏,2026-07-04T06:11:03+0000,api_exact,,True,False,graph_api,18539359177073761
round2,empathy,WC_empathy_1,"""Was""",2026-07-02T22:19:14+0000,api_exact,,False,False,graph_api,18539359177073761
round2,neutral,WC_neutral_3,Ngiini…,2026-07-03,approx_from_relative,6d,,False,business_suite,18033179213810429
round2,neutral,WC_neutral_2,Etolls,2026-07-04,approx_from_relative,5d,,False,business_suite,18124943956727104
round2,neutral,WC_neutral_1,The worst drought we faced was back in 2018/9,2026-07-04,approx_from_relative,5d,,False,business_suite,17996142284992535
round2,neutral,WC_neutral_1,@C0722 Namibia has had one of the largest rainfall it has seen this year compared to the past decade actually. Lets be more factual🙏,2026-07-04,approx_from_relative,5d,,False,business_suite,17996142284992535
round2,narrative,WC_narrative_1,𝚆𝚑𝚢 𝚞 𝚕𝚢𝚒𝚗𝚐,2026-07-03T16:20:57+0000,api_exact,,False,False,graph_api,18156511501467951
round2,narrative,WC_narrative_1,That is not true,2026-07-02T20:32:22+0000,api_exact,,False,False,graph_api,18156511501467951
round2,social_norm,WC_socialnorm_1,Making us look arahm eche 😢 😭,2026-07-03T19:03:45+0000,api_exact,,False,False,graph_api,17885483415597337
round2,social_norm,WC_socialnorm_3,Lies,2026-07-05T18:31:40+0000,api_exact,,False,False,graph_api,18108473242947075
round2,narrative,WC_narrative_2,lol Namibia’s dams are overflowing with water🤣 dam lever risen to 100+,2026-07-04T16:56:32+0000,api_exact,,False,False,graph_api,18007123853748833
round2,narrative,WC_narrative_2,"Last year and this year we had  good rain, but we don't need it in a concrete jungle do we?",2026-07-03T11:49:11+0000,api_exact,,False,False,graph_api,18007123853748833
round2,narrative,WC_narrative_2,,2026-07-02T03:23:22+0000,api_exact,,False,True,graph_api,18007123853748833
round2,narrative,WC_narrative_3,Who is telling you these lies.🤔,2026-07-04T23:04:37+0000,api_exact,,False,False,graph_api,18596221729002119
round2,narrative,WC_narrative_3,"Me watching this in 2026, drinking water in Namibia",2026-07-04T20:25:50+0000,api_exact,,False,False,graph_api,18596221729002119
round2,narrative,WC_narrative_3,But we got oil,2026-07-04T15:28:42+0000,api_exact,,False,False,graph_api,18596221729002119
round2,narrative,WC_narrative_3,I live in namibia,2026-07-02T14:40:53+0000,api_exact,,False,False,graph_api,18596221729002119
round1,neutral,WC_neutral_1,"I ain't update to date about what's really happening. There should be different types of water fetching techniques introduced. We hardly have reservoirs, wells within them farmers, communal settlement areas, and out of reach areas that struggle with water. The majority of water pumps out of the dams to serve its purpose on farmland, communal spaces, urban and rural areas. That itself is an issue as the nation still depends on the sole purpose of Dams and not resulting in possible solutions of fetching water differently or looking for options that work best for the area affected.",2026-06-25,approx_from_relative,2w,,False,business_suite,18167455981433925
round1,neutral,WC_neutral_1,This is a lie 🤥,2026-06-25,approx_from_relative,2w,,False,business_suite,18167455981433925
round1,neutral,WC_neutral_1,I come from Namibia 🇳🇦,2026-06-25,approx_from_relative,2w,,False,business_suite,18167455981433925
round1,neutral,WC_neutral_1,Oh shi,2026-06-25,approx_from_relative,2w,,False,business_suite,18167455981433925
round1,neutral,WC_neutral_2,Stooooop lying,2026-06-25,approx_from_relative,2w,,False,business_suite,18120934552737340
round1,empathy,WC_empathy_1,Whaaaaaaat???? Who told you this nonsense?😳😳😳😳 Heeeeeyyy muuhn. Stop lying,2026-06-25,approx_from_relative,2w,,False,business_suite,18114100955510236
round1,empathy,WC_empathy_1,Why would you lie like this?,2026-06-25,approx_from_relative,2w,,False,business_suite,18114100955510236
