idx,stance,language,local_authority
1,disputing,english,0
2,disputing,english,0
3,questioning,english,0
4,noncodeable,na,0
5,questioning,english,0
6,disputing,english,1
7,disputing,english,0
8,disputing,english,0
9,questioning,oshiwambo_local,0
10,noncodeable,english,0
11,disputing,english,1
12,disputing,english,1
13,disputing,english,0
14,disputing,english,0
15,disputing,mixed,1
16,disputing,english,0
17,disputing,english,0
18,disputing,english,0
19,noncodeable,na,0
20,disputing,english,0
21,disputing,english,0
22,other,english,0
23,other,english,1
24,qualifying,english,1
25,disputing,english,0
26,other,english,1
27,other,english,0
28,disputing,english,0
29,disputing,english,0
30,disputing,english,0
31,disputing,english,0
32,disputing,english,0
33,disputing,english,0
34,supporting,english,1
35,disputing,english,1
36,questioning,english,0
37,noncodeable,na,0
38,disputing,english,0
39,noncodeable,na,0
40,other,english,0
41,qualifying,english,0
42,disputing,english,0
43,other,english,0
44,qualifying,english,1
45,qualifying,english,1
46,qualifying,english,1
47,disputing,english,0
48,disputing,english,0
49,disputing,english,1
50,disputing,english,0
51,disputing,afrikaans,0
52,noncodeable,na,0
53,questioning,english,0
54,supporting,english,1
55,qualifying,english,1
56,other,english,0
57,disputing,english,1
58,questioning,english,0
59,disputing,english,0
60,noncodeable,oshiwambo_local,0
61,disputing,english,1
62,disputing,oshiwambo_local,0
63,noncodeable,na,0
64,disputing,english,0
65,disputing,afrikaans,1
66,questioning,english,0
67,other,english,0
68,disputing,english,0
69,noncodeable,na,0
70,other,afrikaans,0
71,qualifying,english,1
