round,date,ad_name,impressions,reach,link_clicks,spend
2,2026-07-02,WC_neutral_1,2709,2675,5,1.13
2,2026-07-02,WC_neutral_2,2790,2771,11,1.13
2,2026-07-02,WC_neutral_3,2825,2821,7,1.17
2,2026-07-02,WC_empathy_1,2496,2484,10,1.16
2,2026-07-02,WC_empathy_2,2879,2816,3,1.1
2,2026-07-02,WC_empathy_3,2906,2874,4,1.14
2,2026-07-02,WC_socialnorm_1,2634,2576,15,1.22
2,2026-07-02,WC_socialnorm_2,2824,2751,5,1.12
2,2026-07-02,WC_socialnorm_3,2660,2585,12,1.14
2,2026-07-02,WC_narrative_1,2269,2198,6,1.13
2,2026-07-02,WC_narrative_2,2766,2736,7,1.14
2,2026-07-02,WC_narrative_3,2825,2723,10,1.18
2,2026-07-03,WC_neutral_1,4293,4218,12,2.24
2,2026-07-03,WC_neutral_2,4175,4175,18,2.21
2,2026-07-03,WC_neutral_3,4054,3928,14,2.17
2,2026-07-03,WC_empathy_1,4042,3984,11,2.18
2,2026-07-03,WC_empathy_2,4893,4661,13,2.24
2,2026-07-03,WC_empathy_3,4763,4660,16,2.17
2,2026-07-03,WC_socialnorm_1,4114,4042,17,2.16
2,2026-07-03,WC_socialnorm_2,4345,4273,20,2.27
2,2026-07-03,WC_socialnorm_3,4152,3858,15,2.11
2,2026-07-03,WC_narrative_1,3622,3614,11,2.24
2,2026-07-03,WC_narrative_2,4377,4345,16,2.25
2,2026-07-03,WC_narrative_3,4328,4240,17,2.18
2,2026-07-04,WC_neutral_1,3602,3544,13,2.16
2,2026-07-04,WC_neutral_2,3544,3527,13,2.11
2,2026-07-04,WC_neutral_3,3446,3446,9,2.11
2,2026-07-04,WC_empathy_1,3590,3590,14,2.11
2,2026-07-04,WC_empathy_2,4591,4439,17,2.25
2,2026-07-04,WC_empathy_3,4251,4206,22,2.25
2,2026-07-04,WC_socialnorm_1,3715,3702,8,2.02
2,2026-07-04,WC_socialnorm_2,3590,3527,14,2.09
2,2026-07-04,WC_socialnorm_3,3845,3809,7,2.14
2,2026-07-04,WC_narrative_1,3399,3354,15,2.19
2,2026-07-04,WC_narrative_2,4136,4081,17,2.28
2,2026-07-04,WC_narrative_3,3586,3585,14,2.1
2,2026-07-05,WC_neutral_1,3498,3452,20,2.2
2,2026-07-05,WC_neutral_2,4112,4112,8,2.21
2,2026-07-05,WC_neutral_3,3577,3572,12,2.21
2,2026-07-05,WC_empathy_1,3579,3579,19,2.19
2,2026-07-05,WC_empathy_2,4221,4116,8,2.04
2,2026-07-05,WC_empathy_3,3725,3657,16,2.09
2,2026-07-05,WC_socialnorm_1,4173,3994,16,2.21
2,2026-07-05,WC_socialnorm_2,3677,3661,19,2.16
2,2026-07-05,WC_socialnorm_3,4145,4072,8,2.17
2,2026-07-05,WC_narrative_1,2983,2983,18,2.12
2,2026-07-05,WC_narrative_2,3551,3525,17,2.02
2,2026-07-05,WC_narrative_3,3786,3724,6,2.17
2,2026-07-06,WC_neutral_1,3096,3052,9,1.92
2,2026-07-06,WC_neutral_2,3438,3388,11,2.1
2,2026-07-06,WC_neutral_3,3169,3138,8,2.02
2,2026-07-06,WC_empathy_1,3249,3140,13,2.07
2,2026-07-06,WC_empathy_2,4135,4048,14,2.08
2,2026-07-06,WC_empathy_3,3396,3283,15,2.09
2,2026-07-06,WC_socialnorm_1,3497,3361,15,2.06
2,2026-07-06,WC_socialnorm_2,3296,3208,3,2.07
2,2026-07-06,WC_socialnorm_3,3944,3832,8,2.12
2,2026-07-06,WC_narrative_1,2653,2599,16,2.11
2,2026-07-06,WC_narrative_2,3439,3425,8,2.05
2,2026-07-06,WC_narrative_3,3415,3415,11,2.08
2,2026-07-07,WC_neutral_1,366,366,2,0.21
2,2026-07-07,WC_neutral_2,238,238,1,0.13
2,2026-07-07,WC_neutral_3,276,275,1,0.16
2,2026-07-07,WC_empathy_1,250,250,2,0.17
2,2026-07-07,WC_empathy_2,325,325,1,0.16
2,2026-07-07,WC_empathy_3,273,271,1,0.14
2,2026-07-07,WC_socialnorm_1,314,310,1,0.16
2,2026-07-07,WC_socialnorm_2,239,239,1,0.16
2,2026-07-07,WC_socialnorm_3,386,380,0,0.2
2,2026-07-07,WC_narrative_1,169,167,0,0.08
2,2026-07-07,WC_narrative_2,226,224,0,0.15
2,2026-07-07,WC_narrative_3,269,269,2,0.16
