round,ad_name,age,gender,impressions,reach,link_clicks
1,WC_neutral_1,18-24,female,4945,4445,31
1,WC_neutral_1,18-24,male,5425,4769,22
1,WC_neutral_1,18-24,unknown,61,50,0
1,WC_neutral_1,25-34,female,3255,2924,33
1,WC_neutral_1,25-34,male,3599,3328,24
1,WC_neutral_1,25-34,unknown,38,36,0
1,WC_neutral_1,35-44,female,142,130,2
1,WC_neutral_1,35-44,male,140,129,0
1,WC_neutral_2,18-24,female,4939,4322,16
1,WC_neutral_2,18-24,male,6426,5537,12
1,WC_neutral_2,18-24,unknown,72,62,0
1,WC_neutral_2,25-34,female,3311,3009,16
1,WC_neutral_2,25-34,male,4192,3700,12
1,WC_neutral_2,25-34,unknown,35,31,0
1,WC_neutral_2,35-44,female,176,166,1
1,WC_neutral_2,35-44,male,195,173,0
1,WC_neutral_2,35-44,unknown,4,4,0
1,WC_neutral_3,18-24,female,4342,3851,24
1,WC_neutral_3,18-24,male,5662,4947,21
1,WC_neutral_3,18-24,unknown,60,53,1
1,WC_neutral_3,25-34,female,3075,2839,30
1,WC_neutral_3,25-34,male,4080,3912,27
1,WC_neutral_3,25-34,unknown,38,35,0
1,WC_neutral_3,35-44,female,147,137,0
1,WC_neutral_3,35-44,male,174,163,0
1,WC_neutral_3,Unknown,female,1,1,0
1,WC_empathy_1,18-24,female,4675,4326,30
1,WC_empathy_1,18-24,male,5052,4710,18
1,WC_empathy_1,18-24,unknown,55,50,0
1,WC_empathy_1,25-34,female,3322,3060,32
1,WC_empathy_1,25-34,male,3434,3230,22
1,WC_empathy_1,25-34,unknown,31,28,0
1,WC_empathy_1,35-44,female,164,154,2
1,WC_empathy_1,35-44,male,162,151,1
1,WC_empathy_1,35-44,unknown,3,3,1
1,WC_empathy_2,18-24,female,4244,3768,17
1,WC_empathy_2,18-24,male,5303,4727,15
1,WC_empathy_2,18-24,unknown,68,59,1
1,WC_empathy_2,25-34,female,3252,2984,18
1,WC_empathy_2,25-34,male,3960,3594,24
1,WC_empathy_2,25-34,unknown,33,30,0
1,WC_empathy_2,35-44,female,160,152,1
1,WC_empathy_2,35-44,male,165,151,1
1,WC_empathy_3,18-24,female,4589,3985,21
1,WC_empathy_3,18-24,male,5712,5172,18
1,WC_empathy_3,18-24,unknown,64,57,1
1,WC_empathy_3,25-34,female,3215,2926,30
1,WC_empathy_3,25-34,male,4000,3468,20
1,WC_empathy_3,25-34,unknown,41,38,1
1,WC_empathy_3,35-44,female,164,152,0
1,WC_empathy_3,35-44,male,170,159,0
1,WC_empathy_3,35-44,unknown,2,1,0
1,WC_socialnorm_1,18-24,female,4533,4070,20
1,WC_socialnorm_1,18-24,male,5690,5155,19
1,WC_socialnorm_1,18-24,unknown,53,45,0
1,WC_socialnorm_1,25-34,female,3378,3073,26
1,WC_socialnorm_1,25-34,male,3829,3529,28
1,WC_socialnorm_1,25-34,unknown,37,35,1
1,WC_socialnorm_1,35-44,female,159,149,2
1,WC_socialnorm_1,35-44,male,182,161,0
1,WC_socialnorm_2,18-24,female,3942,3466,9
1,WC_socialnorm_2,18-24,male,5614,5120,15
1,WC_socialnorm_2,18-24,unknown,59,50,0
1,WC_socialnorm_2,25-34,female,3141,2931,21
1,WC_socialnorm_2,25-34,male,4279,3860,18
1,WC_socialnorm_2,25-34,unknown,27,24,1
1,WC_socialnorm_2,35-44,female,174,158,0
1,WC_socialnorm_2,35-44,male,199,185,0
1,WC_socialnorm_2,35-44,unknown,1,1,0
1,WC_socialnorm_3,18-24,female,4340,3877,35
1,WC_socialnorm_3,18-24,male,5164,4640,19
1,WC_socialnorm_3,18-24,unknown,60,51,0
1,WC_socialnorm_3,25-34,female,3293,3031,28
1,WC_socialnorm_3,25-34,male,3921,3442,32
1,WC_socialnorm_3,25-34,unknown,40,37,0
1,WC_socialnorm_3,35-44,female,122,115,1
1,WC_socialnorm_3,35-44,male,156,143,0
1,WC_socialnorm_3,35-44,unknown,2,2,0
1,WC_narrative_1,18-24,female,4798,4294,38
1,WC_narrative_1,18-24,male,5195,4738,27
1,WC_narrative_1,18-24,unknown,64,59,0
1,WC_narrative_1,25-34,female,3438,3191,27
1,WC_narrative_1,25-34,male,3654,3474,29
1,WC_narrative_1,25-34,unknown,32,29,0
1,WC_narrative_1,35-44,female,143,134,3
1,WC_narrative_1,35-44,male,173,163,0
1,WC_narrative_1,35-44,unknown,1,1,0
1,WC_narrative_2,18-24,female,4688,4264,26
1,WC_narrative_2,18-24,male,5878,5138,20
1,WC_narrative_2,18-24,unknown,68,58,1
1,WC_narrative_2,25-34,female,3467,3117,24
1,WC_narrative_2,25-34,male,4323,3850,26
1,WC_narrative_2,25-34,unknown,32,29,0
1,WC_narrative_2,35-44,female,188,167,2
1,WC_narrative_2,35-44,male,193,174,0
1,WC_narrative_2,35-44,unknown,2,2,0
1,WC_narrative_3,18-24,female,4295,3860,19
1,WC_narrative_3,18-24,male,5751,5134,23
1,WC_narrative_3,18-24,unknown,65,58,0
1,WC_narrative_3,25-34,female,3053,2856,23
1,WC_narrative_3,25-34,male,3947,3502,25
1,WC_narrative_3,25-34,unknown,38,35,0
1,WC_narrative_3,35-44,female,149,140,5
1,WC_narrative_3,35-44,male,163,152,1
1,WC_narrative_3,35-44,unknown,1,1,0
