round,ad_name,hourly_stats_aggregated_by_advertiser_time_zone,impressions,reach,link_clicks
1,WC_neutral_1,00:00:00 - 00:59:59,786,0,5
1,WC_neutral_2,00:00:00 - 00:59:59,832,0,2
1,WC_neutral_3,00:00:00 - 00:59:59,789,0,3
1,WC_empathy_1,00:00:00 - 00:59:59,737,0,4
1,WC_empathy_2,00:00:00 - 00:59:59,735,0,3
1,WC_empathy_3,00:00:00 - 00:59:59,720,0,3
1,WC_socialnorm_1,00:00:00 - 00:59:59,697,0,4
1,WC_socialnorm_2,00:00:00 - 00:59:59,791,0,3
1,WC_socialnorm_3,00:00:00 - 00:59:59,663,0,2
1,WC_narrative_1,00:00:00 - 00:59:59,771,0,1
1,WC_narrative_2,00:00:00 - 00:59:59,798,0,1
1,WC_narrative_3,00:00:00 - 00:59:59,759,0,5
1,WC_neutral_1,01:00:00 - 01:59:59,519,0,5
1,WC_neutral_2,01:00:00 - 01:59:59,495,0,1
1,WC_neutral_3,01:00:00 - 01:59:59,538,0,3
1,WC_empathy_1,01:00:00 - 01:59:59,530,0,3
1,WC_empathy_2,01:00:00 - 01:59:59,480,0,2
1,WC_empathy_3,01:00:00 - 01:59:59,444,0,2
1,WC_socialnorm_1,01:00:00 - 01:59:59,534,0,4
1,WC_socialnorm_2,01:00:00 - 01:59:59,509,0,1
1,WC_socialnorm_3,01:00:00 - 01:59:59,498,0,1
1,WC_narrative_1,01:00:00 - 01:59:59,521,0,4
1,WC_narrative_2,01:00:00 - 01:59:59,576,0,3
1,WC_narrative_3,01:00:00 - 01:59:59,484,0,1
1,WC_neutral_1,02:00:00 - 02:59:59,322,0,4
1,WC_neutral_2,02:00:00 - 02:59:59,361,0,0
1,WC_neutral_3,02:00:00 - 02:59:59,343,0,1
1,WC_empathy_1,02:00:00 - 02:59:59,329,0,2
1,WC_empathy_2,02:00:00 - 02:59:59,320,0,2
1,WC_empathy_3,02:00:00 - 02:59:59,303,0,0
1,WC_socialnorm_1,02:00:00 - 02:59:59,344,0,3
1,WC_socialnorm_2,02:00:00 - 02:59:59,353,0,1
1,WC_socialnorm_3,02:00:00 - 02:59:59,294,0,1
1,WC_narrative_1,02:00:00 - 02:59:59,324,0,2
1,WC_narrative_2,02:00:00 - 02:59:59,409,0,3
1,WC_narrative_3,02:00:00 - 02:59:59,355,0,2
1,WC_neutral_1,03:00:00 - 03:59:59,278,0,0
1,WC_neutral_2,03:00:00 - 03:59:59,264,0,1
1,WC_neutral_3,03:00:00 - 03:59:59,260,0,1
1,WC_empathy_1,03:00:00 - 03:59:59,201,0,2
1,WC_empathy_2,03:00:00 - 03:59:59,153,0,0
1,WC_empathy_3,03:00:00 - 03:59:59,219,0,1
1,WC_socialnorm_1,03:00:00 - 03:59:59,287,0,1
1,WC_socialnorm_2,03:00:00 - 03:59:59,248,0,1
1,WC_socialnorm_3,03:00:00 - 03:59:59,202,0,0
1,WC_narrative_1,03:00:00 - 03:59:59,240,0,1
1,WC_narrative_2,03:00:00 - 03:59:59,278,0,1
1,WC_narrative_3,03:00:00 - 03:59:59,215,0,2
1,WC_neutral_1,04:00:00 - 04:59:59,158,0,5
1,WC_neutral_2,04:00:00 - 04:59:59,188,0,0
1,WC_neutral_3,04:00:00 - 04:59:59,183,0,0
1,WC_empathy_1,04:00:00 - 04:59:59,141,0,1
1,WC_empathy_2,04:00:00 - 04:59:59,185,0,1
1,WC_empathy_3,04:00:00 - 04:59:59,181,0,0
