round,ad_name,publisher_platform,platform_position,impression_device,impressions,reach,link_clicks
1,WC_neutral_1,instagram,instagram_reels,android_smartphone,11044,9955,56
1,WC_neutral_1,instagram,instagram_reels,android_tablet,62,60,0
1,WC_neutral_1,instagram,instagram_reels,ipad,19,18,0
1,WC_neutral_1,instagram,instagram_reels,iphone,6479,5653,56
1,WC_neutral_1,instagram,instagram_reels,other,1,1,0
1,WC_neutral_2,instagram,instagram_reels,android_smartphone,13565,11703,30
1,WC_neutral_2,instagram,instagram_reels,android_tablet,238,193,0
1,WC_neutral_2,instagram,instagram_reels,ipad,21,20,0
1,WC_neutral_2,instagram,instagram_reels,iphone,5522,4887,27
1,WC_neutral_2,instagram,instagram_reels,other,4,4,0
1,WC_neutral_3,instagram,instagram_reels,android_smartphone,11010,10100,50
1,WC_neutral_3,instagram,instagram_reels,android_tablet,130,115,1
1,WC_neutral_3,instagram,instagram_reels,ipad,23,22,0
1,WC_neutral_3,instagram,instagram_reels,iphone,6413,5818,52
1,WC_neutral_3,instagram,instagram_reels,other,3,2,0
1,WC_empathy_1,instagram,instagram_reels,android_smartphone,11163,10249,54
1,WC_empathy_1,instagram,instagram_reels,android_tablet,103,95,0
1,WC_empathy_1,instagram,instagram_reels,ipad,20,20,0
1,WC_empathy_1,instagram,instagram_reels,iphone,5610,5237,52
1,WC_empathy_1,instagram,instagram_reels,other,2,2,0
1,WC_empathy_2,instagram,instagram_reels,android_smartphone,10488,9258,37
1,WC_empathy_2,instagram,instagram_reels,android_tablet,116,99,0
1,WC_empathy_2,instagram,instagram_reels,ipad,8,8,0
1,WC_empathy_2,instagram,instagram_reels,iphone,6571,5951,40
1,WC_empathy_2,instagram,instagram_reels,other,2,2,0
1,WC_empathy_3,instagram,instagram_reels,android_smartphone,11628,10467,42
1,WC_empathy_3,instagram,instagram_reels,android_tablet,135,114,0
1,WC_empathy_3,instagram,instagram_reels,ipad,19,19,0
1,WC_empathy_3,instagram,instagram_reels,iphone,6175,5608,49
1,WC_socialnorm_1,instagram,instagram_reels,android_smartphone,11579,10388,54
1,WC_socialnorm_1,instagram,instagram_reels,android_tablet,126,109,0
1,WC_socialnorm_1,instagram,instagram_reels,ipad,22,22,0
1,WC_socialnorm_1,instagram,instagram_reels,iphone,6132,5442,42
1,WC_socialnorm_1,instagram,instagram_reels,other,2,2,0
1,WC_socialnorm_2,instagram,instagram_reels,android_smartphone,11171,10178,35
1,WC_socialnorm_2,instagram,instagram_reels,android_tablet,164,132,0
1,WC_socialnorm_2,instagram,instagram_reels,ipad,21,19,1
1,WC_socialnorm_2,instagram,instagram_reels,iphone,6080,5442,28
1,WC_socialnorm_3,instagram,instagram_reels,android_smartphone,9666,8308,43
1,WC_socialnorm_3,instagram,instagram_reels,android_tablet,95,85,0
1,WC_socialnorm_3,instagram,instagram_reels,ipad,15,15,0
1,WC_socialnorm_3,instagram,instagram_reels,iphone,7318,6551,72
1,WC_socialnorm_3,instagram,instagram_reels,other,4,4,0
1,WC_narrative_1,instagram,instagram_reels,android_smartphone,10096,9281,58
1,WC_narrative_1,instagram,instagram_reels,android_tablet,78,72,0
1,WC_narrative_1,instagram,instagram_reels,ipad,14,14,0
1,WC_narrative_1,instagram,instagram_reels,iphone,7310,6712,66
1,WC_narrative_2,instagram,instagram_reels,android_smartphone,11549,10138,49
1,WC_narrative_2,instagram,instagram_reels,android_tablet,121,106,0
1,WC_narrative_2,instagram,instagram_reels,ipad,21,20,0
1,WC_narrative_2,instagram,instagram_reels,iphone,7147,6066,50
1,WC_narrative_2,instagram,instagram_reels,other,1,1,0
1,WC_narrative_3,instagram,instagram_reels,android_smartphone,11016,9999,45
1,WC_narrative_3,instagram,instagram_reels,android_tablet,104,94,0
1,WC_narrative_3,instagram,instagram_reels,ipad,16,16,1
1,WC_narrative_3,instagram,instagram_reels,iphone,6325,5909,50
1,WC_narrative_3,instagram,instagram_reels,other,1,1,0
