round,ad_name,region,impressions,reach,link_clicks
2,WC_neutral_1,Erongo Region,2435,2383,6
2,WC_neutral_1,Hardap Region,549,524,2
2,WC_neutral_1,Kavango East,599,577,4
2,WC_neutral_1,Khomas Region,8728,8200,40
2,WC_neutral_1,Kunene Region,230,215,0
2,WC_neutral_1,Ohangwena Region,230,212,0
2,WC_neutral_1,Omaheke Region,177,168,0
2,WC_neutral_1,Omusati Region,301,278,2
2,WC_neutral_1,Oshana Region,1729,1604,4
2,WC_neutral_1,Oshikoto Region,499,463,0
2,WC_neutral_1,Otjozondjupa Region,1114,1049,3
2,WC_neutral_1,Unknown,14,13,0
2,WC_neutral_1,Zambezi Region,274,271,0
2,WC_neutral_1,ǁKaras Region,685,605,0
2,WC_neutral_2,Erongo Region,2386,2261,10
2,WC_neutral_2,Hardap Region,597,556,3
2,WC_neutral_2,Kavango East,642,605,0
2,WC_neutral_2,Khomas Region,9340,8676,33
2,WC_neutral_2,Kunene Region,252,228,0
2,WC_neutral_2,Ohangwena Region,230,216,0
2,WC_neutral_2,Omaheke Region,197,184,0
2,WC_neutral_2,Omusati Region,286,273,2
2,WC_neutral_2,Oshana Region,1672,1552,5
2,WC_neutral_2,Oshikoto Region,501,478,2
2,WC_neutral_2,Otjozondjupa Region,1093,1028,4
2,WC_neutral_2,Unknown,9,9,1
2,WC_neutral_2,Zambezi Region,291,278,1
2,WC_neutral_2,ǁKaras Region,801,723,1
2,WC_neutral_3,Erongo Region,2321,2250,4
2,WC_neutral_3,Hardap Region,573,526,2
2,WC_neutral_3,Kavango East,519,489,4
2,WC_neutral_3,Khomas Region,9055,8464,30
2,WC_neutral_3,Kunene Region,247,221,1
2,WC_neutral_3,Ohangwena Region,190,180,0
2,WC_neutral_3,Omaheke Region,206,194,1
2,WC_neutral_3,Omusati Region,286,275,0
2,WC_neutral_3,Oshana Region,1561,1450,4
2,WC_neutral_3,Oshikoto Region,448,418,0
2,WC_neutral_3,Otjozondjupa Region,987,906,3
2,WC_neutral_3,Unknown,12,11,0
2,WC_neutral_3,Zambezi Region,238,225,0
2,WC_neutral_3,ǁKaras Region,704,639,2
2,WC_empathy_1,Erongo Region,2377,2179,7
2,WC_empathy_1,Hardap Region,551,513,2
2,WC_empathy_1,Kavango East,614,592,2
2,WC_empathy_1,Khomas Region,8664,8523,42
2,WC_empathy_1,Kunene Region,236,217,0
2,WC_empathy_1,Ohangwena Region,211,198,0
2,WC_empathy_1,Omaheke Region,158,145,0
2,WC_empathy_1,Omusati Region,295,279,0
2,WC_empathy_1,Oshana Region,1644,1606,6
2,WC_empathy_1,Oshikoto Region,453,425,2
2,WC_empathy_1,Otjozondjupa Region,1058,990,3
2,WC_empathy_1,Unknown,14,10,0
2,WC_empathy_1,Zambezi Region,241,229,2
2,WC_empathy_1,ǁKaras Region,690,643,3
2,WC_empathy_2,Erongo Region,2768,2556,6
2,WC_empathy_2,Hardap Region,770,685,0
2,WC_empathy_2,Kavango East,722,650,3
2,WC_empathy_2,Khomas Region,10462,9512,31
2,WC_empathy_2,Kunene Region,268,226,2
2,WC_empathy_2,Ohangwena Region,276,242,0
2,WC_empathy_2,Omaheke Region,266,236,0
2,WC_empathy_2,Omusati Region,338,301,0
2,WC_empathy_2,Oshana Region,1977,1820,6
2,WC_empathy_2,Oshikoto Region,607,551,1
2,WC_empathy_2,Otjozondjupa Region,1324,1194,5
2,WC_empathy_2,Unknown,11,11,0
2,WC_empathy_2,Zambezi Region,340,285,1
2,WC_empathy_2,ǁKaras Region,915,814,1
2,WC_empathy_3,Erongo Region,2688,2483,15
2,WC_empathy_3,Hardap Region,612,561,4
2,WC_empathy_3,Kavango East,599,571,0
2,WC_empathy_3,Khomas Region,9891,9050,36
2,WC_empathy_3,Kunene Region,252,227,1
2,WC_empathy_3,Ohangwena Region,231,216,1
2,WC_empathy_3,Omaheke Region,207,188,0
2,WC_empathy_3,Omusati Region,307,280,1
2,WC_empathy_3,Oshana Region,1769,1637,11
2,WC_empathy_3,Oshikoto Region,511,484,1
2,WC_empathy_3,Otjozondjupa Region,1112,1056,1
2,WC_empathy_3,Unknown,22,17,0
2,WC_empathy_3,Zambezi Region,287,271,0
2,WC_empathy_3,ǁKaras Region,826,749,3
2,WC_socialnorm_1,Erongo Region,2479,2307,10
2,WC_socialnorm_1,Hardap Region,545,503,4
2,WC_socialnorm_1,Kavango East,601,557,3
2,WC_socialnorm_1,Khomas Region,9544,8657,34
2,WC_socialnorm_1,Kunene Region,184,169,0
2,WC_socialnorm_1,Ohangwena Region,197,185,1
2,WC_socialnorm_1,Omaheke Region,211,187,3
2,WC_socialnorm_1,Omusati Region,327,305,0
2,WC_socialnorm_1,Oshana Region,1701,1628,6
2,WC_socialnorm_1,Oshikoto Region,510,492,2
2,WC_socialnorm_1,Otjozondjupa Region,1098,1018,5
2,WC_socialnorm_1,Unknown,16,16,0
2,WC_socialnorm_1,Zambezi Region,283,271,0
2,WC_socialnorm_1,ǁKaras Region,751,682,4
2,WC_socialnorm_2,Erongo Region,2394,2168,12
2,WC_socialnorm_2,Hardap Region,582,526,3
2,WC_socialnorm_2,Kavango East,607,548,2
2,WC_socialnorm_2,Khomas Region,9090,8355,33
2,WC_socialnorm_2,Kunene Region,223,208,1
2,WC_socialnorm_2,Ohangwena Region,210,198,0
2,WC_socialnorm_2,Omaheke Region,212,200,0
2,WC_socialnorm_2,Omusati Region,317,286,0
2,WC_socialnorm_2,Oshana Region,1704,1588,4
2,WC_socialnorm_2,Oshikoto Region,515,492,3
2,WC_socialnorm_2,Otjozondjupa Region,1101,1019,2
2,WC_socialnorm_2,Unknown,15,15,0
2,WC_socialnorm_2,Zambezi Region,274,256,1
2,WC_socialnorm_2,ǁKaras Region,727,690,1
2,WC_socialnorm_3,Erongo Region,2597,2297,8
2,WC_socialnorm_3,Hardap Region,605,561,0
2,WC_socialnorm_3,Kavango East,535,504,0
2,WC_socialnorm_3,Khomas Region,10108,8961,27
2,WC_socialnorm_3,Kunene Region,208,177,1
2,WC_socialnorm_3,Ohangwena Region,238,218,1
2,WC_socialnorm_3,Omaheke Region,201,183,1
2,WC_socialnorm_3,Omusati Region,284,269,0
2,WC_socialnorm_3,Oshana Region,1637,1528,2
2,WC_socialnorm_3,Oshikoto Region,514,470,4
2,WC_socialnorm_3,Otjozondjupa Region,1124,1041,4
2,WC_socialnorm_3,Unknown,9,9,0
2,WC_socialnorm_3,Zambezi Region,261,236,0
2,WC_socialnorm_3,ǁKaras Region,811,719,2
2,WC_narrative_1,Erongo Region,1968,1872,7
2,WC_narrative_1,Hardap Region,477,434,1
2,WC_narrative_1,Kavango East,475,450,2
2,WC_narrative_1,Khomas Region,7644,7296,39
2,WC_narrative_1,Kunene Region,172,160,1
2,WC_narrative_1,Ohangwena Region,197,190,2
2,WC_narrative_1,Omaheke Region,188,168,2
2,WC_narrative_1,Omusati Region,278,260,0
2,WC_narrative_1,Oshana Region,1496,1410,4
2,WC_narrative_1,Oshikoto Region,434,398,1
2,WC_narrative_1,Otjozondjupa Region,933,876,4
2,WC_narrative_1,Unknown,7,6,0
2,WC_narrative_1,Zambezi Region,228,213,1
2,WC_narrative_1,ǁKaras Region,598,557,2
2,WC_narrative_2,Erongo Region,2440,2272,7
2,WC_narrative_2,Hardap Region,537,479,2
2,WC_narrative_2,Kavango East,584,544,1
2,WC_narrative_2,Khomas Region,9782,9113,41
2,WC_narrative_2,Kunene Region,198,183,0
2,WC_narrative_2,Ohangwena Region,206,195,0
2,WC_narrative_2,Omaheke Region,200,184,1
2,WC_narrative_2,Omusati Region,328,299,2
2,WC_narrative_2,Oshana Region,1669,1562,4
2,WC_narrative_2,Oshikoto Region,450,440,1
2,WC_narrative_2,Otjozondjupa Region,1095,1000,3
2,WC_narrative_2,Unknown,17,15,0
2,WC_narrative_2,Zambezi Region,251,230,0
2,WC_narrative_2,ǁKaras Region,738,681,3
2,WC_narrative_3,Erongo Region,2485,2288,7
2,WC_narrative_3,Hardap Region,560,529,0
2,WC_narrative_3,Kavango East,576,522,1
2,WC_narrative_3,Khomas Region,9632,9255,39
2,WC_narrative_3,Kunene Region,218,194,3
2,WC_narrative_3,Ohangwena Region,202,190,1
2,WC_narrative_3,Omaheke Region,188,178,0
2,WC_narrative_3,Omusati Region,273,260,0
2,WC_narrative_3,Oshana Region,1582,1422,6
2,WC_narrative_3,Oshikoto Region,459,439,1
2,WC_narrative_3,Otjozondjupa Region,1097,1024,2
2,WC_narrative_3,Unknown,13,12,0
2,WC_narrative_3,Zambezi Region,262,244,0
2,WC_narrative_3,ǁKaras Region,662,612,0
