round,ad_name,impressions,reach,link_clicks,video_p25,video_p50,video_p75,video_p100,thruplays,avg_watch_s,outbound_clicks,outbound_ctr,quality_ranking,engagement_ranking,conversion_ranking,cost_per_link_click,cost_per_thruplay
2,WC_neutral_1,17564,16518,61,1531,872,545,214,1084,4,60,0.341608,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.161639,0.009096
2,WC_neutral_2,18297,17582,62,1205,743,482,241,842,3,62,0.338853,AVERAGE,AVERAGE,BELOW_AVERAGE_35,0.159516,0.011746
2,WC_neutral_3,17347,16501,51,1246,726,462,172,910,3,51,0.293999,AVERAGE,AVERAGE,BELOW_AVERAGE_35,0.192941,0.010813
2,WC_empathy_1,17206,16909,69,1351,791,507,234,941,4,69,0.401023,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.143188,0.010499
2,WC_empathy_2,21044,18960,56,1095,645,406,164,802,3,56,0.266109,AVERAGE,AVERAGE,BELOW_AVERAGE_35,0.17625,0.012307
2,WC_empathy_3,19314,17608,74,1446,850,543,237,995,4,74,0.383142,AVERAGE,BELOW_AVERAGE_35,BELOW_AVERAGE_35,0.133514,0.00993
2,WC_socialnorm_1,18447,16248,72,1177,634,368,128,1015,4,72,0.390307,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.136528,0.009685
2,WC_socialnorm_2,17971,16440,62,993,593,337,125,905,6,62,0.345,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.159194,0.010906
2,WC_socialnorm_3,19132,17555,50,1121,659,372,130,1006,3,50,0.261342,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.1976,0.009821
2,WC_narrative_1,15095,14384,66,1080,641,456,181,916,4,66,0.437231,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.149545,0.010775
2,WC_narrative_2,18495,17709,65,1107,675,498,210,924,3,65,0.351446,AVERAGE,AVERAGE,BELOW_AVERAGE_35,0.152154,0.010703
2,WC_narrative_3,18209,17360,60,1197,735,509,168,950,4,60,0.329507,AVERAGE,AVERAGE,BELOW_AVERAGE_35,0.1645,0.010389
