Actor_Name;Website;Identified_Via;Source_Name;Search_String;Date_Identified;Eligibility_Status;Exclusion_Reason;Primary_Mandate_Category;Has_Instagram (Y/N);Notes
Beekeeping Association of Namibia;Not clearly listed on CIVIC (needs verification);Directory;CIVIC +264;Environment;23.02.26;Pending;—;Sustainable Agriculture / Biodiversity;Unknown;"Likely industry association; check if public conservation communication focus."
Desert Research Foundation of Namibia (DRFN);https://www.drfn.org.na;Directory;CIVIC +264;Environment;23.02.26;Pending;—;Environmental Research / Sustainability;Y;"Active research NGO; strong communication component."
Women For Bees Namibia (WFBN);Website unclear (verify);Directory;CIVIC +264;Environment;23.02.26;Pending;—;Sustainable Livelihoods / Pollinator Conservation;Unknown;Likely hybrid empowerment + biodiversity focus.
Namibian Environment & Wildlife Society (NEWS);http://www.namibwildlife.org;Directory;CIVIC +264;Wildlife;23.02.26;Pending;—;Environmental Advocacy / Wildlife Conservation;Y;Established membership conservation NGO.
Giraffe Conservation Foundation (GCF);https://giraffeconservation.org;Directory;CIVIC +264;Wildlife;23.02.26;Pending;—;Wildlife Conservation (Species-Specific);Y;Strong global digital presence.
Gobabeb – Namib Research Institute;https://gobabeb.org;Directory;CIVIC +264;Environment;23.02.26;Pending;—;Environmental Research / Arid Ecology;Y;Research institute with education + outreach.
Fridays For Future Windhoek;Instagram-based movement (no standalone website);Directory;CIVIC +264;Climate Change;23.02.26;Pending;—;Climate Activism;Y;"Youth-led movement; primarily social-media driven."
National Youth Climate Action Network of Namibia (Youth4CAN);Website unclear (verify);Directory;CIVIC +264;Climate Change;23.02.26;Pending;—;Climate Policy / Youth Advocacy;Y;"Youth climate network; check activity frequency."
Namibian Association of CBNRM Support Organisations (NACSO);https://nacso.org.na;Directory;CIVIC +264;Umbrella Bodies;23.02.26;Pending;—;Umbrella / Community-Based Natural Resource Management;Possibly;"Umbrella body; check if Instagram account exists."
Namibian Chamber of Environment (NCE);https://conservationnamibia.com;Directory;CIVIC +264;Umbrella Bodies;23.02.26;Pending;—;Umbrella / Environmental NGOs;Y;"Umbrella; high policy and public communication relevance."
EduVentures Trust;https://www.eduventures.org.na;Directory;CIVIC +264;Education;23.02.26;Pending;—;Environmental Education;Possibly;Relevant if mandate includes conservation education.
Integrated Rural Development and Nature Conservation (IRDNC);https://www.irdnc.org.na;Directory;CIVIC +264;Rural & Urban Development;23.02.26;Pending;—;Community Conservation / CBNRM;Y;Key actor in communal conservancy support.
Namibia Nature Foundation (NNF);https://nnf.org.na;Directory;CIVIC +264;Environment;23.02.26;Pending;—;Biodiversity Conservation / Environmental Policy;Y;Major national conservation NGO.
Save the Rhino Trust (SRT) Namibia;https://www.savetherhinotrustnamibia.org;Directory;CIVIC +264;Wildlife;23.02.26;Pending;—;Wildlife Conservation (Species-Specific);Y;Species-focused NGO with donor communication.
Cheetah Conservation Fund (CCF);https://cheetah.org;Directory;CIVIC +264;Wildlife;23.02.26;Pending;—;Wildlife Conservation (Species-Specific);Y;Large international NGO with Namibian HQ.
Namibia Animal Rehabilitation Research and Education Centre (NARREC);Website unclear (verify);Directory;CIVIC +264;Wildlife;23.02.26;Pending;—;Wildlife Rehabilitation / Education;Unknown;"Likely rescue/rehab focused; confirm conservation mandate."
Snout Project Namibia;Website unclear (verify);Directory;CIVIC +264;Environment;23.02.26;Pending;—;Anti-Poaching / Wildlife Detection;Possibly;Specialized operational conservation support.
Scouts of Namibia;https://scouts.org.na;Directory;CIVIC +264;Youth;23.02.26;Pending;Possibly outside conservation-only mandate;Youth Development (Environmental component possible);Y;Likely exclude unless environmental mandate central.
Towards a Better World Charities;Website unclear (verify);Directory;CIVIC +264;Agriculture;23.02.26;Pending;Likely broader development focus;Development / Agriculture;Unknown;Verify environmental focus before inclusion.
CIC Namibia Delegation;Website unclear (verify);Directory;CIVIC +264;Wildlife;23.02.26;Pending;Potentially hunting association;Sustainable Use / Hunting;Unknown;Clarify conservation vs hunting representation mandate.
Have-a-Heart: Spay and Neuter Project;Website unclear (verify);Directory;CIVIC +264;Health;23.02.26;Pending;Likely animal welfare, not biodiversity;Animal Welfare;Unknown;May fall outside biodiversity conservation criteria.
National Youth Climate Action Network of Namibia (Youth4CAN);https://youthforcan.org.na/;Directory;CIVIC +264;Climate Change;23.02.26;Pending;—;Youth climate network / advocacy / climate action;Y;"CIVIC profile exists; official website exists; Instagram account exists. "
Towards a Better World Charities;Website not clearly specified on CIVIC profile snippet (verify);Directory;CIVIC +264;Agriculture;23.02.26;Pending;—;Community development / basic needs / sustainability-linked charity;Y;"CIVIC: Namibian branch of an Australian charity; your eligibility depends on whether biodiversity/conservation mandate is primary/explicit. Instagram presence appears (Walk To A Better World). "
Namibian Chamber of Environment;https://conservationnamibia.com;Directory;NCE ;Member Organisations;23.02.26;Pending;—;Umbrella Body / Environmental Policy;Y;Umbrella representing environmental NGOs nationally.
Namibia Nature Foundation;https://nnf.org.na;Directory;NCE;Member Organisations;23.02.26;Pending;—;Biodiversity Conservation / Policy;Y;Major national conservation NGO.
Desert Research Foundation of Namibia;https://www.drfn.org.na;Directory;NCE;Member Organisations;23.02.26;Pending;—;Environmental Research / Sustainability;Y;Research + policy interface.
Integrated Rural Development and Nature Conservation (IRDNC);https://www.irdnc.org.na;Directory;NCE;Member Organisations;23.02.26;Pending;—;Community-Based Natural Resource Management;Y;Strong communal conservancy support mandate.
Save the Rhino Trust Namibia;https://www.savetherhinotrustnamibia.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Species Conservation (Rhino);Y;Field-based rhino protection.
Cheetah Conservation Fund;https://cheetah.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Species Conservation (Cheetah);Y;International NGO headquartered in Namibia.
Giraffe Conservation Foundation;https://giraffeconservation.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Species Conservation (Giraffe);Y;Africa-wide mandate, Namibia-based HQ.
Namib Desert Environmental Education Trust (NaDEET);https://www.nadeet.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Environmental Education;Y;Education-focused but conservation-centred.
