Search_String_ID;Exact_Search_String;Search_Engine;Search_Mode (Incognito=Yes/No);Search_Date (YYYY-MM-DD);Pages_Screened;Notes
;"""Namibia"" AND ""conservation NGO""";Ecosia;Yes;18. Feb;5;
;"""Namibia"" AND ""wildlife conservation organization""";;Yes;18. Feb;5;
;"""Namibia"" AND ""environmental NGO""";;Yes;18. Feb;5;
;"""Namibia"" AND ""biodiversity conservation Namibia""";;Yes;18. Feb;2;Insufficinet results 
;"""Namibia"" AND ""community conservancy""";;Yes;20. Feb;5;
;"""Namibia"" AND ""community-based natural resource management""";;Yes;;2;Insufficinet results 
;"""Namibia"" AND ""Ministry of Environment""";;Yes;;5;
;"""Namibia"" AND ""environmental agency""";;Yes;;5;
;"""Namibia"" AND ""national park management""";;Yes;;1;
;"""Namibia"" AND ""conservation authority""";;Yes;;5;
;"""Namibia"" AND ""conservation research institute""";;Yes;;5;
;"""Namibia"" AND ""marine conservation Namibia""";;Yes;;1;
;"""Namibia"" AND ""youth conservation Namibia""";;Yes;;5;
;"""Namibia"" AND ""conservation foundation""";;Yes;;;
;"""Namibia"" AND ""wildlife foundation""";;;;;
;"""Namibia"" AND ""conservation trust""";;;;;
