Post_ID;Post_URL;Actor_Name;Post_Format;Posting_Date;Caption_Text;reviewed;changed;MANUAL_Empathy;MANUAL_Threat;MANUAL_Efficacy;MANUAL_Collective_ID;MANUAL_Normative;MANUAL_Moral;MANUAL_Economic;MANUAL_Scientific;MANUAL_Youth_Addressed;MANUAL_Interactivity;MANUAL_Emotional_Valence;MANUAL_Story_Structure;MANUAL_Primary_CTA;MANUAL_Primary_Topic;MANUAL_Language;MANUAL_Youth_Style;MANUAL_Protagonist;MANUAL_Onscreen_Text;MANUAL_Data_Visual
DWbxil5DMTW;https://www.instagram.com/p/DWbxil5DMTW/;WWF Namibia;Video;2026-03-28;Today is the day. Africa joins millions around the world in the Biggest Hour for Earth.  Give one hour back to the planet. Plant.  Restore. Learn. Protect.  #EarthHourAfrica #BiggestHourForEarth #MyHourForEarth;1;0;0;0;1;1;1;1;0;0;0;0;Hope;Solution;Event;Climate;English;0;0;1;0
DXY7VTPjMrk;https://www.instagram.com/p/DXY7VTPjMrk/;WWF Namibia;Image;2026-04-21;Call for Proposals: Technical Project Coordinator   WWF Namibia invites qualified consultants to support aquifer recharge projects in partnership with the City of Windhoek.  🔹 Assignment: Technical Coordinator (SSDs & MAR) 🔹 Location: Windhoek 🔹 Deadline: 8 May 2026  Proposals to be submitted to: consultancies@wwf.na  We encourage professionals with experience in hydrogeology and water management to apply.  🔗 View the Terms of Reference in our bio  #WWFNamibia #WaterSecurity #Consultancy #NamibiaJobs #ClimateAction;1;0;;;;;;;;;;;;;;;;;;;
DWg1_QPjL0G;https://www.instagram.com/p/DWg1_QPjL0G/;WWF Namibia;Image;2026-03-30;📢 Call for Proposals: External Programme Evaluation WWF Namibia invites qualified independent consultants or consultancy firms to submit proposals for an external evaluation of it’s SDC‑supported conservation and livelihoods programme implemented across the Kavango‑Zambezi Transfrontier Conservation Area (KAZA) in Namibia, Zimbabwe, and Botswana (2022–2025).  🔹 Assignment: External Programme Evaluation 🔹 Geographic scope: Namibia, Zimbabwe & Botswana (KAZA TFCA) 🔹 Estimated start date: 1 May 2026 🔹 Submission deadline: 17 April 2026, 17:00 CAT  📧 Proposals to be submitted to: consultancies@wwf.na  We encourage experienced evaluators with expertise in conservation, livelihoods, and transboundary programmes to apply.  Click on the link in our bio for the full TOR  #ConsultancyOpportunity #ProgrammeEvaluation #KAZA  #evaluationconsultants;1;0;;;;;;;;;;;;;;;;;;;
DXbu79iDCnX;https://www.instagram.com/p/DXbu79iDCnX/;WWF Namibia;Image;2026-04-22;This World Earth Day, we celebrate the strength and beauty of our planet. 🌍  From open landscapes to thriving ecosystems, Earth gives endlessly with life, balance, and connection. Today reminds us to pause, to appreciate what sustains us, and to live and act in harmony with nature.   When we care for the Earth, we protect the systems that sustain us all.;1;1;0;0;1;1;0;1;0;0;0;0;Hope;None;None;Wildlife;English;0;0;1;0
DWjdIZtjHgI;https://www.instagram.com/p/DWjdIZtjHgI/;WWF Namibia;Carousel;2026-03-31;Namibia has officially recognised its first three Other Effective Area‑based Conservation Measures (OECMs), showing that conservation goes beyond protected areas. OECMs are places managed to deliver long‑term biodiversity conservation, even though they are not formally declared protected areas, proving that people and nature can thrive together across working landscapes.  ✅ NamibRand Nature Reserve ✅ ProNamib Nature Reserve ✅ Canyon Nature Park  Together, these sites conserve around 318,480 hectares of land managed for biodiversity.  The certification followed a national validation workshop in Windhoek led by @ministry_of_environment_nam with partners including @namibia_nature_foundation , @mfmrnamibia, WWF Namibia, communal conservancies and others, supporting Namibia’s progress toward the 30 by 30 biodiversity target.  @namib_rand @pro.namib   #WWFNamibia #OECMs #InclusiveConservation #30by30;1;0;0;0;1;0;0;0;0;1;0;0;Hope;Solution;None;Policy;English;0;0;0;0
DWbAAoijFTa;https://www.instagram.com/p/DWbAAoijFTa/;WWF Namibia;Image;2026-03-28;20 years of Earth Hour.🌎🍃  What began as a single lights off moment in Sydney has become a global movement across 190+ countries and territories.  In Africa, Earth Hour has grown into a powerful force for nature. Africa does not just participate in this movement. Africa leads it. This year, go beyond the hour. Give your time.  Take action. Protect nature.;1;1;0;0;1;1;1;1;0;0;0;0;Hope;Solution;Event;Wildlife;English;0;0;1;0
DWW4P-5CLtE;https://www.instagram.com/p/DWW4P-5CLtE/;Ministry of Environment Forestry & Tourism;Video;2026-03-26;ALLIANCE: National Communal Conservancies and Community Forest Alliance Chairperson Thomas Muronga emphasises the importance of unity and collaboration on the second and final day of the National CBNRM Conference in Windhoek.  #CBNRM2026 #ConservationNamibia #CommunityEmpowerment #MEFT #SustainableTourism @wwfnamibia @ccfnam @nacso_namibia1 @namibia_nature_foundation GIZ Namibia @kfw_namibia;1;1;0;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DWUhj7VjtYE;https://www.instagram.com/p/DWUhj7VjtYE/;Ministry of Environment Forestry & Tourism;Video;2026-03-25;PROGRAMME OVERVIEW: Deputy Executive Director for Natural Resources Management Colgar Sikopo provides a programme overview of the National CBNRM Conference’s first day. Sikopo unpacks some of the topical subjects various speakers and presenters addressed during the first day of the two-day conference. The conference convenes various CBNRM partners, including traditional and regional leaders. It concludes tomorrow.   #CBNRM2026 #ConservationNamibia #CommunityEmpowerment #MEFT #SustainableTourism @wwfnamibia @ccfnam @nacso_namibia1 @namibia_nature_foundation GIZ namibia @kfw_namibia;1;1;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Community;English;0;1;0;0
DRUGF9ajCli;https://www.instagram.com/p/DRUGF9ajCli/;Youth4CAN;Carousel;2025-11-21;The Youth Climate Change Conference 2025 was successfully held from 4–5 November 2025 at the Emirates Hotel in Ondangwa, Oshana Region. The conference was convened under the theme: “Our Climate, Our Responsibility: Namibian Youth on Climate Action.” It brought together a wide and diverse representation, including government ministries, local authorities, academia, development partners, traditional leaders, media, youth leaders, learners, and children, totalling an estimated 157 participants. The event was spearheaded by SOS Children’s Villages Namibia through the Eco-Champions Project, with collaboration from partners and youth-led environmental organisations such as Youth4CAN, NAYORE, Tulonga Foundation, and Wakapinya Environmental Education.  The main objectives of the convening were to: Increase awareness among young people on climate change, its impacts, and their role in mitigation and adaptation, Build capacity through knowledge transfer on climate-smart practices, green entrepreneurship, climate finance, and resilience-building, Strengthen collaboration between youth and key stakeholders, including the Ministry of Environment, Forestry and Tourism, development agencies, academia, and local authorities, Provide a platform for youth-led dialogue, innovation, skills development, and policy advocacy and, Develop actionable commitments from youth and stakeholders towards climate resilience and sustainable development in Namibia. All these were achieved through presentations on various issues affecting youth and the environment, panel discussions, exhibitions to inspire youth to become innovators of ideas and break-out sessions tailored to create dialogues amongst youth on climate change mitigation.   Read more: https://youthforcan.org.na/2025/11/21/youth-climate-change-conference-namibia-2025/;1;1;0;0;1;1;0;1;0;0;1;0;Hope;Problem-Solution;Learn;Education;English;0;0;0;0
DXceVTokb5e;https://www.instagram.com/p/DXceVTokb5e/;Giraffe Conservation Foundation;Image;2026-04-22;Our Power, Our Planet. 🌍💪  This Earth Day, the global theme is a reminder that we have the power to protect the ecosystems that sustain us all. As we celebrate the Earth today 🌍, we’re also counting down to World Giraffe Day on 21 June. 🗓️   Protecting the planet isn't a one-day event, it's the work we do every day to ensure all giraffe species have a future. 🦒   How are you using your power for the planet today? 🌿✨  📷 @felixrome_ | @governorscampcollection   #Earthday #earthday2026 #ecosystemprotection #ourpowerourplanet #GiraffeConservationFoundation #Giraffeconservation #WGD2026 #worldgiraffeday #GCF;1;0;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
