Row;Post_ID;Variable;Value_A_kept;Value_B_discarded
30;DWrjZUMCXX9;MANUAL_Language;English;Afrikaans
30;DWrjZUMCXX9;MANUAL_Primary_CTA;Event;Learn
30;DWrjZUMCXX9;MANUAL_Protagonist;1;0
30;DWrjZUMCXX9;MANUAL_Emotional_Valence;Neutral;Hope
30;DWrjZUMCXX9;MANUAL_Onscreen_Text;1;0
31;DVjc9hvjaPy;MANUAL_Protagonist;0;1
31;DVjc9hvjaPy;MANUAL_Emotional_Valence;Mixed;Neutral
32;DXZhne-jWEN;MANUAL_Protagonist;0;1
32;DXZhne-jWEN;MANUAL_Emotional_Valence;Mixed;Hope
33;DTQXoYHDNgM;MANUAL_Primary_Topic;Research;Community
33;DTQXoYHDNgM;MANUAL_Protagonist;0;1
34;DVtL7Z1Cgjg;MANUAL_Primary_Topic;Education;Wildlife
34;DVtL7Z1Cgjg;MANUAL_Empathy;1;0
34;DVtL7Z1Cgjg;MANUAL_Efficacy;0;1
34;DVtL7Z1Cgjg;MANUAL_Collective_ID;1;0
34;DVtL7Z1Cgjg;MANUAL_Scientific;0;1
34;DVtL7Z1Cgjg;MANUAL_Primary_CTA;Event;Learn
34;DVtL7Z1Cgjg;MANUAL_Emotional_Valence;Hope;Neutral
35;DWMpxKqjnAZ;MANUAL_Threat;1;0
35;DWMpxKqjnAZ;MANUAL_Collective_ID;1;0
35;DWMpxKqjnAZ;MANUAL_Protagonist;0;1
35;DWMpxKqjnAZ;MANUAL_Emotional_Valence;Mixed;Hope
35;DWMpxKqjnAZ;MANUAL_Story_Structure;Problem-Solution;Solution
36;DT8dIW2iCC3;MANUAL_Efficacy;1;0
36;DT8dIW2iCC3;MANUAL_Collective_ID;1;0
36;DT8dIW2iCC3;MANUAL_Scientific;1;0
36;DT8dIW2iCC3;MANUAL_Protagonist;0;1
36;DT8dIW2iCC3;MANUAL_Story_Structure;Solution;None
37;DUWNHNmDsUE;MANUAL_Primary_Topic;Research;Wildlife
37;DUWNHNmDsUE;MANUAL_Protagonist;0;1
38;DTqbkOCjdCj;MANUAL_Collective_ID;0;1
38;DTqbkOCjdCj;MANUAL_Protagonist;0;1
39;DTyJ9OpgXzm;MANUAL_Collective_ID;0;1
40;DWI5bFigUef;MANUAL_Collective_ID;1;0
44;DXMiL7jjXgk;MANUAL_Language;English;Mixed
44;DXMiL7jjXgk;MANUAL_Primary_Topic;HWC;Ecotourism
44;DXMiL7jjXgk;MANUAL_Threat;1;0
44;DXMiL7jjXgk;MANUAL_Efficacy;1;0
44;DXMiL7jjXgk;MANUAL_Primary_CTA;None;Learn
44;DXMiL7jjXgk;MANUAL_Emotional_Valence;Hope;Distress
44;DXMiL7jjXgk;MANUAL_Story_Structure;Problem-Solution;Problem
51;DWsMJvfjOo5;MANUAL_Primary_Topic;Wildlife;Fundraising
51;DWsMJvfjOo5;MANUAL_Threat;0;1
51;DWsMJvfjOo5;MANUAL_Protagonist;1;0
54;DT8Hxp4DMQV;MANUAL_Primary_Topic;Research;Wildlife
54;DT8Hxp4DMQV;MANUAL_Emotional_Valence;Neutral;Hope
54;DT8Hxp4DMQV;MANUAL_Story_Structure;None;Solution
72;DVPx65yjFAk;MANUAL_Primary_Topic;Anti-poaching;Fundraising
72;DVPx65yjFAk;MANUAL_Efficacy;1;0
72;DVPx65yjFAk;MANUAL_Moral;0;1
72;DVPx65yjFAk;MANUAL_Economic;1;0
72;DVPx65yjFAk;MANUAL_Protagonist;1;0
72;DVPx65yjFAk;MANUAL_Emotional_Valence;Mixed;Distress
72;DVPx65yjFAk;MANUAL_Story_Structure;Problem-Solution;Problem
72;DVPx65yjFAk;MANUAL_Onscreen_Text;1;0
84;DUi1DKFEswt;MANUAL_Scientific;0;1
84;DUi1DKFEswt;MANUAL_Protagonist;1;0
115;DWEnQrpO-q8;MANUAL_Primary_Topic;Research;Wildlife
115;DWEnQrpO-q8;MANUAL_Empathy;1;0
115;DWEnQrpO-q8;MANUAL_Scientific;1;0
115;DWEnQrpO-q8;MANUAL_Protagonist;1;0
115;DWEnQrpO-q8;MANUAL_Emotional_Valence;Hope;Neutral
118;DW6x4dRjNxf;MANUAL_Emotional_Valence;Mixed;Hope
118;DW6x4dRjNxf;MANUAL_Story_Structure;Problem-Solution;Problem
124;DXpCdUhjNBm;MANUAL_Primary_Topic;Research;Wildlife
124;DXpCdUhjNBm;MANUAL_Empathy;0;1
124;DXpCdUhjNBm;MANUAL_Scientific;1;0
124;DXpCdUhjNBm;MANUAL_Emotional_Valence;Neutral;Mixed
124;DXpCdUhjNBm;MANUAL_Story_Structure;None;Problem
183;DVJYXnKjRBg;MANUAL_Primary_Topic;Research;Wildlife
183;DVJYXnKjRBg;MANUAL_Scientific;1;0
183;DVJYXnKjRBg;MANUAL_Protagonist;1;0
183;DVJYXnKjRBg;MANUAL_Emotional_Valence;Mixed;Hope
183;DVJYXnKjRBg;MANUAL_Story_Structure;None;Solution
