Post_ID;Actor_Name;Actor_Type;Handle;Post_Format;Posting_Date;Likes;Comments;Followers;eng_rate;cap_chars;cap_words;n_hashtags;n_mentions;n_emojis;has_link;has_question;clip_align;n_comments_scraped;comment_sent_mean;coded;f_Empathy;f_Threat;f_Efficacy;f_Collective_ID;f_Normative;f_Moral;f_Economic;f_Scientific;f_Youth_Addressed;f_Interactivity;f_Youth_Style;f_Protagonist;f_Onscreen_Text;f_Data_Visual;m_Emotional_Valence;m_Story_Structure;m_Primary_CTA;m_Primary_Topic;m_Language;BERTopic
DWbxil5DMTW;WWF Namibia;1;wwfnamibia;Video;2026-03-28;9;0;3213;0.002801;210;30;3;0;0;0;0;0.2435;0;;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;Hope;Solution;Event;Climate;English;20
DXY7VTPjMrk;WWF Namibia;1;wwfnamibia;Image;2026-04-21;13;0;3213;0.004046;520;70;5;1;4;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;-1
DWg1_QPjL0G;WWF Namibia;1;wwfnamibia;Image;2026-03-30;11;0;3213;0.003424;847;109;4;1;6;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;6
DXbu79iDCnX;WWF Namibia;1;wwfnamibia;Image;2026-04-22;14;0;3213;0.004357;356;61;0;0;1;0;0;0.3011;0;;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;Hope;None;None;Climate;English;20
DWjdIZtjHgI;WWF Namibia;1;wwfnamibia;Carousel;2026-03-31;77;1;3213;0.023965;907;113;4;5;3;0;0;0.2942;1;0.8402;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Policy;English;-1
DWbAAoijFTa;WWF Namibia;1;wwfnamibia;Image;2026-03-28;13;0;3213;0.004046;357;61;0;0;2;0;0;0.2724;0;;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;Hope;Solution;Event;Climate;English;20
DWW4P-5CLtE;Ministry of Environment Forestry & Tourism;4;ministry_of_environment_nam;Video;2026-03-26;41;0;3558;0.011523;394;43;5;5;0;0;0;0.2932;0;;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;Hope;None;None;Community;English;6
DWUhj7VjtYE;Ministry of Environment Forestry & Tourism;4;ministry_of_environment_nam;Video;2026-03-25;57;1;3558;0.01602;587;68;5;5;0;0;0;0.2094;1;0.2732;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;Neutral;None;None;Community;English;6
DRUGF9ajCli;Youth4CAN;3;youth4can_namibia;Carousel;2025-11-21;14;0;1528;0.009162;1826;226;0;0;0;1;0;0.2715;0;;1;0;1;1;1;0;1;1;0;1;0;0;0;1;0;Hope;Problem-Solution;Learn;Climate;English;-1
DXceVTokb5e;Giraffe Conservation Foundation;1;giraffe_conservation;Image;2026-04-22;395;3;46731;0.008453;610;93;9;2;8;0;1;0.2876;3;0.0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;Hope;Solution;None;Wildlife;English;20
DUxWaDAiHXN;NACSO;3;nacso_namibia1;Image;2026-02-15;13;0;427;0.030445;653;86;5;0;1;0;0;0.345;0;;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;Hope;None;None;Wildlife;English;-1
DXbU3-0DCwx;Youth4CAN;3;youth4can_namibia;Image;2026-04-22;17;0;1528;0.011126;338;49;4;0;1;0;0;0.2354;0;;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;Hope;Problem-Solution;None;Climate;English;-1
DXuf7d6EZeD;Giraffe Conservation Foundation;1;giraffe_conservation;Carousel;2026-04-29;270;2;46731;0.005778;532;69;7;0;3;0;0;0.3269;2;0.0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Wildlife;English;4
DVAe29YCKEl;NACSO;3;nacso_namibia1;Image;2026-02-21;42;1;427;0.098361;716;95;5;0;1;0;0;0.3536;1;0.6114;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;Mixed;Problem-Solution;None;Wildlife;English;13
DXhn93Tjbxw;Giraffe Conservation Foundation;1;giraffe_conservation;Image;2026-04-24;775;9;46731;0.016584;241;30;7;1;3;0;0;0.2936;9;0.3119;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Neutral;None;None;Wildlife;English;8
DXgfcC4CBh-;Ministry of Environment Forestry & Tourism;4;ministry_of_environment_nam;Carousel;2026-04-24;15;0;3558;0.004216;579;81;0;0;0;0;0;0.2487;0;;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;Hope;None;None;Ecotourism;English;-1
DUx-o2qCL2l;NACSO;3;nacso_namibia1;Image;2026-02-15;15;0;427;0.035129;642;86;5;0;3;0;0;0.3287;0;;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;Hope;Solution;None;Wildlife;English;10
DXmxhmVDVZm;Giraffe Conservation Foundation;1;giraffe_conservation;Image;2026-04-26;116;1;46731;0.002482;382;62;0;1;3;0;1;0.2728;1;0.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Hope;Solution;Learn;Research;English;4
DVGf_p2iJ72;NACSO;3;nacso_namibia1;Carousel;2026-02-23;9;0;427;0.021077;733;91;5;0;3;0;0;0.2139;0;;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;Hope;Solution;None;Community;English;6
DXqj3iSiA-v;Ministry of Environment Forestry & Tourism;4;ministry_of_environment_nam;Carousel;2026-04-28;50;0;3558;0.014053;762;104;0;0;0;0;0;0.3043;0;;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;Neutral;Solution;None;Education;English;-1
DXivehMRBFx;Ongava Game Reserve;5;ongavagamereserve;Video;2026-04-25;78;1;11380;0.006854;79;15;0;0;0;0;0;0.2142;1;0.0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Hope;None;None;Wildlife;English;2
DVvS2FYjO4c;WWF Namibia;1;wwfnamibia;Carousel;2026-03-11;19;0;3213;0.005913;578;74;0;1;0;1;0;0.2586;0;;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;Hope;Problem-Solution;Learn;Community;English;6
DXhEfFxiKkR;Ministry of Environment Forestry & Tourism;4;ministry_of_environment_nam;Carousel;2026-04-24;11;0;3558;0.003092;760;112;0;0;0;0;0;0.2383;0;;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;Neutral;None;None;Policy;English;6
DU2f6MXjhAG;Save the Rhino Trust Namibia;1;savetherhinonamibia;Image;2026-02-17;44;0;12414;0.003544;457;65;3;1;0;0;0;0.2429;0;;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;Hope;Solution;None;Wildlife;English;5
DUh5k2lAUk4;Save the Rhino Trust Namibia;1;savetherhinonamibia;Carousel;2026-02-09;58;0;12414;0.004672;407;60;3;0;0;0;0;0.2978;0;;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Research;English;5
DVIyH5WjD2M;WWF Namibia;1;wwfnamibia;Video;2026-02-24;21;0;3213;0.006536;619;90;4;0;2;0;1;0.3453;0;;1;0;0;1;0;0;0;0;0;0;0;;;;;Hope;None;Learn;Community;English;11
DXtx6MkCJiI;Ministry of Environment Forestry & Tourism;4;ministry_of_environment_nam;Image;2026-04-29;19;0;3558;0.00534;251;35;0;0;0;0;0;0.3833;0;;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;Neutral;None;None;Community;English;24
DVYvpYOjOdh;WWF Namibia;1;wwfnamibia;Image;2026-03-02;10;0;3213;0.003112;611;92;0;0;0;0;0;0.3532;0;;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;Hope;Solution;Learn;Community;English;11
