Post_ID;clip_align
DWbxil5DMTW;0.2435
DXbu79iDCnX;0.3011
DWjdIZtjHgI;0.2942
DWbAAoijFTa;0.2724
DWW4P-5CLtE;0.2932
DWUhj7VjtYE;0.2094
DRUGF9ajCli;0.2715
DXceVTokb5e;0.2876
DUxWaDAiHXN;0.345
DXbU3-0DCwx;0.2354
DXuf7d6EZeD;0.3269
DVAe29YCKEl;0.3536
DXhn93Tjbxw;0.2936
DXgfcC4CBh-;0.2487
DUx-o2qCL2l;0.3287
DXmxhmVDVZm;0.2728
DVGf_p2iJ72;0.2139
DXqj3iSiA-v;0.3043
DXivehMRBFx;0.2142
DVvS2FYjO4c;0.2586
DXhEfFxiKkR;0.2383
DU2f6MXjhAG;0.2429
DUh5k2lAUk4;0.2978
DVIyH5WjD2M;0.3453
DXtx6MkCJiI;0.3833
DVYvpYOjOdh;0.3532
DV8qrmUDGoW;0.338
DVa3opXjgA4;0.3114
DVF8oQhjpcp;0.2611
DUP4CreEVt1;0.3283
DWny2u3DoHP;0.2927
DWBK6wwjrgc;0.3153
DVskknKErzC;0.2538
DXJwT-bjkEW;0.2872
DWQnsyXjpjb;0.3105
DWws0QXjeph;0.3136
DVX-MaIDs-A;0.322
DU8LQZCDHZD;0.2418
DWgEfuPDuiu;0.3261
DW4bUExGWiB;0.2996
DXMoBOzDnXM;0.2329
DXWs260ldFZ;0.2464
DWrjZFUDvNu;0.2761
DWmZr1-Ewni;0.2869
DTfkmjZiIqB;0.3223
DTxc-x1iMoN;0.2772
DW4hFLgDm7x;0.2533
DRe7J7VjG1W;0.1943
DRb4AbSDIld;0.2467
DXHaZrliNMl;0.2299
DXCNPQDCMkN;0.2838
DXMfT__iL4g;0.2542
DXHih5GiFjt;0.2586
DXCM5WvCK1G;0.2805
DSJ-pEaCZpG;0.3405
DXOusaviOJN;0.2071
DSRtCbRj9Wv;0.2465
DSJ-qKtlVzK;0.3153
DXcTP6pCFgr;0.2461
DSetnWpEdUz;0.3
DXLzm_7CPil;0.2512
DXb9mmtiBmy;0.2858
DXPSz7wCFzY;0.2923
DRPdL0MjNdg;0.342
DXfEn4XjoXB;0.4056
DWI5Bgrijl6;0.2737
DQrx5BLD64o;0.2576
DWoX4BUCpCZ;0.3131
DWlbimAChbY;0.3007
DWLzna6im7B;0.3498
DRJmoBPDER3;0.2521
DWYsdYrCvaE;0.3587
DWOYeqICgEF;0.3631
DWV5l8TCp7a;0.3222
DQmoSzej7Cs;0.259
DRKRMspjOJr;0.3556
DQmVJK-ji6U;0.3257
DRPZSnICLAt;0.213
DXJOpNMFqRt;0.2238
DXwfTUBjkcO;0.2861
DW1KVyzCmTL;0.3884
DROvNLoDNmc;0.2381
DQoIHPqDDxC;0.2943
DW9k8REk6pa;0.1785
DW-3Ni3gdfG;0.2677
DRC9C5yCNUK;0.3265
DRNXF-BgS9b;0.3626
DXxKLyiGcYl;0.3268
DXGjtBPFtcW;0.1745
DXEY-ltlqzA;0.3422
DWn1ukqCqP6;0.3308
DXO2wrHFpDS;0.2626
DXbYa58lhWu;0.2957
DXWIgNFloaI;0.3127
DXMHXGjlv3g;0.2772
DVwU7pzDM_m;0.2819
DV6oG8iDJKi;0.4232
DVomlnGjA8A;0.2707
DWHgHlgj4h3;0.2679
DWCWeXDDvpY;0.2824
DWUYKewCPZI;0.2346
DV1ejcrjD4w;0.2991
DWZhpaAj9mI;0.2911
DWMpye-jTwn;0.2475
DR2Pq0aDO16;0.214
DSpvIk3DMXZ;0.2431
DXe7m2rEo4m;0.3076
DXr5rGXmV5m;0.3075
DWqKBa7j5v4;0.3154
DW3oE3qFjbF;0.311
DWjZfpulh0r;0.2568
DSVJ6XUDP5G;0.3065
DWZose4CUA7;0.2544
DWs8j4KATCm;0.2583
DS2oMpeDIjB;0.2596
DVeTWHdlzyU;0.3174
DTGPqHUjOPo;0.2537
DW6aWEHllsp;0.3109
DU-bZq3inWr;0.2625
DUtYO6nDaS4;0.2879
DWn5r-flixF;0.2827
DWa0GEIgUev;0.2943
DXpWrXrDEJt;0.235
DW5xIWgllJY;0.2296
DU_ZzNqDJmc;0.2781
DVMRx8yCMbB;0.2744
DWrjZUMCXX9;0.1962
DVRbYULjY8q;0.2519
DVjc9hvjaPy;0.3101
DXZhne-jWEN;0.2935
DVa5zYsCm_O;0.3183
DSAiXtljEJ3;0.2276
DVWk_9XDbv8;0.3778
DTQXoYHDNgM;0.227
DVEjcvgj1xY;0.3006
DU6QOvFk9xX;0.3198
DXuRr8pGfJ_;0.3083
DViTTw0CueE;0.302
DXca0cil6Mk;0.1659
DXVdVqvGBrZ;0.3077
DSFsknpDGEy;0.1435
DVtL7Z1Cgjg;0.3792
DVtRIKfigl2;0.2381
DWnyV1Wls37;0.2328
DWcGfdLjB95;0.2756
DVgLvVmipRs;0.261
DV1elZ8D0VV;0.1882
DT-JQYiimAB;0.2107
DUX_wPFCgIs;0.3107
DT98qQrCBCZ;0.3753
DWMpxKqjnAZ;0.1828
DUQylVEiPWw;0.2427
DV9M4tnAc73;0.2367
DV4Db60iEI4;0.3537
DUELhjJjd7D;0.3054
DTugAKuirZm;0.2781
DV6hPrUj1sO;0.2737
DUOesl5jXwq;0.2903
DT8dIW2iCC3;0.3056
DUbWq9sk2fR;0.2755
DUWNHNmDsUE;0.2788
DTqbkOCjdCj;0.3627
DT3TiZ9DdmI;0.3042
DTyJ9OpgXzm;0.3891
DWE0qc5Evit;0.3105
DU5v6CKCn_O;0.2268
DWHgK_VkmUt;0.1572
DWI5bFigUef;0.2956
DUoOpqdjEUM;0.286
DWCWecbj-kV;0.2301
DUggSmvjmH0;0.2783
DV_xrwzjCSH;0.3035
DV1RBwxDDEe;0.2995
DW4VErZEjmD;0.2485
DXFDkC8EZUF;0.359
DXB-DjOjmZ2;0.1964
DXMiL7jjXgk;0.2969
DRFUHr8DPls;0.3022
DQuKrLZDCfh;0.3013
DRkL8DrjBZz;0.1463
DW69EwJESBc;0.3416
DW2bF8jjNJE;0.2245
DVvyBh7Csmj;0.2678
DWBU3t0ilGW;0.3081
DWD7q9hijMg;0.3117
DVyHG_Jijrz;0.2402
DTibOjAjHCe;0.2316
DV0so-eCkJk;0.2956
DRhp-g_DJMg;0.2757
DUJVGkOjxSn;0.3043
DVimfKujWUT;0.3396
DQ4iGjBjLUz;0.302
DRP35sUjLR6;0.4117
DQ87jsuDEw5;0.2846
DWURr-cDbzB;0.3642
DTamIGPCnjn;0.3309
DVen7U1DDSX;0.3294
DVl64BGCPgg;0.3017
DWW44aTDSt2;0.3142
DWouAPSEVB9;0.3084
DWl7H61DbCB;0.2855
DRj_EEGDNma;0.2392
DWhFSe_Epwk;0.3093
DV1dpcLjf4m;0.2741
DWaZbb-D-L5;0.2518
DVqo_9BgVKV;0.2527
DWsMJvfjOo5;0.2851
DVtwG76oLp5;0.3302
DVqcuKHmK2G;0.3395
DRKInR5DE1a;0.2408
DUDf5d4DUm_;0.3643
DVjdARTD6tT;0.1911
DVyJnZlDMPe;0.2805
DVmCpq8jAER;0.2053
DWWv0b4kmFB;0.343
DReQDwTDOOM;0.2536
DSvNTG6DxNi;0.3278
DVrBQE7jEWE;0.1543
DVwVD1GjiEL;0.3178
DVy5ucnCAYI;0.3181
DS0W5kkD2zk;0.2911
