emoji,count,bucket
🦒,110,nature_animal
✨,85,symbol_other
🌍,69,nature_animal
🐘,56,nature_animal
📷,50,symbol_other
🌿,38,nature_animal
💛,37,heart
🤝,33,hand_gesture
©,32,symbol_other
🔗,31,symbol_other
🙏,26,hand_gesture
🌱,26,nature_animal
🇳🇦,24,symbol_other
🐾,24,nature_animal
🌟,23,symbol_other
💪,20,symbol_other
📩,20,symbol_other
🧡,19,heart
📌,19,symbol_other
🐆,19,nature_animal
💚,16,heart
✅,14,symbol_other
👉,14,hand_gesture
🎉,14,symbol_other
🔬,11,symbol_other
🩶,11,heart
📍,10,symbol_other
🛰️,9,symbol_other
🎥,9,symbol_other
📅,9,symbol_other
📺,9,symbol_other
⏰,9,symbol_other
👏,9,hand_gesture
👀,9,symbol_other
📸,8,symbol_other
🔹,8,symbol_other
🦁,7,nature_animal
🔥,7,symbol_other
🚨,6,symbol_other
😁,6,face_emotion
🇰🇪,6,symbol_other
❤️,6,heart
👈,6,hand_gesture
🦏,6,nature_animal
🎄,6,nature_animal
➡️,6,symbol_other
📚,5,symbol_other
🥳,5,face_emotion
💙,5,heart
🍃,4,nature_animal
💡,4,symbol_other
🌊,4,nature_animal
📡,4,symbol_other
☀️,4,nature_animal
🌳,4,nature_animal
🏐,4,symbol_other
🗓,4,symbol_other
🎁,4,symbol_other
🥁,4,symbol_other
🗓️,3,symbol_other
📈,3,symbol_other
🎯,3,symbol_other
🧠,3,symbol_other
💬,3,symbol_other
🐒,3,nature_animal
🇦🇴,3,symbol_other
😍,3,face_emotion
🧬,3,symbol_other
🇺🇬,3,symbol_other
📊,3,symbol_other
😄,3,face_emotion
🐧,3,nature_animal
🙌,3,hand_gesture
😊,3,face_emotion
🏜️,3,nature_animal
🇿🇲,3,symbol_other
🙌🏻,3,hand_gesture
❗,3,symbol_other
💕,3,heart
😎,3,nature_animal
🟢,3,symbol_other
🥺,3,face_emotion
🤍,3,heart
🌎,2,nature_animal
🦛,2,nature_animal
🐼,2,symbol_other
🎶,2,symbol_other
💧,2,symbol_other
🥰,2,face_emotion
🇿🇦,2,symbol_other
🩺,2,symbol_other
🚀,2,symbol_other
🐜,2,symbol_other
🤯,2,symbol_other
🌡️,2,symbol_other
🌈,2,symbol_other
🏏,2,symbol_other
😉,2,face_emotion
🥈,2,symbol_other
🥇,2,symbol_other
🤩,2,symbol_other
💫,2,symbol_other
🌞,2,nature_animal
⚡,2,symbol_other
🌧️,2,symbol_other
🇧🇼,2,symbol_other
💔,2,heart
🇨🇦,2,symbol_other
2️⃣,2,symbol_other
🏃‍♂️,2,symbol_other
🔍,2,symbol_other
🍂,2,nature_animal
👥,2,symbol_other
👇,2,hand_gesture
📢,2,symbol_other
🦈,2,nature_animal
📖,2,symbol_other
🥂,2,symbol_other
🤼,2,symbol_other
🗑️,2,symbol_other
🐋,1,nature_animal
🛸,1,symbol_other
🎤,1,symbol_other
🌙,1,symbol_other
👩‍🎓,1,symbol_other
💰,1,symbol_other
🙃,1,face_emotion
🥛,1,symbol_other
🤱,1,symbol_other
🇹🇩,1,symbol_other
🌅,1,nature_animal
😲,1,face_emotion
🧪,1,symbol_other
🎓,1,symbol_other
🌵,1,nature_animal
➡,1,symbol_other
💨,1,symbol_other
👶🏽,1,symbol_other
🎨,1,symbol_other
😮‍💨,1,face_emotion
🦴,1,symbol_other
🖨️,1,symbol_other
🇫🇷,1,symbol_other
🥉,1,symbol_other
🐕,1,symbol_other
🤭,1,face_emotion
😏,1,face_emotion
🧭,1,symbol_other
🩵,1,heart
⏳,1,symbol_other
🕑,1,symbol_other
🆚,1,symbol_other
🎬,1,hand_gesture
🧩,1,symbol_other
🇩🇰,1,symbol_other
🏆,1,symbol_other
❕,1,symbol_other
🐎,1,symbol_other
🖤,1,heart
🇿🇼,1,symbol_other
📽,1,symbol_other
👑,1,symbol_other
🕊️,1,symbol_other
🎦,1,symbol_other
🦅,1,symbol_other
🍉,1,nature_animal
🇲🇿,1,symbol_other
🤔,1,face_emotion
0️⃣,1,symbol_other
6️⃣,1,symbol_other
🎟,1,symbol_other
⁉,1,symbol_other
🚫,1,symbol_other
🪵,1,symbol_other
💦,1,face_emotion
🙂‍↕️,1,symbol_other
😅,1,face_emotion
🫧,1,symbol_other
🏃‍♀️,1,symbol_other
📤,1,symbol_other
🌦️,1,nature_animal
🏞️,1,symbol_other
🚧,1,symbol_other
⚠️,1,symbol_other
☕,1,symbol_other
🦂,1,symbol_other
❌,1,symbol_other
📰,1,symbol_other
🦇,1,symbol_other
🦎,1,nature_animal
🕷️,1,nature_animal
📽️,1,symbol_other
🐝,1,nature_animal
🍯,1,symbol_other
📄,1,symbol_other
🥾,1,symbol_other
🔄,1,symbol_other
❓,1,symbol_other
🕒,1,symbol_other
📱,1,symbol_other
📘,1,symbol_other
🔊,1,symbol_other
🤝🏽,1,hand_gesture
📉,1,symbol_other
😻,1,face_emotion
😸,1,face_emotion
💃,1,symbol_other
🐺,1,symbol_other
👏🏼,1,hand_gesture
🛩️,1,symbol_other
🌼,1,nature_animal
😌,1,face_emotion
🇺🇸,1,symbol_other
🍳,1,symbol_other
🏕️,1,symbol_other
🌫️,1,symbol_other
🪲,1,nature_animal
⛺,1,symbol_other
🐟,1,nature_animal
📦,1,symbol_other
⚽,1,symbol_other
📞,1,symbol_other
🎅🏾,1,symbol_other
🌾,1,symbol_other
📧,1,symbol_other
