Post_ID,n_words_clean,n_sentences,fk_grade,flesch_ease,gunning_fog,pron_i,pron_we,pron_you,pron_they,direct_address,n_imperatives,imperative_rate,n_questions,n_numbers,num_per100w,has_percent,has_year,has_currency,long_word_ratio,ttr,nrc_anger,nrc_fear,nrc_joy,nrc_trust,nrc_anticipation,nrc_sadness,nrc_disgust,nrc_surprise,nrc_positive,nrc_negative,mfd_care,mfd_fairness,mfd_loyalty,mfd_authority,mfd_sanctity,mfd_total,n_emoji,n_emoji_unique,emoji_per100c,emoji_nature_animal,emoji_face_emotion,emoji_heart,emoji_hand_gesture,emoji_symbol_other,n_hashtags,n_hashtags_unique,n_mentions,hashtag_trailing_ratio,lang,lang_prob
DWbxil5DMTW,27,7,4.53,78.63,5.08,0.0,0.0,0.0,0.0,0.0,3,0.429,0,0,0.0,0,0,0,0.148,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.7,0.0,0.0,0.0,0.0,3.7,0,0,0.0,0,0,0,0,0,3,3,0,0.748,en,1.0
DXbu79iDCnX,60,4,7.57,67.53,10.0,0.0,11.67,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.25,0.75,0.0,0.0,0.2308,0.2308,0.0769,0.0,0.0,0.0,0.4615,0.0,5.0,1.67,0.0,0.0,3.33,10.0,1,1,0.28,1,0,0,0,0,0,0,0,,en,1.0
DWjdIZtjHgI,100,4,18.59,6.34,19.2,0.0,0.0,0.0,1.0,0.0,0,0.0,0,3,3.0,0,0,0,0.44,0.8,0.0,0.0,0.0556,0.2778,0.1667,0.0,0.0,0.0,0.5,0.0,2.0,0.0,4.0,3.0,4.0,13.0,3,1,0.33,0,0,0,0,3,4,4,5,0.946,en,1.0
DWbAAoijFTa,59,9,5.99,67.62,6.76,0.0,0.0,1.69,0.0,1.69,3,0.333,0,2,3.39,0,0,0,0.119,0.78,0.1538,0.1538,0.0769,0.0769,0.1538,0.0,0.0769,0.0,0.2308,0.0769,1.69,1.69,0.0,0.0,3.39,6.77,2,2,0.56,2,0,0,0,0,0,0,0,,en,1.0
DWW4P-5CLtE,33,2,24.1,-18.93,31.38,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.455,0.788,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,12.12,0.0,0.0,12.12,0,0,0.0,0,0,0,0,0,5,5,5,0.576,en,1.0
DWUhj7VjtYE,60,5,14.89,14.17,20.97,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.517,0.717,0.0,0.0,0.0,0.1429,0.1429,0.0,0.0,0.0,0.5714,0.1429,0.0,0.0,3.33,5.0,1.67,10.0,0,0,0.0,0,0,0,0,0,5,5,5,0.716,en,1.0
DRUGF9ajCli,229,7,24.26,-12.08,27.98,0.0,0.87,0.0,0.44,0.0,1,0.143,0,5,2.18,0,1,0,0.485,0.642,0.0879,0.0989,0.1429,0.1099,0.1209,0.0,0.011,0.0769,0.3187,0.033,0.0,0.0,1.31,3.93,0.0,5.24,0,0,0.0,0,0,0,0,0,0,0,0,,en,1.0
DXceVTokb5e,76,6,7.57,67.53,8.13,0.0,9.21,2.63,0.0,2.63,0,0.0,1,1,1.32,0,0,0,0.132,0.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.63,0.0,0.0,0.0,0.0,2.63,8,7,1.31,4,0,0,0,4,9,9,2,0.761,en,1.0
DUxWaDAiHXN,84,4,15.22,21.57,17.0,0.0,1.19,0.0,1.19,0.0,1,0.25,0,0,0.0,0,0,0,0.333,0.762,0.037,0.1111,0.0741,0.2593,0.1481,0.0,0.037,0.0,0.3333,0.0,4.76,1.19,1.19,0.0,0.0,7.14,1,1,0.15,1,0,0,0,0,5,5,0,0.876,en,1.0
DXbU3-0DCwx,47,2,11.76,49.91,13.35,0.0,8.51,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.234,0.851,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.0,0.7143,0.0,2.13,0.0,0.0,0.0,0.0,2.13,1,1,0.3,1,0,0,0,0,4,4,0,0.849,en,1.0
