hashtag,count,tag_class
conservation,88,generic
naankuse,81,branded
giraffeconservationfoundation,79,branded
gcf,79,community_other
namibia,68,generic
giraffeconservation,66,branded
oceanconservation,58,branded
ocn,58,community_other
ccfcheetah,52,branded
naankusefoundation,52,branded
plasticpollution,52,community_other
sealrescues,51,community_other
raisingawareness,50,community_other
africat,37,branded
cheetah,33,branded
research,33,community_other
giraffe,31,branded
wildlifeconservation,29,community_other
cheetahconservation,27,branded
thankgiraffeitsfriday,25,campaign
tgif,25,community_other
harnas,25,branded
leopard,22,community_other
giraffelovers,21,branded
okonjima,20,community_other
standtallforgiraffe,18,branded
naturelovers,17,community_other
lifelineclinic,17,community_other
harnasguestfarm,16,branded
wildlife,15,generic
communityconservation,14,community_other
giraffebeauty,14,branded
savetherhinotrust,13,branded
savetherhino,12,branded
rhinoconservation,12,branded
pangolin,11,community_other
cbnrm,10,community_other
blackrhino,10,branded
cats,10,community_other
nature,9,generic
cheetahsofinstagram,9,branded
foreverharnas,9,branded
harnaswildlifefoundation,9,branded
conservationnamibia,8,branded
sustainabletourism,8,community_other
education,8,community_other
voiceforgiraffe,8,branded
brownhyena,8,community_other
wildliferehab,8,community_other
biodiversity,8,generic
earthday2026,7,campaign
conservationinaction,7,community_other
kyknet,7,community_other
bigcats,7,community_other
wildlifesanctuary,7,community_other
climateaction,6,community_other
nacso,6,branded
environmentaleducation,6,community_other
dogs,6,community_other
workingdogs,6,community_other
hyena,6,community_other
healthcare,6,community_other
wearetosco,6,branded
volunteer,6,community_other
animalrehabilitation,6,community_other
horizonbyongava,6,branded
communityempowerment,5,community_other
meft,5,community_other
sustainability,5,generic
reticulatedgiraffe,5,branded
wildlifeeducation,5,community_other
protectnamibia,5,branded
capacitybuilding,5,community_other
angolangiraffe,5,branded
standtall,5,community_other
conservationefforts,5,community_other
wildliferescue,5,community_other
ocean,5,branded
sustainabledevelopment,5,community_other
nnf,5,branded
harnaswildlife,5,branded
wwfnamibia,4,branded
protectouroceans,4,branded
worldwildlifeday,4,campaign
keep,4,community_other
groennamibië,4,community_other
livestockguardiandog,4,community_other
successstories,4,community_other
africa,4,generic
nubiangiraffe,4,branded
teamspirit,4,community_other
naankuseprimaryschool,4,branded
volunteerafrica,4,community_other
communityengagement,4,community_other
elephants,4,community_other
ourplanetourpower,4,community_other
lions,4,community_other
landrover,4,community_other
san,4,community_other
harnaswildlifesanctuary,4,branded
cbnrm2026,3,campaign
earthday,3,campaign
namibiawildlife,3,branded
kuneneregion,3,community_other
coexistence,3,community_other
malegiraffe,3,branded
wildlifelovers,3,community_other
partnership,3,community_other
