Post_ID,hashtag,tag_class
DWbxil5DMTW,earthhourafrica,campaign
DWbxil5DMTW,biggesthourforearth,campaign
DWbxil5DMTW,myhourforearth,campaign
DWjdIZtjHgI,wwfnamibia,branded
DWjdIZtjHgI,oecms,community_other
DWjdIZtjHgI,inclusiveconservation,community_other
DWjdIZtjHgI,30by30,community_other
DWW4P-5CLtE,cbnrm2026,campaign
DWW4P-5CLtE,conservationnamibia,branded
DWW4P-5CLtE,communityempowerment,community_other
DWW4P-5CLtE,meft,community_other
DWW4P-5CLtE,sustainabletourism,community_other
DWUhj7VjtYE,cbnrm2026,campaign
DWUhj7VjtYE,conservationnamibia,branded
DWUhj7VjtYE,communityempowerment,community_other
DWUhj7VjtYE,meft,community_other
DWUhj7VjtYE,sustainabletourism,community_other
DXceVTokb5e,earthday,campaign
DXceVTokb5e,earthday2026,campaign
DXceVTokb5e,ecosystemprotection,community_other
DXceVTokb5e,ourpowerourplanet,community_other
DXceVTokb5e,giraffeconservationfoundation,branded
DXceVTokb5e,giraffeconservation,branded
DXceVTokb5e,wgd2026,campaign
DXceVTokb5e,worldgiraffeday,campaign
DXceVTokb5e,gcf,community_other
DUxWaDAiHXN,worldhippoday,campaign
DUxWaDAiHXN,namibiawildlife,branded
DUxWaDAiHXN,cbnrm,community_other
DUxWaDAiHXN,protectourwetlands,community_other
DUxWaDAiHXN,communityconservation,community_other
DXbU3-0DCwx,earthday,campaign
DXbU3-0DCwx,youth4can,branded
DXbU3-0DCwx,climateaction,community_other
DXbU3-0DCwx,sustainability,generic
DXuf7d6EZeD,reticulatedgiraffe,branded
DXuf7d6EZeD,conservationpartnerships,community_other
DXuf7d6EZeD,samburu,community_other
DXuf7d6EZeD,evidencebasedconservation,community_other
DXuf7d6EZeD,giraffeconservationfoundation,branded
DXuf7d6EZeD,giraffeconservation,branded
DXuf7d6EZeD,gcf,community_other
DVAe29YCKEl,worldpangolinday,campaign
DVAe29YCKEl,protectpangolins,community_other
DVAe29YCKEl,namibiawildlife,branded
DVAe29YCKEl,cbnrm,community_other
DVAe29YCKEl,conservationnamibia,branded
DXhn93Tjbxw,giraffeconservationfoundation,branded
DXhn93Tjbxw,giraffeconservation,branded
DXhn93Tjbxw,giraffelovers,branded
DXhn93Tjbxw,giraffebeauty,branded
DXhn93Tjbxw,thankgiraffeitsfriday,campaign
DXhn93Tjbxw,tgif,community_other
DXhn93Tjbxw,gcf,community_other
DUx-o2qCL2l,worldwhaleday,campaign
DUx-o2qCL2l,namibiacoast,branded
DUx-o2qCL2l,blueeconomy,community_other
DUx-o2qCL2l,protectouroceans,branded
DUx-o2qCL2l,marineconservation,community_other
DVGf_p2iJ72,nacso,branded
DVGf_p2iJ72,cbnrm,community_other
DVGf_p2iJ72,communitygovernance,community_other
DVGf_p2iJ72,sustainableconservation,community_other
DVGf_p2iJ72,namibia,generic
DU2f6MXjhAG,savetherhino,branded
DU2f6MXjhAG,kuneneregion,community_other
DU2f6MXjhAG,namibia,generic
DUh5k2lAUk4,savetherhino,branded
DUh5k2lAUk4,blackrhino,branded
DUh5k2lAUk4,namibia,generic
DVIyH5WjD2M,wwfnamibia,branded
DVIyH5WjD2M,conservationnamibia,branded
DVIyH5WjD2M,partnershipsfornature,community_other
DVIyH5WjD2M,communityconservation,community_other
DV8qrmUDGoW,conservation,generic
DV8qrmUDGoW,srt,community_other
DV8qrmUDGoW,tusk,community_other
DVa3opXjgA4,worldwildlifeday,campaign
DVa3opXjgA4,savetherhinotrust,branded
DVF8oQhjpcp,savetherhino,branded
DVF8oQhjpcp,kuneneregion,community_other
DVF8oQhjpcp,namibia,generic
DUP4CreEVt1,savetherhinotrust,branded
DUP4CreEVt1,rhinoconservation,branded
DWny2u3DoHP,savetherhinotrust,branded
DWny2u3DoHP,guardianshipcertificate,community_other
DWBK6wwjrgc,savetherhino,branded
DWBK6wwjrgc,rhinoconservation,branded
DWBK6wwjrgc,blackrhino,branded
DVskknKErzC,savetherhino,branded
DVskknKErzC,blackrhino,branded
DVskknKErzC,kuneneregion,community_other
DWQnsyXjpjb,savetherhinotrust,branded
DWQnsyXjpjb,blackrhino,branded
DWws0QXjeph,giraffeconservationfoundation,branded
DWws0QXjeph,giraffeconservation,branded
DWws0QXjeph,keep,community_other
DWws0QXjeph,keepnamibia,branded
DWws0QXjeph,environmentaleducation,community_other
DWws0QXjeph,wildlifeeducation,community_other
DWws0QXjeph,impact,community_other
DWws0QXjeph,education,community_other
