frame,n,k,prev,ci_lo,ci_hi,flag
Protagonist,881,571,0.6481271282633371,0.6154351128633597,0.6795098902072024,
Efficacy,917,455,0.4961832061068702,0.46336308655424735,0.5290357060111318,
Collective_ID,917,266,0.2900763358778626,0.26110212847164643,0.32083444555092616,
Scientific,917,262,0.2857142857142857,0.2568900581198136,0.316359632661558,
Onscreen_Text,879,199,0.22639362912400454,0.1994108772619587,0.2558062412544676,
Threat,917,178,0.1941112322791712,0.16929385482391346,0.22153493077953204,
Empathy,917,162,0.1766630316248637,0.1528287376617396,0.20325442094305476,
Moral,917,127,0.13849509269356597,0.11713584937985981,0.16294374418285232,
Economic,917,115,0.12540894220283533,0.10502068530889339,0.14900167328635247,
Youth_Addressed,917,47,0.05125408942202835,0.038288827645717484,0.06810492321961871,
Interactivity,917,16,0.017448200654307525,0.010351861942010978,0.02882214848112799,FLOOR (<3%)
Youth_Style,882,14,0.015873015873015872,0.009054734059533718,0.02716919594778691,FLOOR (<3%)
Normative,917,6,0.006543075245365322,0.002662538139144869,0.014940197807379098,FLOOR (<3%)
Data_Visual,881,4,0.004540295119182747,0.0014554309976252142,0.012421446120478253,FLOOR (<3%)
