topic,count,name,top_words,rep_docs
-1,421,-1_god_love_bless_god bless,"god, love, bless, god bless, guys, thank, wow, good","['God Bless You ❤️🩷🧡💛', 'God bless you guys, ❤️😍🙏', 'Love God Father, love God Holy Spirit and love God Jesus Christ. Love all people. Believe in the gospel of Jesus Christ and you will be spiritually born again into the family of God. This is the gospel that Jesus Christ died for the sins of the world, was buried and rose again from the dead 3 days later. Good works take you to heaven. Be not proud. Fear God. For God is love. Walk in love. Walk in truth. Walk in the spirit. Honor God. Praise God. Give glory to God. www.kingjamesbibleonline.org']"
0,438,0_right_sad_know_beautiful,"right, sad, know, beautiful, love, , , ","['So beautiful😍', 'I know her👀', 'So right😍']"
1,163,1_amazing beautiful_grazie_thanks_beautiful,"amazing beautiful, grazie, thanks, beautiful, amazing, , , ","['Beautiful❤️', '❤️❤️❤️😍😍thanks', 'Grazie😍']"
2,67,2_good job_thing_precious_poor,"good job, thing, precious, poor, job, good, , ","['Precious❤️', '😢poor thing', '👏👏good job']"
3,48,3_ehra_experience_best_volunteering,"ehra, experience, best, volunteering, life, stay, amazing, time","['Congratulations!! The BEST 6 weeks of my life in 2013 volunteering with the amazing EHRA. So many amazing experiences during that time but hands down my favourite moment was during the night when one of the elephants came to eat off the branches over my head whilst I was asleep in the treehouse at base camp 💖 a moment that will stay with me forever, among many during those magical 6 weeks. I hope to bring my children one day when they are old enough. Congratulations once again, so well deserved 🩶 🐘 🩶', 'Volunteering for EHRA was a great experience. Thanks EHRA!', 'Congratulations to everyone at EHRA! Volunteering there had a huge impact on me and still does. After what was supposed to be a 6 week trip to Namibia turned into a 6 month stay! I never wanted to say goodbye to Namibia or EHRA. Spending most of my time with EHRA I had some amazing experiences. To this day I remember my time in Namibia as one of the happiest moments of my life ❤️ I fondly remember all the friends made and good moments shared especially spending my 21st birthday at base camp! Being invited to join Christmas and New Years with people I met working at EHRA, seeing new landscapes and animals, sleeping out in the bush under the start by the campfire, building protection walls and dams to name a few. Also being part of something bigger than me and helping make what was hopefully a lasting difference to people and elephants! I hope to return someday with my husband to show him the great work EHRA does. Who knows how long I’ll stay this time 😂']"
4,47,4_work_great work_job_good job,"work, great work, job, good job, work guys, great, love work, thanks","['Great work! ❤️', 'Great work!', 'Fabulous work Hanjo and Lorre!! @aywaforestfarm 🌳 🌱 💚']"
5,46,5_beautiful_cute_adorable_beauty,"beautiful, cute, adorable, beauty, precious, looks, puppies, doesn","['BEAUTIFUL 🦒', 'Beautiful 😍', 'So beautiful']"
6,46,6_congratulations_congrats_wait_news,"congratulations, congrats, wait, news, proud, end, time, experience","['Congratulations @sims_ii99', 'Congratulations!👏', 'Congratulations 🍾 ❤️🙌']"
7,42,7_fishing_ve_small_easier,"fishing, ve, small, easier, little, away, bravo, spot","['It’s interesting in the beginning I did not spit them however now I can see the most of the cords straight away.  Bravo to you and your team in catching them.  That’s the exciting part, of course as well as cutting the cords off and seeing them scamper away.  I’ve said it before and I’ll say it again, to whoever designed the nets and made the zippers - huge bravo to you!!', 'Should get some small one sided scalpels with a thin dull curve on the top to get underneath for the super tight ones. But you all are doing just fine with all of what you do and I’m sure have plenty of tools we don’t see, just makes me think of ideas of different tools to help. What a great job this was cutting into the strong little pup. Nice save as per usual 👍🏼.', 'This was cool to watch! I’ve watched a few so far and you’ve gain a sub. After you locate one who is entangled from afar, how do you keep track of it during the seal stampede? I figure it is easier when it is a rope, but when it is a fishing line, I imagine it would be difficult. Is it simply an exercise in not taking your eyes off it?']"
8,42,8_ya_natural_grazie_animal,"ya, natural, grazie, animal, love, , , ","['Io penso che gli animali che salvate vi saranno per sempre riconoscenti grazie 🙏🙏🙏', 'Que triste 😥 que los separen de su madre..ya no podrán estar en su entorno ..su naturaleza..🙌', 'Diese Bank finanziert ökologisch zerstörerische Projekte in „geschützten"" Naturgebieten und arbeitet mit korrupten Regierungen zusammen.\nThis bank finances ecologically destructive projects in ""protected"" natural areas and collaborates with corrupt governments.\nEste banco financia proyectos ecológicamente destructivos en áreas naturales ""protegidas"" y colabora con gobiernos corruptos.\n#aquino #topolobampo']"
9,40,9_miss_oh_hi_definitely,"miss, oh, hi, definitely, taking, rachel, night, respect","['I miss U ❤️', 'miss you Mieli🥺🥺🥺', 'I miss you😍']"
10,39,10_guy_perfect_poor_love,"guy, perfect, poor, love, time, like, little, baby","['I love this guy and his commentary! A hero with a beautiful voice ❤️❤️', 'Look at those little tufts on their horns! They’re just so beautiful! ❤️❤️❤️', 'The bracelets are really nice. I love my one which I bought in November last year during our exclusive volunteering project ♥️♥️♥️']"
11,36,11_thank thank_thank_sharing_link,"thank thank, thank, sharing, link, nice, thanks, , ","['Thank You 😍', 'Thank you 🙏🏼', 'Thank you 🙏🏼']"
12,33,12_fantastic_cool_amazing_brilliant,"fantastic, cool, amazing, brilliant, incredible, great, beautiful amazing, 000","['Fantastic!👏', 'BLOODY FANTASTIC! Xxx', 'Fantastic!👏🏾❣️☀️']"
13,33,13_animals_conservation_animal_make,"animals, conservation, animal, make, wildlife, earth, important, humans","[""No, elephants aren't our enemies. We have to Lear to live with and amongst them, just like everything in nature...we ARE part of nature, therefore, living in harmony with wildlife should be entirely NATURAL 🙏"", '“Earth Day every day 🌍💚 Because protecting the planet can’t be a once-a-year commitment 🌱 It’s in the choices we make daily—planting more, wasting less, conserving water, and living in greater harmony with nature. Small actions, when done consistently, create lasting change 🌿✨”', 'As a science teacher, I believe that we must protect biodiversity, as a moral obligation and because the Earth’s systems are interconnected, whatever happens in the biosphere affects the lithosphere, hydrosphere and atmosphere.  I think we need to change education so that we can start teaching more compassionate science that does not involve animal dissections or using live wild animals as specimens away from their habitat.  Students are desensitised at school and normalise what happens to farming/racing/testing animals in cruel industries. We must learn how to regenerate our planet and any changes we can make to the school curriculum to make that happen is essential! Please sign my petition, I need to reach 1,000 signatures (Link in my Bio). Thank you.']"
14,30,14_seals_seal_save_need help,"seals, seal, save, need help, run, eat, help, human","['❤️❤️❤️❤️❤️ You guys are constant and consistent in your aid to the seals xx thank you !', 'It’s so amazing how many seals y’all have saved!! 🤍🤍', 'I love seals! 🦭']"
15,29,15_grazie_program_für_bravo,"grazie, program, für, bravo, videos, oh, danke, ","['Grazie 🙏', 'Grazie 🙏🙏🙏', 'Un filo quasi invisibile 🥺 grazie ❤️❤️❤️']"
16,27,16_heroes_real_little_god bless,"heroes, real, little, god bless, witness, bless, said, thank god","['17 Heroes and a Shy Puppy 😂', 'Heroes ❤️', '..............Heroes!! ❤️💯😮😍👏🏼🎉😊😘🥰💯❤️']"
17,24,17_awesome_thank guys_guys_job guys,"awesome, thank guys, guys, job guys, guys thank, thank doing, great job, fantastic","['You guys are awesome', '👏👏👏👏 You guys are Awesome!!! Thank you 🙏', 'You guys are awesome. Thank you!']"
18,24,18_reach_going_face_ve,"reach, going, face, ve, wait, pictures, doing amazing, able","[""Can't wait! Going to get geared up! 💜💜🦒🦒🦒 @giraffe_conservation #standtallforgiraffe"", 'This is awesome I’m so glad giraffes are going to be the next book in the series ❤️ so many fabulous animals to protect we could keep going forever 🤗❤️🦒🦒🦒', ""I love giraffes, also.  Happy Thanksgiving Day in 2025,  the giraffe_conversation homepage.  This intriguing animal plays a major part in Charles Darwin evolution theory.  The giraffe with a short neck desires to reach food higher than he or she can reach.  By concentrating or desiring to reach food higher than a short neck giraffe can reach, the development of the longer neck giraffe becomes a seed to plant in female giraffes to birth long neck giraffes.  AMAZING?  Yes, it's amazing.  A follower of the giraffe_conversation homepage, Mr Pea if you are under the age of twenty-one(21) or without a girlfriend or a potential wife or a wife or just Marcus to real familiar face African American family members and my very few familiar face African American friends.""]"
19,23,19_wish___,"wish, , , , , , , ","['Wish there’d been 1985 at least since ‘84 at latest in Iran', 'Wish there’d been 87 at least since 1984 at latest in Iran', ""Wish there'd been 1988 at least since '84 at latest in Iran""]"
20,21,20_saving_puppies_thing_poor,"saving, puppies, thing, poor, little, hard, patrol, different","['This pup stood his ground! Thank you for all the hard work you do saving these babies!', 'Big bosses saving the chunky puppies ❤️', 'That poor little pup.  Great sign how quick he skedaddled to catch up with his friends.  Saltwater do your thing. 🤞']"
21,20,21_adorable_let_need_birthday,"adorable, let, need, birthday, know, happy, doing amazing, november","['I know exactly where this pic was taken and I miss these special moments so much. Cheetahs are so cute and adorable together ♥️♥️♥️', 'This is a great job , Thank you for doing this amazing job to save All the Cheetah as nessery 🙏🙏💪❤️❤️❤️. By the way , WHERE CAN I DO THIS VOLUNTERY WORK , I want to do it too , Please let me know the mail address 🙏🙏❤️', ""What a little cutie! That cheetah cub looks so adorable and curious. I'll definitely check out CheetahTV!""]"
22,19,22_animals_creatures_thank saving_precious,"animals, creatures, thank saving, precious, saving, thank, planet, humans","['Thank you for doing the work you do to help these beautiful animals', 'Thank you for saving these precious cubs ♥️', 'Wondrous creatures! Thank you for saving them.']"
23,19,23_thank thank_thank_guys thank_thank guys,"thank thank, thank, guys thank, thank guys, guys, thanks, best, ","['Thank you', 'Thank you', 'Thank you!!!!!']"
24,18,24_does_project_volunteer_looking,"does, project, volunteer, looking, look, hi, sign, proposal","['How does one apply', 'How does one apply', 'good looking can you plz also become the investors of skoonhied resettlement project farm @naankuse_foundation']"
