commenter,src_org,weight
C0001,oceanconservationnamibia,1
C0003,ccfcheetah,1
C0004,oceanconservationnamibia,1
C0005,ehranamibia,1
C0006,oceanconservationnamibia,1
C0007,ehranamibia,1
C0008,ccfcheetah,1
C0009,giraffe_conservation,2
C0010,africat_foundation,1
C0011,ccfcheetah,46
C0012,oceanconservationnamibia,1
C0014,oceanconservationnamibia,1
C0015,ccfcheetah,1
C0016,wwfnamibia,1
C0017,giraffe_conservation,2
C0019,oceanconservationnamibia,1
C0020,namibia_nature_foundation,1
C0021,ccfcheetah,1
C0021,naankuse_foundation,9
C0022,namyouthchamber,1
C0023,oceanconservationnamibia,1
C0024,namyouthchamber,1
C0026,oceanconservationnamibia,1
C0027,oceanconservationnamibia,1
C0028,giraffe_conservation,1
C0030,desertlionconservation,1
C0031,ongavagamereserve,1
C0032,ccfcheetah,1
C0033,harnaswildlifefoundation,1
C0034,oceanconservationnamibia,1
C0035,giraffe_conservation,1
C0036,oceanconservationnamibia,1
C0037,ongavagamereserve,1
C0038,africat_foundation,2
C0039,oceanconservationnamibia,1
C0040,ccfcheetah,2
C0041,naankuse_foundation,2
C0041,ongavagamereserve,1
C0042,oceanconservationnamibia,1
C0043,oceanconservationnamibia,1
C0044,giraffe_conservation,5
C0045,namyouthchamber,1
C0046,harnaswildlifefoundation,1
C0047,oceanconservationnamibia,3
C0048,giraffe_conservation,1
C0049,oceanconservationnamibia,1
C0050,oceanconservationnamibia,1
C0051,oceanconservationnamibia,1
C0052,oceanconservationnamibia,1
C0053,naankuse_foundation,1
C0054,africat_foundation,1
C0055,harnaswildlifefoundation,1
C0056,ehranamibia,2
C0057,ccfcheetah,1
C0058,giraffe_conservation,1
C0059,ccfcheetah,1
C0060,oceanconservationnamibia,4
C0061,oceanconservationnamibia,5
C0062,naankuse_foundation,1
C0063,africat_foundation,1
C0064,oceanconservationnamibia,1
C0065,oceanconservationnamibia,2
C0066,ccfcheetah,4
C0067,ehranamibia,5
C0068,ehranamibia,1
C0069,ccfcheetah,1
C0070,giraffe_conservation,1
C0071,naankuse_foundation,1
C0072,oceanconservationnamibia,2
C0073,ccfcheetah,3
C0074,oceanconservationnamibia,2
C0075,ccfcheetah,1
C0076,oceanconservationnamibia,1
C0077,oceanconservationnamibia,1
C0078,ccfcheetah,1
C0079,ehranamibia,1
C0080,gobabeb,2
C0080,wwfnamibia,1
C0081,ehranamibia,1
C0082,oceanconservationnamibia,1
C0083,oceanconservationnamibia,1
C0084,oceanconservationnamibia,1
C0085,ehranamibia,2
C0086,giraffe_conservation,1
C0087,ehranamibia,1
C0088,oceanconservationnamibia,1
C0089,oceanconservationnamibia,1
C0090,oceanconservationnamibia,1
C0091,oceanconservationnamibia,1
C0092,savetherhinonamibia,2
C0093,oceanconservationnamibia,1
C0094,ccfcheetah,2
C0095,ccfcheetah,1
C0096,tosconamibia,2
C0097,oceanconservationnamibia,2
C0098,oceanconservationnamibia,1
C0099,oceanconservationnamibia,1
C0100,africat_foundation,3
C0101,gobabeb,1
C0102,ccfcheetah,1
C0103,africat_foundation,2
C0104,giraffe_conservation,1
C0105,oceanconservationnamibia,5
C0106,oceanconservationnamibia,2
C0107,ongavagamereserve,1
C0108,oceanconservationnamibia,1
C0109,oceanconservationnamibia,2
C0110,ccfcheetah,1
C0111,oceanconservationnamibia,1
C0112,ehranamibia,1
C0113,oceanconservationnamibia,2
C0114,harnaswildlifefoundation,1
C0115,oceanconservationnamibia,1
C0116,giraffe_conservation,1
C0117,oceanconservationnamibia,1
C0118,giraffe_conservation,1
C0119,oceanconservationnamibia,4
C0120,africat_foundation,1
C0121,ccfcheetah,1
C0122,ehranamibia,1
C0123,giraffe_conservation,1
C0124,africat_foundation,1
C0125,ccfcheetah,1
C0127,oceanconservationnamibia,1
C0128,oceanconservationnamibia,1
C0129,ehranamibia,1
C0130,desertlionconservation,1
C0131,oceanconservationnamibia,2
C0132,ehranamibia,1
C0133,oceanconservationnamibia,1
C0134,oceanconservationnamibia,2
C0135,harnaswildlifefoundation,2
C0136,oceanconservationnamibia,2
C0137,oceanconservationnamibia,1
C0138,oceanconservationnamibia,1
C0139,oceanconservationnamibia,1
C0140,ehranamibia,1
C0141,giraffe_conservation,1
C0142,oceanconservationnamibia,4
C0143,oceanconservationnamibia,17
C0144,oceanconservationnamibia,1
C0145,ehranamibia,1
C0146,tosconamibia,1
C0147,ccfcheetah,1
