commenter,n_comments,n_posts,n_orgs,mean_vader,orgs_list
C0310,32,32,3,0.0,ccfcheetah;ehranamibia;giraffe_conservation
C0535,10,10,3,0.0,africat_foundation;ehranamibia;giraffe_conservation
C0938,4,4,3,0.27332500000000004,africat_foundation;ehranamibia;ongavagamereserve
C0321,28,28,2,0.0,ccfcheetah;giraffe_conservation
C0648,23,23,2,0.4018999999999999,ccfcheetah;harnaswildlifefoundation
C0770,23,23,2,0.052869565217391314,ccfcheetah;giraffe_conservation
C0021,10,9,2,0.04019,ccfcheetah;naankuse_foundation
C0220,6,6,2,0.4575833333333333,harnaswildlifefoundation;naankuse_foundation
C0350,5,5,2,0.5911799999999999,gobabeb;savetherhinonamibia
C0716,4,4,2,0.0502,ccfcheetah;naankuse_foundation
C0977,4,4,2,0.0,ehranamibia;giraffe_conservation
C1212,4,4,2,0.3668,ehranamibia;tosconamibia
C0041,3,3,2,0.2038,naankuse_foundation;ongavagamereserve
C0080,3,3,2,-0.11296666666666666,gobabeb;wwfnamibia
C0162,3,3,2,0.28636666666666666,ccfcheetah;savetherhinonamibia
C0166,3,3,2,-0.1531,harnaswildlifefoundation;naankuse_foundation
C0833,3,3,2,0.6898666666666666,africat_foundation;ehranamibia
C0573,2,2,2,0.2258,ccfcheetah;giraffe_conservation
C0774,2,2,2,0.0,ehranamibia;naankuse_foundation
C0780,2,2,2,0.6586,ccfcheetah;giraffe_conservation
C0910,2,2,2,0.2202,ehranamibia;giraffe_conservation
C1019,2,2,2,0.7462,gobabeb;namibia_nature_foundation
C1228,2,2,2,0.7663500000000001,ministry_of_environment_nam;namibia_nature_foundation
C1249,2,2,2,0.1591,africat_foundation;savetherhinonamibia
C0011,46,45,1,0.02627826086956522,ccfcheetah
C0616,23,23,1,0.0,giraffe_conservation
C0899,22,22,1,0.0,oceanconservationnamibia
C0633,18,18,1,0.0,giraffe_conservation
C0826,18,18,1,0.0,harnaswildlifefoundation
C1031,18,18,1,0.0,giraffe_conservation
C1185,18,18,1,-0.03261666666666666,oceanconservationnamibia
C0143,17,17,1,0.0,oceanconservationnamibia
C1221,16,16,1,0.0,harnaswildlifefoundation
C0570,14,14,1,0.6688285714285714,giraffe_conservation
C0686,13,13,1,0.0,oceanconservationnamibia
C0896,13,13,1,0.0,oceanconservationnamibia
C0413,11,10,1,0.0,oceanconservationnamibia
C0923,11,10,1,0.0,oceanconservationnamibia
C0437,10,10,1,0.34156,giraffe_conservation
C0890,10,10,1,0.48684000000000005,naankuse_foundation
C0294,9,9,1,0.0,oceanconservationnamibia
C1116,9,9,1,0.0,oceanconservationnamibia
C0543,8,8,1,0.3672875,oceanconservationnamibia
C0619,8,8,1,0.6600375,oceanconservationnamibia
C1033,8,8,1,0.0,oceanconservationnamibia
C0159,7,7,1,0.7878571428571428,harnaswildlifefoundation
C0180,7,7,1,0.0,oceanconservationnamibia
C0181,7,7,1,0.0,ehranamibia
C0485,7,6,1,0.0516,oceanconservationnamibia
C0609,7,7,1,0.0,oceanconservationnamibia
C0684,7,7,1,0.0,ccfcheetah
C0765,7,7,1,0.46972857142857144,oceanconservationnamibia
C0522,6,6,1,0.0,oceanconservationnamibia
C0674,6,6,1,0.2901666666666667,ehranamibia
C1087,6,6,1,0.060200000000000004,oceanconservationnamibia
C0044,5,5,1,0.46542000000000006,giraffe_conservation
C0061,5,5,1,0.48773999999999995,oceanconservationnamibia
C0067,5,5,1,0.19552,ehranamibia
C0105,5,5,1,0.44342,oceanconservationnamibia
C0197,5,5,1,0.23902,oceanconservationnamibia
C0248,5,5,1,0.29481999999999997,oceanconservationnamibia
C0352,5,5,1,0.6689200000000001,ccfcheetah
C0376,5,5,1,0.23976000000000003,ccfcheetah
C0419,5,5,1,0.0,oceanconservationnamibia
C0469,5,5,1,0.09135999999999997,oceanconservationnamibia
C0525,5,5,1,0.0,ccfcheetah
C0527,5,5,1,0.0,oceanconservationnamibia
C0586,5,5,1,0.0,oceanconservationnamibia
C0611,5,5,1,0.6245,ccfcheetah
C0670,5,5,1,0.19454,naankuse_foundation
C0751,5,5,1,0.6968599999999999,harnaswildlifefoundation
C0807,5,5,1,0.2642,oceanconservationnamibia
C0827,5,5,1,0.0,oceanconservationnamibia
C0854,5,5,1,0.11438,ccfcheetah
C0966,5,5,1,0.14448,oceanconservationnamibia
C1056,5,5,1,0.3612,oceanconservationnamibia
C1231,5,5,1,0.49538000000000004,ccfcheetah
C0060,4,4,1,0.1101,oceanconservationnamibia
C0066,4,3,1,0.301425,ccfcheetah
C0119,4,3,1,0.0,oceanconservationnamibia
C0142,4,4,1,0.0,oceanconservationnamibia
C0196,4,4,1,0.352775,ccfcheetah
C0211,4,4,1,0.1647,ccfcheetah
C0296,4,4,1,0.31532499999999997,oceanconservationnamibia
C0381,4,4,1,0.7577,giraffe_conservation
C0386,4,3,1,-0.21225,oceanconservationnamibia
C0393,4,4,1,0.7284,giraffe_conservation
C0453,4,3,1,-0.08960000000000001,oceanconservationnamibia
C0572,4,4,1,0.0903,oceanconservationnamibia
C0658,4,4,1,0.357925,oceanconservationnamibia
C0669,4,4,1,0.0,oceanconservationnamibia
C0688,4,4,1,0.3612,oceanconservationnamibia
C0691,4,4,1,0.30295000000000005,giraffe_conservation
C0735,4,4,1,0.0,naankuse_foundation
C0775,4,4,1,0.69925,ccfcheetah
