Post_ID,src_org,mentioned,is_own_org
DWjdIZtjHgI,wwfnamibia,ministry_of_environment_nam,1
DWjdIZtjHgI,wwfnamibia,namibia_nature_foundation,1
DWjdIZtjHgI,wwfnamibia,mfmrnamibia,0
DWjdIZtjHgI,wwfnamibia,namib_rand,0
DWjdIZtjHgI,wwfnamibia,pro.namib,0
DWW4P-5CLtE,ministry_of_environment_nam,wwfnamibia,1
DWW4P-5CLtE,ministry_of_environment_nam,ccfnam,0
DWW4P-5CLtE,ministry_of_environment_nam,nacso_namibia1,1
DWW4P-5CLtE,ministry_of_environment_nam,namibia_nature_foundation,1
DWW4P-5CLtE,ministry_of_environment_nam,kfw_namibia,0
DWUhj7VjtYE,ministry_of_environment_nam,wwfnamibia,1
DWUhj7VjtYE,ministry_of_environment_nam,ccfnam,0
DWUhj7VjtYE,ministry_of_environment_nam,nacso_namibia1,1
DWUhj7VjtYE,ministry_of_environment_nam,namibia_nature_foundation,1
DWUhj7VjtYE,ministry_of_environment_nam,kfw_namibia,0
DXceVTokb5e,giraffe_conservation,felixrome_,0
DXceVTokb5e,giraffe_conservation,governorscampcollection,0
DXhn93Tjbxw,giraffe_conservation,savannaimages,0
DXmxhmVDVZm,giraffe_conservation,namibiandroneacademy,0
DVvS2FYjO4c,wwfnamibia,fao,0
DU2f6MXjhAG,savetherhinonamibia,marcuswestbergphotography,0
DVa3opXjgA4,savetherhinonamibia,marcus,0
DVF8oQhjpcp,savetherhinonamibia,marcuswestbergphotography,0
DWny2u3DoHP,savetherhinonamibia,marcuswestbergphotography,0
DWBK6wwjrgc,savetherhinonamibia,marcus,0
DVskknKErzC,savetherhinonamibia,marcuswestbergphotography,0
DWQnsyXjpjb,savetherhinonamibia,marcus,0
DWws0QXjeph,giraffe_conservation,naturalselectiontravel,0
DWws0QXjeph,giraffe_conservation,aucklandzoo,0
DWws0QXjeph,giraffe_conservation,ministry_of_environment_nam,1
DWws0QXjeph,giraffe_conservation,wilhelma_stuttgart,0
DWws0QXjeph,giraffe_conservation,blankparkzoo,0
DVX-MaIDs-A,savetherhinonamibia,marcuswestbergphotography,0
DWgEfuPDuiu,savetherhinonamibia,marcus,0
DXMoBOzDnXM,gobabeb,nustnamibia,0
DWrjZFUDvNu,giraffe_conservation,meha.kumar_,0
DWmZr1-Ewni,giraffe_conservation,felixrome_,0
DWmZr1-Ewni,giraffe_conservation,governorscampcollection,0
DTfkmjZiIqB,nacso_namibia1,nacso.org.na,0
DQrx5BLD64o,savetherhinonamibia,ministry_of_environment_nam,1
DRPZSnICLAt,nacso_namibia1,namibia_nature_foundation,1
DXwfTUBjkcO,ccfcheetah,c0318,0
DW1KVyzCmTL,namyouthchamber,letsmakeokahaotowngreen,0
DW1KVyzCmTL,namyouthchamber,the.village_boy,0
DW1KVyzCmTL,namyouthchamber,okahaotowncouncil,0
DROvNLoDNmc,namibia_nature_foundation,ministry_of_environment_nam,1
DRNXF-BgS9b,savetherhinonamibia,namibia_nature_foundation,1
DVwU7pzDM_m,giraffe_conservation,africanparksnetwork,0
DVwU7pzDM_m,giraffe_conservation,inbac_oficial,0
DV6oG8iDJKi,giraffe_conservation,sanparks,0
DWHgHlgj4h3,giraffe_conservation,felixrome_,0
DWUYKewCPZI,giraffe_conservation,uwauganda,0
DWUYKewCPZI,giraffe_conservation,africanparksnetwork,0
DWUYKewCPZI,giraffe_conservation,cms.migratory.species,0
DV1ejcrjD4w,giraffe_conservation,pjarquek,0
DWZhpaAj9mI,giraffe_conservation,felixrome_,0
DWMpye-jTwn,giraffe_conservation,naturalselectiontravel,0
DWMpye-jTwn,giraffe_conservation,aucklandzoo,0
DWMpye-jTwn,giraffe_conservation,ministry_of_environment_nam,1
DWMpye-jTwn,giraffe_conservation,wilhelma_stuttgart,0
DWMpye-jTwn,giraffe_conservation,blankparkzoo,0
DR2Pq0aDO16,africat_foundation,pascal__ok,0
DR2Pq0aDO16,africat_foundation,riccoseebach,0
DSpvIk3DMXZ,africat_foundation,windhoek_animal_hospital,0
DS2oMpeDIjB,africat_foundation,pascal__ok,0
DTGPqHUjOPo,africat_foundation,pascal__ok,0
DUtYO6nDaS4,giraffe_conservation,mlorentz23,0
DUtYO6nDaS4,giraffe_conservation,safarious,0
DU_ZzNqDJmc,giraffe_conservation,mlorentz23,0
DU_ZzNqDJmc,giraffe_conservation,safarious,0
DVMRx8yCMbB,giraffe_conservation,naturalselectiontravel,0
DVMRx8yCMbB,giraffe_conservation,ministry_of_environment_nam,1
DVMRx8yCMbB,giraffe_conservation,nustnamibia,0
DVMRx8yCMbB,giraffe_conservation,unam_na,0
DVRbYULjY8q,giraffe_conservation,mlorentz23,0
DVRbYULjY8q,giraffe_conservation,safarious,0
DVjc9hvjaPy,giraffe_conservation,bobbyjophotography,0
DSAiXtljEJ3,africat_foundation,pascal__ok,0
DVWk_9XDbv8,giraffe_conservation,wildlifeclubsofkenya_,0
DTQXoYHDNgM,africat_foundation,pascal__ok,0
DU6QOvFk9xX,giraffe_conservation,unam_na,0
DU6QOvFk9xX,giraffe_conservation,naturalselectiontravel,0
