Post_ID,src_org,org_text
DWjdIZtjHgI,wwfnamibia,Nature Reserve
DWjdIZtjHgI,wwfnamibia,ProNamib Nature Reserve
DWjdIZtjHgI,wwfnamibia,@namibia_nature_foundation
DWW4P-5CLtE,ministry_of_environment_nam,National Communal Conservancies and
DWW4P-5CLtE,ministry_of_environment_nam,Community Forest Alliance
DWW4P-5CLtE,ministry_of_environment_nam,the National CBNRM Conference
DWW4P-5CLtE,ministry_of_environment_nam,SustainableTourism @wwfnamibia @ccfnam @nacso_namibia1 @namibia_nature_foundation
DWUhj7VjtYE,ministry_of_environment_nam,Natural Resources Management Colgar Sikopo
DWUhj7VjtYE,ministry_of_environment_nam,the National CBNRM Conference’s
DWUhj7VjtYE,ministry_of_environment_nam,CBNRM
DWUhj7VjtYE,ministry_of_environment_nam,SustainableTourism @wwfnamibia @ccfnam @nacso_namibia1 @namibia_nature_foundation
DRUGF9ajCli,youth4can_namibia,The Youth Climate Change Conference
DRUGF9ajCli,youth4can_namibia,the Emirates Hotel
DRUGF9ajCli,youth4can_namibia,SOS Children’s Villages Namibia
DRUGF9ajCli,youth4can_namibia,the Eco-Champions Project
DRUGF9ajCli,youth4can_namibia,"NAYORE, Tulonga Foundation"
DRUGF9ajCli,youth4can_namibia,Wakapinya Environmental Education
DRUGF9ajCli,youth4can_namibia,"the Ministry of Environment, Forestry and Tourism"
DRUGF9ajCli,youth4can_namibia,Develop
DXceVTokb5e,giraffe_conservation,GCF
DXuf7d6EZeD,giraffe_conservation,the San Diego Zoo Wildlife Alliance
DXuf7d6EZeD,giraffe_conservation,Twiga Walinzi
DXuf7d6EZeD,giraffe_conservation,GCF
DXgfcC4CBh-,ministry_of_environment_nam,Namibia Tourism Board
DXgfcC4CBh-,ministry_of_environment_nam,MSME
DXgfcC4CBh-,ministry_of_environment_nam,"the Ministry’s Administration, Planning and"
DXgfcC4CBh-,ministry_of_environment_nam,NTB
DXgfcC4CBh-,ministry_of_environment_nam,MEFT
DXgfcC4CBh-,ministry_of_environment_nam,NTB
DUx-o2qCL2l,nacso_namibia1,Blue Economy
DUx-o2qCL2l,nacso_namibia1,BlueEconomy
DVGf_p2iJ72,nacso_namibia1,NACSO
DXqj3iSiA-v,ministry_of_environment_nam,The Ministry’s Wildlife Support Services Control Warden
