src_org,mentioned,is_own_org,weight
africat_foundation,pascal__ok,0,32
ehranamibia,ehranamibia.org,0,17
namibia_nature_foundation,ministry_of_environment_nam,1,11
ehranamibia,c0674,0,10
savetherhinonamibia,marcuswestbergphotography,0,9
giraffe_conservation,felixrome_,0,9
ehranamibia,conservation.diaries,0,9
giraffe_conservation,governorscampcollection,0,7
giraffe_conservation,naturalselectiontravel,0,6
giraffe_conservation,ministry_of_environment_nam,1,5
giraffe_conservation,africanparksnetwork,0,5
giraffe_conservation,kenyawildlifeservice,0,5
giraffe_conservation,mlorentz23,0,5
ministry_of_environment_nam,ccfnam,0,4
namibia_nature_foundation,stateinl,0,4
ministry_of_environment_nam,kfw_namibia,0,4
ministry_of_environment_nam,nacso_namibia1,1,4
ccfcheetah,c0318,0,4
savetherhinonamibia,marcus,0,4
ministry_of_environment_nam,namibia_nature_foundation,1,4
giraffe_conservation,ugwildlife,0,3
giraffe_conservation,savannaimages,0,3
giraffe_conservation,safarious,0,3
ministry_of_environment_nam,wwfnamibia,1,3
namibia_nature_foundation,euinnam,0,3
giraffe_conservation,wildmeorg,0,3
giraffe_conservation,unam_na,0,3
namibia_nature_foundation,nacso_namibia1,1,3
namibia_nature_foundation,namyouthchamber,1,3
namibia_nature_foundation,wwfnamibia,1,3
ccfcheetah,c0969,0,3
namibia_nature_foundation,jrsbiodiversity,0,3
namibia_nature_foundation,namra_org_na,0,3
naankuse_foundation,c0590,0,2
wwfnamibia,ministry_of_environment_nam,1,2
oceanconservationnamibia,nustnamibia,0,2
giraffe_conservation,mozwildlifealliance,0,2
oceanconservationnamibia,kingsleyholgatefoundation,0,2
oceanconservationnamibia,c0963,0,2
giraffe_conservation,nustnamibia,0,2
namibia_nature_foundation,c0921,0,2
namibia_nature_foundation,workingdogsforconservation,0,2
giraffe_conservation,thesafaricollection,0,2
giraffe_conservation,universitycollegecork,0,2
namibia_nature_foundation,nczoo,0,2
giraffe_conservation,universitycollegedublin,0,2
namibia_nature_foundation,namibianpoliceforce,0,2
namibia_nature_foundation,wildnetorg,0,2
giraffe_conservation,wilhelma_stuttgart,0,2
giraffe_conservation,wrtikenya,0,2
giraffe_conservation,zcp_zambia,0,2
namibia_nature_foundation,unam_na,0,2
namibia_nature_foundation,savetherhinonamibia,1,2
namibia_nature_foundation,rhinorecoveryfund,0,2
giraffe_conservation,wildlifeclubsofkenya_,0,2
wwfnamibia,wwf.na,0,2
giraffe_conservation,blankparkzoo,0,2
eif_namibia,unam_na,0,2
africat_foundation,windhoek_animal_hospital,0,2
giraffe_conservation,inbac_oficial,0,2
africat_foundation,okonjima_nature_reserve,0,2
giraffe_conservation,aucklandzoo,0,2
giraffe_conservation,bobbyjophotography,0,2
namibia_nature_foundation,the_iied,0,1
namibia_nature_foundation,sodi_ev,0,1
ccfcheetah,simonsquibb,0,1
namibia_nature_foundation,u.s.forestservice,0,1
ccfcheetah,wildcorwin,0,1
ccfcheetah,serengetiparkhodenhagen,0,1
namibia_nature_foundation,undpnamibia,0,1
namibia_nature_foundation,unesco,0,1
namibia_nature_foundation,uofglasgow,0,1
namibia_nature_foundation,usembnamibia,0,1
namibia_nature_foundation,smartcnsvtools,0,1
giraffe_conservation,kaza.tfca,0,1
ehranamibia,c0367,0,1
ccfcheetah,c0593,0,1
namibia_nature_foundation,rewild,0,1
namibia_nature_foundation,oppgenrc,0,1
namibia_nature_foundation,novanam,0,1
ehranamibia,savetheelephants,0,1
ehranamibia,stephanie.morgan.photography,0,1
ehranamibia,zooberlin,0,1
eif_namibia,bankwindhoek,0,1
namibia_nature_foundation,namibia_helicopter,0,1
eif_namibia,eif.org.na,0,1
eif_namibia,ministry_of_environment_nam,1,1
namibia_nature_foundation,luderitztowncouncil,0,1
namibia_nature_foundation,living.earth.africa,0,1
ccfcheetah,c1065,0,1
namyouthchamber,ehranamibia,1,1
ccfcheetah,artsafari,0,1
