Post_ID,src_org,place,place_type,source
DWjdIZtjHgI,wwfnamibia,NamibRand,park,gazetteer
DWjdIZtjHgI,wwfnamibia,Windhoek,town,gazetteer
DWjdIZtjHgI,wwfnamibia,Namib,feature,gazetteer
DWjdIZtjHgI,wwfnamibia,Namibia,country,gazetteer
DWW4P-5CLtE,ministry_of_environment_nam,Windhoek,town,gazetteer
DWW4P-5CLtE,ministry_of_environment_nam,Namibia,country,gazetteer
DWUhj7VjtYE,ministry_of_environment_nam,Namibia,country,gazetteer
DRUGF9ajCli,youth4can_namibia,Oshana,region,gazetteer
DRUGF9ajCli,youth4can_namibia,Namibia,country,gazetteer
DUxWaDAiHXN,nacso_namibia1,Kunene,region,gazetteer
DUxWaDAiHXN,nacso_namibia1,Zambezi,region,gazetteer
DUxWaDAiHXN,nacso_namibia1,Kavango,region,gazetteer
DUxWaDAiHXN,nacso_namibia1,Kwando,feature,gazetteer
DUxWaDAiHXN,nacso_namibia1,Namibia,country,gazetteer
DVAe29YCKEl,nacso_namibia1,Namibia,country,gazetteer
DXgfcC4CBh-,ministry_of_environment_nam,Namibia,country,gazetteer
DUx-o2qCL2l,nacso_namibia1,Walvis Bay,town,gazetteer
DUx-o2qCL2l,nacso_namibia1,Namibia,country,gazetteer
DXmxhmVDVZm,giraffe_conservation,Etosha,park,gazetteer
DVGf_p2iJ72,nacso_namibia1,Namibia,country,gazetteer
DXqj3iSiA-v,ministry_of_environment_nam,Windhoek,town,gazetteer
DVvS2FYjO4c,wwfnamibia,Bwabwata,park,gazetteer
DVvS2FYjO4c,wwfnamibia,Namibia,country,gazetteer
DXhEfFxiKkR,ministry_of_environment_nam,Windhoek,town,gazetteer
DXhEfFxiKkR,ministry_of_environment_nam,Namibia,country,gazetteer
DXhEfFxiKkR,ministry_of_environment_nam,Botswana,country,gazetteer
DU2f6MXjhAG,savetherhinonamibia,Kunene,region,gazetteer
DU2f6MXjhAG,savetherhinonamibia,Namibia,country,gazetteer
DUh5k2lAUk4,savetherhinonamibia,Kunene,region,gazetteer
DUh5k2lAUk4,savetherhinonamibia,Namibia,country,gazetteer
DVIyH5WjD2M,wwfnamibia,Namibia,country,gazetteer
DVYvpYOjOdh,wwfnamibia,Namibia,country,gazetteer
DVa3opXjgA4,savetherhinonamibia,Namibia,country,gazetteer
DVF8oQhjpcp,savetherhinonamibia,Kunene,region,gazetteer
DVF8oQhjpcp,savetherhinonamibia,Namibia,country,gazetteer
DUP4CreEVt1,savetherhinonamibia,South Africa,country,gazetteer
DVskknKErzC,savetherhinonamibia,Kunene,region,gazetteer
DVskknKErzC,savetherhinonamibia,Namibia,country,gazetteer
DXJwT-bjkEW,gobabeb,Gobabeb,place,gazetteer
