Post_ID,src_org,species,iucn_status,n_mentions
DXceVTokb5e,giraffe_conservation,Giraffe,VU,2
DUxWaDAiHXN,nacso_namibia1,Hippopotamus,VU,4
DXuf7d6EZeD,giraffe_conservation,Giraffe,VU,1
DVAe29YCKEl,nacso_namibia1,Pangolin,VU,4
DXhn93Tjbxw,giraffe_conservation,Giraffe,VU,1
DUx-o2qCL2l,nacso_namibia1,Humpback whale,LC,3
DXmxhmVDVZm,giraffe_conservation,Giraffe,VU,2
DU2f6MXjhAG,savetherhinonamibia,Rhino (unspecified),CR,2
DUh5k2lAUk4,savetherhinonamibia,Rhino (unspecified),CR,2
DVa3opXjgA4,savetherhinonamibia,Black rhino,CR,1
DVF8oQhjpcp,savetherhinonamibia,Rhino (unspecified),CR,3
DUP4CreEVt1,savetherhinonamibia,Rhino (unspecified),CR,2
DWny2u3DoHP,savetherhinonamibia,Rhino (unspecified),CR,3
DWBK6wwjrgc,savetherhinonamibia,Rhino (unspecified),CR,1
DVskknKErzC,savetherhinonamibia,Rhino (unspecified),CR,2
DWQnsyXjpjb,savetherhinonamibia,Black rhino,CR,1
DVX-MaIDs-A,savetherhinonamibia,Black rhino,CR,1
DWgEfuPDuiu,savetherhinonamibia,Rhino (unspecified),CR,2
DW4bUExGWiB,giraffe_conservation,Giraffe,VU,3
DWrjZFUDvNu,giraffe_conservation,Giraffe,VU,2
DWmZr1-Ewni,giraffe_conservation,Giraffe,VU,2
DSJ-pEaCZpG,savetherhinonamibia,Rhino (unspecified),CR,2
DXOusaviOJN,ministry_of_environment_nam,African elephant,EN,1
DSRtCbRj9Wv,savetherhinonamibia,Black rhino,CR,1
DSJ-qKtlVzK,savetherhinonamibia,Rhino (unspecified),CR,2
DSetnWpEdUz,savetherhinonamibia,Rhino (unspecified),CR,2
DRPdL0MjNdg,desertlionconservation,Lion,VU,1
DXfEn4XjoXB,desertlionconservation,Lion,VU,1
DQrx5BLD64o,savetherhinonamibia,African elephant,EN,1
DQrx5BLD64o,savetherhinonamibia,Lion,VU,1
DQrx5BLD64o,savetherhinonamibia,Leopard,VU,1
DQrx5BLD64o,savetherhinonamibia,Hippopotamus,VU,1
DQrx5BLD64o,savetherhinonamibia,Plains zebra,NT,1
DWoX4BUCpCZ,namyouthchamber,Lappet-faced vulture,EN,1
DQmoSzej7Cs,savetherhinonamibia,Rhino (unspecified),CR,3
DQmVJK-ji6U,savetherhinonamibia,Rhino (unspecified),CR,1
DXwfTUBjkcO,ccfcheetah,Cheetah,VU,4
DRNXF-BgS9b,savetherhinonamibia,Rhino (unspecified),CR,4
DXxKLyiGcYl,ccfcheetah,Cheetah,VU,1
DVwU7pzDM_m,giraffe_conservation,Giraffe,VU,2
DV6oG8iDJKi,giraffe_conservation,Giraffe,VU,2
DVomlnGjA8A,giraffe_conservation,Giraffe,VU,2
DWHgHlgj4h3,giraffe_conservation,Giraffe,VU,2
DWCWeXDDvpY,giraffe_conservation,Giraffe,VU,2
DWUYKewCPZI,giraffe_conservation,Giraffe,VU,5
DV1ejcrjD4w,giraffe_conservation,Giraffe,VU,4
DWZhpaAj9mI,giraffe_conservation,Giraffe,VU,2
DWMpye-jTwn,giraffe_conservation,Giraffe,VU,1
DR2Pq0aDO16,africat_foundation,Leopard,VU,1
DR2Pq0aDO16,africat_foundation,Brown hyena,NT,1
DSpvIk3DMXZ,africat_foundation,Brown hyena,NT,8
DXe7m2rEo4m,ccfcheetah,Cheetah,VU,5
DXr5rGXmV5m,ccfcheetah,Cheetah,VU,7
DW3oE3qFjbF,naankuse_foundation,Cheetah,VU,1
DWjZfpulh0r,naankuse_foundation,African wild dog,EN,3
DSVJ6XUDP5G,africat_foundation,Leopard,VU,6
DSVJ6XUDP5G,africat_foundation,Brown hyena,NT,3
DWZose4CUA7,naankuse_foundation,Cheetah,VU,1
DS2oMpeDIjB,africat_foundation,Leopard,VU,3
DS2oMpeDIjB,africat_foundation,Brown hyena,NT,2
DVeTWHdlzyU,giraffe_conservation,Giraffe,VU,5
DTGPqHUjOPo,africat_foundation,Leopard,VU,1
DUtYO6nDaS4,giraffe_conservation,Giraffe,VU,2
DWn5r-flixF,naankuse_foundation,Lion,VU,1
DXpWrXrDEJt,ccfcheetah,Cheetah,VU,6
DU_ZzNqDJmc,giraffe_conservation,Giraffe,VU,3
DVMRx8yCMbB,giraffe_conservation,Giraffe,VU,3
DWrjZUMCXX9,naankuse_foundation,Brown hyena,NT,1
DVRbYULjY8q,giraffe_conservation,Giraffe,VU,3
DVjc9hvjaPy,giraffe_conservation,Giraffe,VU,2
DXZhne-jWEN,ccfcheetah,Cheetah,VU,5
DSAiXtljEJ3,africat_foundation,Pangolin,VU,3
DVWk_9XDbv8,giraffe_conservation,Giraffe,VU,3
DTQXoYHDNgM,africat_foundation,Leopard,VU,1
DVEjcvgj1xY,giraffe_conservation,Giraffe,VU,4
DU6QOvFk9xX,giraffe_conservation,Giraffe,VU,2
DXuRr8pGfJ_,ccfcheetah,Cheetah,VU,1
DXca0cil6Mk,ccfcheetah,Cheetah,VU,7
DXVdVqvGBrZ,ccfcheetah,Cheetah,VU,3
DSFsknpDGEy,africat_foundation,Leopard,VU,1
DSFsknpDGEy,africat_foundation,Pangolin,VU,1
DVtRIKfigl2,namyouthchamber,African penguin,CR,1
DT-JQYiimAB,namyouthchamber,Cheetah,VU,1
DUELhjJjd7D,giraffe_conservation,Giraffe,VU,2
DTugAKuirZm,namyouthchamber,African penguin,CR,2
DUOesl5jXwq,giraffe_conservation,Giraffe,VU,5
DT8dIW2iCC3,giraffe_conservation,Giraffe,VU,3
DUbWq9sk2fR,giraffe_conservation,Giraffe,VU,1
DUWNHNmDsUE,giraffe_conservation,Giraffe,VU,2
DTqbkOCjdCj,giraffe_conservation,Giraffe,VU,2
DT3TiZ9DdmI,giraffe_conservation,Giraffe,VU,2
DTyJ9OpgXzm,giraffe_conservation,Giraffe,VU,1
DWHgK_VkmUt,naankuse_foundation,Lion,VU,2
DUoOpqdjEUM,giraffe_conservation,Giraffe,VU,2
DUggSmvjmH0,giraffe_conservation,Giraffe,VU,2
DW4VErZEjmD,ccfcheetah,Cheetah,VU,1
DXFDkC8EZUF,ccfcheetah,Cheetah,VU,4
DXB-DjOjmZ2,ccfcheetah,Cheetah,VU,1
DXMiL7jjXgk,ccfcheetah,Cheetah,VU,3
DRFUHr8DPls,africat_foundation,Leopard,VU,1
DQuKrLZDCfh,africat_foundation,White rhino,NT,1
DRkL8DrjBZz,africat_foundation,Leopard,VU,2
DRkL8DrjBZz,africat_foundation,Pangolin,VU,1
DW69EwJESBc,ccfcheetah,Cheetah,VU,7
DW2bF8jjNJE,ccfcheetah,Cheetah,VU,9
DVyHG_Jijrz,namyouthchamber,Heaviside's dolphin,NT,1
DTibOjAjHCe,africat_foundation,Leopard,VU,2
DV0so-eCkJk,namyouthchamber,Cheetah,VU,1
DRhp-g_DJMg,africat_foundation,Leopard,VU,2
DRhp-g_DJMg,africat_foundation,Pangolin,VU,2
DRhp-g_DJMg,africat_foundation,Brown hyena,NT,1
DUJVGkOjxSn,giraffe_conservation,Giraffe,VU,2
DWURr-cDbzB,tosconamibia,African elephant,EN,1
DVl64BGCPgg,naankuse_foundation,Rhino (unspecified),CR,3
DWouAPSEVB9,ccfcheetah,Cheetah,VU,4
DWl7H61DbCB,ccfcheetah,Cheetah,VU,3
DWl7H61DbCB,ccfcheetah,African wild dog,EN,1
DWhFSe_Epwk,ccfcheetah,Cheetah,VU,6
DWaZbb-D-L5,ccfcheetah,Cheetah,VU,2
DWsMJvfjOo5,ccfcheetah,Cheetah,VU,4
DVjdARTD6tT,naankuse_foundation,African elephant,EN,3
DWWv0b4kmFB,ccfcheetah,Cheetah,VU,17
DSvNTG6DxNi,giraffe_conservation,Giraffe,VU,3
DS8FQVIjdpH,giraffe_conservation,Giraffe,VU,3
DTGYcjdjeVp,giraffe_conservation,Giraffe,VU,3
DS-qEVPADma,giraffe_conservation,Giraffe,VU,1
DTBO21Djf01,giraffe_conservation,Giraffe,VU,1
DTgIY48D2Bx,giraffe_conservation,Giraffe,VU,1
DTYZ__3jMEy,giraffe_conservation,Giraffe,VU,2
DTOG1rZj1Wf,giraffe_conservation,Giraffe,VU,3
DT8Hxp4DMQV,africat_foundation,Leopard,VU,1
DT8Hxp4DMQV,africat_foundation,Pangolin,VU,2
DT8Hxp4DMQV,africat_foundation,Spotted hyena,LC,1
DTTQcXSDwcQ,giraffe_conservation,Giraffe,VU,1
DTlR_2oEp9y,giraffe_conservation,Giraffe,VU,2
DU59lkXjDeX,africat_foundation,Leopard,VU,7
DUlV2iNCOB0,africat_foundation,Pangolin,VU,6
DUGbxzVDE1m,africat_foundation,White rhino,NT,2
DUGbxzVDE1m,africat_foundation,Leopard,VU,3
DUGbxzVDE1m,africat_foundation,Brown hyena,NT,1
DSGA6a6gTQ3,giraffe_conservation,Giraffe,VU,2
DWOuG89jwy0,ccfcheetah,Cheetah,VU,3
DRwcckvjYNV,giraffe_conservation,Giraffe,VU,5
DR5IqOsiJb_,giraffe_conservation,Giraffe,VU,4
DVZeWt7AodX,naankuse_foundation,Rhino (unspecified),CR,4
DV99gHxDCdy,ccfcheetah,Cheetah,VU,2
DRz_BrsjG0U,giraffe_conservation,Giraffe,VU,3
DSiVUl0gTF5,giraffe_conservation,Giraffe,VU,4
DSQTzsPDRJ6,giraffe_conservation,Giraffe,VU,2
DSdLvtCiO9N,giraffe_conservation,Giraffe,VU,2
DVT5VGnDVSk,naankuse_foundation,Black-backed jackal,LC,1
DSqDr_mAgXH,giraffe_conservation,Giraffe,VU,3
DSLMZorAZyc,giraffe_conservation,Giraffe,VU,2
DVv5Vyeje89,ccfcheetah,Cheetah,VU,5
DR-SMDzDZx2,giraffe_conservation,Giraffe,VU,4
DSYCJfoj4ik,giraffe_conservation,Giraffe,VU,2
DVavhOlDFHe,naankuse_foundation,African elephant,EN,1
DVavhOlDFHe,naankuse_foundation,Lion,VU,1
DRsQo-BARQL,giraffe_conservation,Giraffe,VU,4
DXtaDoijIT_,ehranamibia,African elephant,EN,3
DVO3p9GDGew,naankuse_foundation,Rhino (unspecified),CR,2
DWAqKGpkuSD,ccfcheetah,Cheetah,VU,6
DWAqKGpkuSD,ccfcheetah,African wild dog,EN,9
DWFHDlUj2ZX,ccfcheetah,Cheetah,VU,11
DV7XJOljNi_,ccfcheetah,Cheetah,VU,4
DWCI-u-Ee46,ccfcheetah,Cheetah,VU,1
DWHfqggD7KW,ccfcheetah,Cheetah,VU,13
DXMYTYjlr_q,ongavagamereserve,Rhino (unspecified),CR,1
DXMYTYjlr_q,ongavagamereserve,African elephant,EN,1
DXEcMZZDgY7,ongavagamereserve,African elephant,EN,1
DXWQDv-iRp8,ongavagamereserve,African elephant,EN,1
DXJnfgRDJCq,ehranamibia,African elephant,EN,2
DUtRbGeCDvW,naankuse_foundation,Lion,VU,1
DXWUuVLiluH,namibia_nature_foundation,Rhino (unspecified),CR,3
DXPE5MbDHp0,ehranamibia,African elephant,EN,4
DWlb0sNDFI2,ehranamibia,African elephant,EN,2
DW3daffjCif,ehranamibia,African elephant,EN,1
DXoz26sjP1a,ehranamibia,African elephant,EN,1
DWtKKg3jMKm,ehranamibia,African elephant,EN,2
DUi-O5xmKYK,naankuse_foundation,African elephant,EN,2
DXTqzuxjCXj,ehranamibia,African elephant,EN,4
DUqspAglZWX,naankuse_foundation,Hippopotamus,VU,2
DUv9CdXiIPB,naankuse_foundation,Vervet monkey,LC,1
DUk1QjjDDWR,naankuse_foundation,Baboon,LC,1
DUoHy9SjDWf,naankuse_foundation,Lion,VU,1
DXbqi4PDIfu,ehranamibia,African elephant,EN,1
DWyTxceDHN1,ehranamibia,African elephant,EN,1
DU_MJCCghr8,naankuse_foundation,Lion,VU,3
DU8KNrLDLWc,naankuse_foundation,Cape fur seal,LC,1
DRDKx7WjEV0,giraffe_conservation,Giraffe,VU,4
DVZ3LZRElaC,ccfcheetah,Cheetah,VU,2
DVXZSXLDLb0,ccfcheetah,Cheetah,VU,2
DVoFl_YDezG,ccfcheetah,Cheetah,VU,1
DVghGJuDbWD,ccfcheetah,Cheetah,VU,6
DVeHLEsEZn4,ccfcheetah,Cheetah,VU,2
DVteIrHkpr9,ccfcheetah,Cheetah,VU,9
DQ2L-kBgaVr,giraffe_conservation,Giraffe,VU,5
DQ96W0vD9A5,giraffe_conservation,Giraffe,VU,3
DVqtQN1Deaf,ccfcheetah,Cheetah,VU,3
DVe15yLj6YW,ccfcheetah,Cheetah,VU,7
DRVFd6ziFlp,giraffe_conservation,Giraffe,VU,3
DRIGtULDGKm,giraffe_conservation,Giraffe,VU,5
DVRbbXIiHaN,naankuse_foundation,Lion,VU,3
DV8V_PjFMlT,ongavagamereserve,African elephant,EN,1
DVSdPEfDGlm,ccfcheetah,Cheetah,VU,2
DQpT_FHjeeA,giraffe_conservation,Springbok,LC,1
DQr4xc2jBxf,giraffe_conservation,Giraffe,VU,4
DV8bdWGGfP1,ehranamibia,African elephant,EN,3
DVdps8pDG1E,ehranamibia,African elephant,EN,2
DV3ir46kge2,ehranamibia,African elephant,EN,4
DVHpOKMj7dH,ccfcheetah,Cheetah,VU,4
DWgSNwADO1W,ehranamibia,African elephant,EN,6
DUtUiVNjyqn,ccfcheetah,Cheetah,VU,4
DVyb81qEv7Z,ehranamibia,African elephant,EN,2
DVGseIDDyuy,ccfcheetah,Cheetah,VU,6
DWMOLvjI0E1,ehranamibia,African elephant,EN,6
DViwwfADNh2,ehranamibia,African elephant,EN,2
DVPx65yjFAk,ccfcheetah,Cheetah,VU,4
DWHAQoDDCFJ,ehranamibia,African elephant,EN,2
DU--e3nDTLy,ccfcheetah,Cheetah,VU,9
DUwbUUNj_NO,ccfcheetah,Cheetah,VU,6
DVKnOCFkeoh,ccfcheetah,Cheetah,VU,7
DVKnOCFkeoh,ccfcheetah,African wild dog,EN,1
DVRh1txjwyW,ccfcheetah,Cheetah,VU,3
DRh9fYtF7oD,giraffe_conservation,Giraffe,VU,3
DQkKY5FCLco,giraffe_conservation,Giraffe,VU,2
DRnHDGCDVEp,giraffe_conservation,Giraffe,VU,3
DRjkb12glvq,giraffe_conservation,Giraffe,VU,3
DU5pU_UjQsQ,ccfcheetah,Cheetah,VU,6
DWgIriWDQxg,gobabeb,Oryx / gemsbok,LC,2
DVgC6V2ioa5,gobabeb,Oryx / gemsbok,LC,1
DR1lAl1DNyj,wwfnamibia,Cheetah,VU,3
DU0iQhODA9h,ehranamibia,African elephant,EN,3
DUi1DKFEswt,ccfcheetah,Cheetah,VU,4
DVTacFEDDjq,ehranamibia,African elephant,EN,1
DRbhlL9jFj-,wwfnamibia,African elephant,EN,3
DUamruyjIvp,ehranamibia,African elephant,EN,6
DU8Q-V6Eh8X,ehranamibia,African elephant,EN,4
DUq4ZLtj73l,ccfcheetah,Cheetah,VU,3
DVOQ3h4DCqP,ehranamibia,African elephant,EN,5
DVIvSh2jPbB,ehranamibia,African elephant,EN,1
DU_BedZDHK_,ehranamibia,African elephant,EN,11
DUlJ-T9DMsS,ehranamibia,African elephant,EN,1
DUVa739DPUG,ehranamibia,African elephant,EN,1
DUQkt2iDA7P,ehranamibia,African elephant,EN,3
DUGHK9qjPW3,ehranamibia,African elephant,EN,5
