species,iucn_status,n_posts,n_orgs,total_mentions,iucn_rank
African elephant,EN,80,9,208,3
Giraffe,VU,79,1,213,2
Cheetah,VU,67,5,286,2
Cape fur seal,LC,43,2,52,0
Rhino (unspecified),CR,36,5,78,4
Leopard,VU,28,3,66,2
Brown hyena,NT,15,3,34,1
Lion,VU,14,5,22,2
Pangolin,VU,13,2,43,2
Black rhino,CR,6,1,6,4
African wild dog,EN,5,3,15,3
Oryx / gemsbok,LC,5,2,8,0
White rhino,NT,3,2,4,1
Spotted hyena,LC,3,2,3,0
Hippopotamus,VU,3,3,7,2
Humpback whale,LC,3,2,5,0
African penguin,CR,3,1,7,4
Baboon,LC,3,3,3,0
Ostrich,LC,3,2,5,0
Plains zebra,NT,2,2,2,1
Vervet monkey,LC,2,2,2,0
Kudu,LC,2,1,3,0
Wildebeest,LC,2,1,3,0
Lappet-faced vulture,EN,1,1,1,3
Heaviside's dolphin,NT,1,1,1,1
Springbok,LC,1,1,1,0
Green turtle,LC,1,1,2,0
Warthog,LC,1,1,1,0
Black-backed jackal,LC,1,1,1,0
