brightness,contrast,saturation,colourfulness,warm_share,dominant_hex,dominant_share,text_edge_density,aspect_ratio,Post_ID,nn_post_id,nn_cosine,is_near_dup,dup_cluster,Actor_Name,Handle
0.322,0.1851,0.3387,25.2,0.9313,#6c594c,0.5443,0.1243,0.563,DWbxil5DMTW,DVthvBkjAAF,0.5559,0,,WWF Namibia,wwfnamibia
0.3928,0.2061,0.4499,58.71,0.237,#345828,0.4566,0.077,0.771,DXbu79iDCnX,DXbynlCjsnU,0.8213,0,,WWF Namibia,wwfnamibia
0.4985,0.2551,0.2727,39.17,0.516,#6c6454,0.4343,0.0932,1.48,DWjdIZtjHgI,DUELhjJjd7D,0.6814,0,,WWF Namibia,wwfnamibia
0.3983,0.2977,0.2165,45.42,0.4261,#070706,0.5438,0.1678,0.75,DWbAAoijFTa,DQkKY5FCLco,0.598,0,,WWF Namibia,wwfnamibia
0.499,0.1893,0.3443,46.71,0.7666,#997155,0.4271,0.0667,0.562,DWW4P-5CLtE,DWUhj7VjtYE,0.7857,0,,Ministry of Environment Forestry & Tourism,ministry_of_environment_nam
0.4708,0.188,0.3135,53.12,0.4596,#565964,0.5975,0.069,0.563,DWUhj7VjtYE,DWW4P-5CLtE,0.7857,0,,Ministry of Environment Forestry & Tourism,ministry_of_environment_nam
0.7959,0.2256,0.0756,24.71,0.8087,#eae8e6,0.7998,0.14,1.5,DRUGF9ajCli,DXuVGWBCGa5,0.703,0,,Youth4CAN,youth4can_namibia
0.5925,0.0798,0.2301,41.61,0.3152,#9ca6c5,0.4252,0.0094,1.6,DXceVTokb5e,DRwcckvjYNV,0.9498,0,,Giraffe Conservation Foundation,giraffe_conservation
0.5451,0.206,0.1394,24.13,0.427,#8e9497,0.5557,0.0629,0.8,DUxWaDAiHXN,DUx-o2qCL2l,0.757,0,,NACSO,nacso_namibia1
0.6161,0.2258,0.2791,54.76,0.141,#d0dae3,0.5431,0.1309,0.75,DXbU3-0DCwx,DWdkN4BiJyf,0.6754,0,,Youth4CAN,youth4can_namibia
0.4979,0.2476,0.2321,28.6,0.4978,#d5ddec,0.3895,0.0267,1.909,DXuf7d6EZeD,DSGA6a6gTQ3,0.9546,1,0,Giraffe Conservation Foundation,giraffe_conservation
0.5555,0.2343,0.2831,34.05,0.9537,#ae8b6e,0.4461,0.091,1.0,DVAe29YCKEl,DVa3m5fDjN9,0.6469,0,,NACSO,nacso_namibia1
0.4347,0.1678,0.2684,38.7,0.4061,#5a646a,0.6075,0.0507,1.0,DXhn93Tjbxw,DUtYO6nDaS4,0.9444,0,,Giraffe Conservation Foundation,giraffe_conservation
0.44,0.2049,0.4189,70.61,0.9278,#925b34,0.4923,0.0712,1.5,DXgfcC4CBh-,DXOusaviOJN,0.8777,0,,Ministry of Environment Forestry & Tourism,ministry_of_environment_nam
0.4975,0.2449,0.4723,85.76,0.2358,#0c6ea5,0.5584,0.1138,0.8,DUx-o2qCL2l,DUxWaDAiHXN,0.757,0,,NACSO,nacso_namibia1
0.5371,0.2011,0.3331,50.36,0.6689,#a49865,0.6058,0.0838,0.8,DXmxhmVDVZm,DVO3p9GDGew,0.687,0,,Giraffe Conservation Foundation,giraffe_conservation
0.4285,0.1958,0.2971,37.97,0.6195,#6d665d,0.4812,0.0583,1.5,DVGf_p2iJ72,DUaqWnPCDxU,0.721,0,,NACSO,nacso_namibia1
0.7217,0.2364,0.2082,37.58,0.241,#d4e4fe,0.688,0.0332,1.772,DXqj3iSiA-v,DVyJyHCoyal,0.6807,0,,Ministry of Environment Forestry & Tourism,ministry_of_environment_nam
0.5126,0.2004,0.3161,32.62,0.9887,#d6ab99,0.4663,0.028,0.562,DXivehMRBFx,DV7XJOljNi_,0.8584,0,,Ongava Game Reserve,ongavagamereserve
0.488,0.2947,0.2584,30.94,0.4763,#d7dde1,0.4383,0.0611,1.517,DVvS2FYjO4c,DRR08Jyiog6,0.7692,0,,WWF Namibia,wwfnamibia
0.3967,0.1668,0.2288,46.54,0.4368,#676666,0.5858,0.0528,1.5,DXhEfFxiKkR,DXb9mmtiBmy,0.8798,0,,Ministry of Environment Forestry & Tourism,ministry_of_environment_nam
0.4152,0.2511,0.3095,46.76,1.0,#352723,0.3799,0.0044,1.501,DU2f6MXjhAG,DQwlJwfDWbc,0.8626,0,,Save the Rhino Trust Namibia,savetherhinonamibia
