id_a,id_b,cosine,same_org
DXuf7d6EZeD,DSGA6a6gTQ3,0.9546,1
DWmZr1-Ewni,DRwcckvjYNV,0.9512,1
DWmZr1-Ewni,DSdLvtCiO9N,0.9564,1
DWmZr1-Ewni,DSLMZorAZyc,1.0,1
DW9k8REk6pa,DWZose4CUA7,1.0,1
DW9k8REk6pa,DWrjZUMCXX9,1.0,1
DW9k8REk6pa,DV1elZ8D0VV,0.9921,1
DW9k8REk6pa,DWHgK_VkmUt,1.0,1
DW9k8REk6pa,DVjdARTD6tT,1.0,1
DW9k8REk6pa,DUtRbGeCDvW,1.0,1
DW9k8REk6pa,DU_MJCCghr8,1.0,1
DW9k8REk6pa,DVRbbXIiHaN,1.0,1
DW9k8REk6pa,DUbWtOygfZh,1.0,1
DVomlnGjA8A,DUoOpqdjEUM,0.9595,1
DWHgHlgj4h3,DRwcckvjYNV,0.9601,1
DWZose4CUA7,DWrjZUMCXX9,1.0,1
DWZose4CUA7,DV1elZ8D0VV,0.9921,1
DWZose4CUA7,DWHgK_VkmUt,1.0,1
DWZose4CUA7,DVjdARTD6tT,1.0,1
DWZose4CUA7,DUtRbGeCDvW,1.0,1
DWZose4CUA7,DU_MJCCghr8,1.0,1
DWZose4CUA7,DVRbbXIiHaN,1.0,1
DWZose4CUA7,DUbWtOygfZh,1.0,1
DTGPqHUjOPo,DXexE6XjJDv,0.9941,1
DWrjZUMCXX9,DV1elZ8D0VV,0.9921,1
DWrjZUMCXX9,DWHgK_VkmUt,1.0,1
DWrjZUMCXX9,DVjdARTD6tT,1.0,1
DWrjZUMCXX9,DUtRbGeCDvW,1.0,1
DWrjZUMCXX9,DU_MJCCghr8,1.0,1
DWrjZUMCXX9,DVRbbXIiHaN,1.0,1
DWrjZUMCXX9,DUbWtOygfZh,1.0,1
DV1elZ8D0VV,DWHgK_VkmUt,0.9921,1
DV1elZ8D0VV,DVjdARTD6tT,0.9921,1
DV1elZ8D0VV,DUtRbGeCDvW,0.9921,1
DV1elZ8D0VV,DU_MJCCghr8,0.9921,1
DV1elZ8D0VV,DVRbbXIiHaN,0.9921,1
DV1elZ8D0VV,DUbWtOygfZh,0.9921,1
DWHgK_VkmUt,DVjdARTD6tT,1.0,1
DWHgK_VkmUt,DUtRbGeCDvW,1.0,1
DWHgK_VkmUt,DU_MJCCghr8,1.0,1
DWHgK_VkmUt,DVRbbXIiHaN,1.0,1
DWHgK_VkmUt,DUbWtOygfZh,1.0,1
DVjdARTD6tT,DUtRbGeCDvW,1.0,1
DVjdARTD6tT,DU_MJCCghr8,1.0,1
DVjdARTD6tT,DVRbbXIiHaN,1.0,1
DVjdARTD6tT,DUbWtOygfZh,1.0,1
DTOG1rZj1Wf,DSGA6a6gTQ3,0.9569,1
DSGA6a6gTQ3,DRwcckvjYNV,0.958,1
DSGA6a6gTQ3,DRDKx7WjEV0,0.9511,1
DSGA6a6gTQ3,DRVFd6ziFlp,0.9542,1
DRwcckvjYNV,DSdLvtCiO9N,0.9517,1
DRwcckvjYNV,DSLMZorAZyc,0.9512,1
DRwcckvjYNV,DRDKx7WjEV0,0.9512,1
DSdLvtCiO9N,DSLMZorAZyc,0.9564,1
DUtRbGeCDvW,DU_MJCCghr8,1.0,1
DUtRbGeCDvW,DVRbbXIiHaN,1.0,1
DUtRbGeCDvW,DUbWtOygfZh,1.0,1
DUi-O5xmKYK,DT2qXbkDhAW,0.9507,0
DU_MJCCghr8,DVRbbXIiHaN,1.0,1
DU_MJCCghr8,DUbWtOygfZh,1.0,1
DVRbbXIiHaN,DUbWtOygfZh,1.0,1
DTSTWrNDnOT,DRmJOstCBKD,1.0,1
DViKhngjjX9,DUCyOBzjtGW,1.0,1
DUm1Xg9Dmf3,DUuxi5_DvLg,0.9991,1
