post_id,idx,stance,engages_frame,affect
DUi-O5xmKYK,0,support,True,positive
DUi-O5xmKYK,1,support,True,positive
DUi-O5xmKYK,2,off-topic,False,neutral
DW8ZEQcGmuw,0,question,True,neutral
DW8ZEQcGmuw,1,support,True,positive
DW8ZEQcGmuw,2,support,True,negative
DW8ZEQcGmuw,3,question,True,neutral
DW8ZEQcGmuw,4,criticism,True,negative
DW8ZEQcGmuw,5,criticism,True,negative
DW8ZEQcGmuw,6,support,True,negative
DW8ZEQcGmuw,7,support,True,negative
DW8ZEQcGmuw,8,support,True,negative
DXceVTokb5e,0,off-topic,False,neutral
DXceVTokb5e,1,support,False,positive
DXceVTokb5e,2,support,False,positive
DRmBxuCjPTR,0,support,True,positive
DRmBxuCjPTR,1,support,True,positive
DRmBxuCjPTR,2,support,True,positive
DWYj25RjKBe,0,question,False,neutral
DWYj25RjKBe,1,support,True,positive
DWYj25RjKBe,2,support,False,positive
DWYj25RjKBe,3,off-topic,False,positive
DXG8IUMDeZj,0,support,False,positive
DXG8IUMDeZj,1,support,False,positive
DXG8IUMDeZj,2,support,False,positive
DXG8IUMDeZj,3,support,False,positive
DXG8IUMDeZj,4,support,True,positive
DXG8IUMDeZj,5,support,True,positive
DTyJ9OpgXzm,0,support,True,positive
DTyJ9OpgXzm,1,support,False,positive
DTyJ9OpgXzm,2,support,True,positive
DTyJ9OpgXzm,3,support,False,positive
DTyJ9OpgXzm,4,support,True,positive
DW4VErZEjmD,0,support,True,positive
DW4VErZEjmD,1,support,False,positive
DW4VErZEjmD,2,support,False,positive
DXB-DjOjmZ2,0,spam,False,neutral
DXB-DjOjmZ2,1,support,False,positive
DXB-DjOjmZ2,2,support,False,positive
DXB-DjOjmZ2,3,support,True,positive
DXB-DjOjmZ2,4,support,True,positive
DXMiL7jjXgk,0,support,True,positive
DXMiL7jjXgk,1,question,True,negative
DXMiL7jjXgk,2,off-topic,False,neutral
DXMiL7jjXgk,3,support,True,positive
DXMiL7jjXgk,4,support,False,positive
DXMiL7jjXgk,5,support,True,positive
DXMiL7jjXgk,6,support,True,positive
DXMiL7jjXgk,7,off-topic,False,negative
DXMiL7jjXgk,8,support,False,positive
DXMiL7jjXgk,9,support,True,positive
DXMiL7jjXgk,10,support,True,positive
DXMiL7jjXgk,11,support,True,positive
DXMiL7jjXgk,12,support,True,positive
DXMiL7jjXgk,13,question,True,positive
DXca0cil6Mk,0,support,True,positive
DXca0cil6Mk,1,support,True,positive
DXca0cil6Mk,2,support,True,positive
DXca0cil6Mk,3,off-topic,False,neutral
DXca0cil6Mk,4,support,False,positive
DXca0cil6Mk,5,support,False,positive
DXca0cil6Mk,6,support,False,positive
DXca0cil6Mk,7,support,False,positive
DXca0cil6Mk,8,off-topic,False,neutral
DS1zuecDLC0,0,support,True,positive
DS1zuecDLC0,1,support,False,positive
DS1zuecDLC0,2,off-topic,False,positive
DS1zuecDLC0,3,support,True,positive
DXt_IDBD93L,0,support,True,positive
DXt_IDBD93L,1,support,False,positive
