post_id,genre_consolidated,functional_genre,narrative_structure,actual_cta,cta_present,target_audience,register_tone,image_role,image_caption_relation,n_appeals,appeal_emotional,appeal_identity,appeal_informational,appeal_aesthetic,appeal_social_normative,appeal_economic,audience_general_public,audience_supporters,audience_tourists,audience_peers_researchers,audience_donors,audience_youth,audience_policymakers,audience_local_community,vq_aesthetic_ord,vq_effort_ord,vq_human_ord,vq_text_ord,has_people,mood_warm,mood_cool,mood_muted,mood_vibrant,species_congruence,caption_species_set,visual_species_set,missed_visual_flag
DQ_nfCKDKZ8,Educational explainer,responsible-viewing guide,explainer/list,Swipe for some best practices for ethical elephant watching,1,tourists|general-public,warm-personal,text-carrier,adds-info,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,3,0,2,0,1,1,1,0,names_not_shows,elephant,,False
DR_9tu4DEa9,Other/unmapped,clean-up campaign recap,showcase,Let's continue working hand in hand to protect our coastlines and conserve our natural heritage,1,local-community|general-public|supporters,institutional-formal,symbolic,adds-info,3,1,0,1,0,1,0,1,1,0,0,0,0,0,1,2,1,2,1,1,0,1,1,1,neither,,,True
DSMjgNigije,Tourism & lodge,safari destination showcase,explainer/list,none,0,tourists|general-public,promotional,illustrative,adds-info,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2,2,2,0,1,1,0,1,0,match,elephant,elephant,True
DTSgWRoloBs,Other/unmapped,community outreach update,showcase,none,0,"supporters, general-public, local-community",warm-personal,data-viz,adds-info,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,2,1,0,3,0,0,1,0,0,neither,,,True
DU-z_9ziHyK,Programme/fieldwork/impact,event documentation,showcase,none,0,peers/researchers|supporters|general-public,institutional-formal,illustrative,adds-info,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,3,1,1,0,1,1,0,shows_not_names,,penguin,False
DU7v1hOilMn,Awareness-day & cause,awareness-day observance,none,Follow @soa_namibia for more on marine conservation and awareness.,1,"general-public, youth, supporters",institutional-formal,text-carrier,adds-info,3,1,0,1,0,1,0,1,1,0,0,0,1,0,0,2,2,0,2,0,0,1,0,1,shows_not_names,,dolphin;seal;whale,False
DUVa739DPUG,Educational explainer,educational fact post,explainer/list,none,0,general-public,warm-personal,illustrative,adds-info,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,match,elephant,elephant,False
DUi-O5xmKYK,Wildlife showcase & feel-good,feel-good wildlife post,problem-solution,none,0,general-public; supporters; tourists,warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,match,elephant,elephant,False
DV8V_PjFMlT,Wildlife showcase & feel-good,brand mood vignette,showcase,none,0,tourists|general-public|supporters,reverent,illustrative,adds-info,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,match,elephant,elephant,False
DW8ZEQcGmuw,Awareness-day & cause,news repost/awareness,explainer/list,Read the full article: @thenamibian,1,general-public|supporters|policymakers,institutional-formal,text-carrier,repeats,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,3,2,0,3,0,0,1,1,0,match,fish,fish,False
DWOp8pRgrY-,Seasonal greeting,Community engagement update,anecdote,What are your views on establishing community fisheries reserves?,1,local-community|general-public|supporters,institutional-formal,illustrative,adds-info,2,0,0,1,0,1,0,1,1,0,0,0,0,0,1,2,2,2,0,1,1,0,0,0,neither,,,False
DWnyV1Wls37,Recruitment/fundraising/participation,volunteer thank-you post,anecdote,none,0,"supporters, donors, general-public",warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,2,0,1,0,1,1,0,neither,,,False
DXcTP6pCFgr,Awareness-day & cause,awareness-day event coverage,none,none,0,general-public|supporters,institutional-formal,illustrative,adds-info,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2,2,0,1,1,0,0,1,neither,,,False
DWIac_JiEFz,Awareness-day & cause,Independence Day greeting,milestone,none,0,general-public|local-community|supporters,reverent,symbolic,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,3,3,2,2,1,1,1,1,1,neither,,,False
