feature,rho,p
f_Scientific,0.21797794393286252,2.5200162936640842e-11
f_Threat,0.10266274149903253,0.0018530798514530603
f_Empathy,0.054300053026604504,0.10032413518042099
f_Protagonist,0.026799108724752514,0.4269306243994643
cap_chars,0.025418419998691807,0.4420149514462117
f_Onscreen_Text,-0.021019427054960713,0.5337021801224103
f_Data_Visual,-0.021476342322080066,0.5243713919680949
f_Economic,-0.044606334053838875,0.17714474215198692
f_Efficacy,-0.06229811463023094,0.059325855678033716
n_emojis,-0.06933402462320842,0.03579607464683015
clip_align,-0.08439136474245951,0.010871180186229026
n_hashtags,-0.18125885265405342,3.253054208906126e-8
