a,b,phi
Empathy,Threat,0.3705133513501748
Efficacy,Threat,0.30459096501079147
Empathy,Protagonist,0.30403813425138
Collective_ID,Efficacy,0.2419529986411393
Collective_ID,Moral,0.21765920831092375
Economic,Efficacy,0.2154602348222015
Onscreen_Text,Youth_Style,0.21345726423237907
Moral,Threat,0.2042863419928023
Youth_Addressed,Youth_Style,0.17660525687890233
Efficacy,Scientific,0.16716470228371721
Efficacy,Moral,0.16422029754228523
Economic,Onscreen_Text,0.13569274816553362
Efficacy,Empathy,0.1271349611398702
Data_Visual,Onscreen_Text,0.12498384676677322
Protagonist,Threat,0.12029429482763361
Data_Visual,Interactivity,0.11723524554309628
Collective_ID,Youth_Addressed,0.10105141004005104
Normative,Youth_Style,0.09981879206428783
Collective_ID,Normative,0.09891619506432696
Scientific,Threat,0.09453017603584714
Moral,Onscreen_Text,0.08999064105542533
Economic,Moral,0.0897193652051816
Empathy,Moral,0.08924647515012231
Moral,Normative,0.08894389593373515
Collective_ID,Economic,0.08546789027063009
Efficacy,Protagonist,0.08292559863405981
Efficacy,Youth_Addressed,0.07981124128296846
Protagonist,Scientific,0.07658165778739363
Data_Visual,Scientific,0.0687689076157835
Collective_ID,Data_Visual,0.0682710117897128
Collective_ID,Onscreen_Text,0.06607543471699416
Collective_ID,Youth_Style,0.0584558562975596
Efficacy,Normative,0.05612021935483944
Normative,Onscreen_Text,0.0542004122104132
Data_Visual,Threat,0.052485236730629374
Interactivity,Onscreen_Text,0.04835038118965176
Interactivity,Moral,0.04623338368454296
Normative,Youth_Addressed,0.04343554382618743
Economic,Threat,0.037482315947628686
Data_Visual,Efficacy,0.03450025518034595
Onscreen_Text,Threat,0.024179578103826357
Onscreen_Text,Youth_Addressed,0.02235349827942009
Interactivity,Threat,0.01951192420500472
Economic,Normative,0.009758451434929323
Efficacy,Onscreen_Text,0.008257796146724013
Threat,Youth_Style,0.006726876794570172
Collective_ID,Interactivity,0.006371501550871166
Economic,Scientific,0.004786832683000349
Economic,Youth_Addressed,0.004121163852517212
Moral,Youth_Style,0.003214404013433002
Moral,Youth_Addressed,-6.201259231007554e-4
Economic,Interactivity,-9.872038366976e-4
Empathy,Normative,-0.002103547372345673
Data_Visual,Normative,-0.005605243354952362
Interactivity,Protagonist,-0.006362492432124953
Data_Visual,Youth_Style,-0.008601653289127528
Interactivity,Normative,-0.011288158447427098
Interactivity,Scientific,-0.011704646513731416
Data_Visual,Youth_Addressed,-0.01570540719004569
Efficacy,Youth_Style,-0.016872598557230594
Interactivity,Youth_Style,-0.01732249950427517
Empathy,Interactivity,-0.01834157711950219
Collective_ID,Threat,-0.02225790771694983
Normative,Protagonist,-0.025562380296465348
Data_Visual,Economic,-0.025836715231943325
Data_Visual,Moral,-0.02662408213587134
Data_Visual,Empathy,-0.0312840185792814
Interactivity,Youth_Addressed,-0.031628443872282724
Efficacy,Interactivity,-0.03264796134539077
Empathy,Youth_Style,-0.03502023358575573
Collective_ID,Scientific,-0.038531014434884485
Normative,Threat,-0.04059474768747445
Economic,Youth_Style,-0.04861466455892736
Moral,Scientific,-0.05225463115966181
Normative,Scientific,-0.05285004397128088
Scientific,Youth_Addressed,-0.05697824598801518
Protagonist,Youth_Style,-0.05824598631862035
Collective_ID,Empathy,-0.060067670516687224
Scientific,Youth_Style,-0.06105474653475173
Empathy,Scientific,-0.0644701789222467
Protagonist,Youth_Addressed,-0.06622185236657907
Threat,Youth_Addressed,-0.07453510097021192
Onscreen_Text,Scientific,-0.07498930806393425
Empathy,Youth_Addressed,-0.08038896224797944
Moral,Protagonist,-0.08649639709676529
Data_Visual,Protagonist,-0.09160121947953669
Empathy,Onscreen_Text,-0.12191033944273912
Economic,Protagonist,-0.12496758196714865
Economic,Empathy,-0.14100021183511122
Collective_ID,Protagonist,-0.18717406305376003
Onscreen_Text,Protagonist,-0.24361107283996292
