Actor_Name,Handle,Actor_Type,Actor_Type_label,n_posts,followers,follows,posts_total,verified,is_business,highlight_reels,follow_ratio,pct_video,pct_carousel,pct_image,cap_chars_med,cap_words_med,hashtags_med,emojis_med,mentions_med,link_rate,question_rate,onscreen_text_rate,protagonist_rate,data_visual_rate,youth_style_rate,clip_align_med,eng_rate_med,likes_med,comments_med,comment_like_ratio_med,genre_entropy,n_genres,dominant_genre,dominant_genre_share,span_days,active_days,posts_per_week,frame_Empathy,frame_Threat,frame_Efficacy,frame_Collective_ID,frame_Normative,frame_Moral,frame_Economic,frame_Scientific,frame_Youth_Addressed,frame_Interactivity,frame_Youth_Style,frame_Protagonist,frame_Onscreen_Text,frame_Data_Visual
Giraffe Conservation Foundation,giraffe_conservation,1,NGO/Foundation/Trust,83,46731,403,1476,0,1,5,115.95781637717121,0.024096385542168676,0.24096385542168675,0.7349397590361446,575.0,78.0,9.0,6.0,1.0,0.07228915662650602,0.25301204819277107,0.13414634146341464,0.8902439024390244,0.012195121951219513,0.0,0.297,0.007404,346.0,3.0,0.007836990595611285,0.5938684851573092,4,monitoring_conservation_tech,0.6385542168674698,178,82,3.264044943820225,0.03614457831325301,0.12048192771084337,0.5542168674698795,0.3253012048192771,0.0,0.024096385542168676,0.0,0.4939759036144578,0.060240963855421686,0.0,0.0,0.8902439024390244,0.13414634146341464,0.012195121951219513
Ministry of Environment Forestry & Tourism,ministry_of_environment_nam,4,Government,82,3558,84,594,0,1,0,42.357142857142854,0.14634146341463414,0.5609756097560976,0.2926829268292683,633.0,88.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.5897435897435898,0.5384615384615384,0.0,0.0,0.27164999999999995,0.0080105,28.5,0.0,0.0,0.6405296980584047,4,policy_governance,0.573170731707317,176,47,3.2613636363636362,0.012195121951219513,0.17073170731707318,0.4634146341463415,0.23170731707317074,0.012195121951219513,0.2926829268292683,0.4146341463414634,0.10975609756097561,0.04878048780487805,0.0,0.0,0.5384615384615384,0.5897435897435898,0.0
N/a'an ku se Foundation,naankuse_foundation,1,NGO/Foundation/Trust,79,29665,157,3411,0,1,8,188.94904458598725,0.35443037974683544,0.4936708860759494,0.1518987341772152,626.0,93.0,5.0,2.0,0.0,0.6075949367088608,0.1518987341772152,0.18666666666666668,0.76,0.0,0.02666666666666667,0.2583,0.004854,144.0,1.0,0.003703703703703704,0.9028103027504866,8,education_youth,0.27848101265822783,84,61,6.583333333333333,0.4430379746835443,0.22784810126582278,0.569620253164557,0.34177215189873417,0.0,0.21518987341772153,0.02531645569620253,0.10126582278481013,0.05063291139240506,0.0,0.02666666666666667,0.76,0.18666666666666668,0.0
Elephant Human Relations Aid,ehranamibia,1,NGO/Foundation/Trust,79,10866,623,2370,0,1,13,17.441412520064205,0.1518987341772152,0.5949367088607594,0.25316455696202533,472.0,76.0,0.0,2.0,0.0,0.13924050632911392,0.3037974683544304,0.07894736842105263,0.7894736842105263,0.0,0.0,0.2803,0.01316,143.0,2.0,0.013157894736842105,0.4401490119022725,5,coexistence_community_livelihoods,0.810126582278481,176,78,3.1420454545454546,0.22784810126582278,0.21518987341772153,0.6582278481012658,0.34177215189873417,0.012658227848101266,0.12658227848101267,0.1518987341772152,0.27848101265822783,0.06329113924050633,0.05063291139240506,0.0,0.7894736842105263,0.07894736842105263,0.0
Gobabeb Research & Training Centre,gobabeb,2,Research/Academic,79,1112,119,928,0,1,0,9.344537815126051,0.012658227848101266,0.6962025316455697,0.2911392405063291,403.0,61.0,0.0,0.0,0.0,0.10126582278481013,0.11392405063291139,0.09333333333333334,0.5866666666666667,0.013333333333333334,0.0,0.2784,0.036871,41.0,0.0,0.0,0.4672733657356065,9,research_dispatch,0.7341772151898734,177,73,3.1242937853107344,0.0379746835443038,0.06329113924050633,0.1518987341772152,0.12658227848101267,0.0,0.05063291139240506,0.0,0.810126582278481,0.012658227848101266,0.012658227848101266,0.0,0.5866666666666667,0.09333333333333334,0.013333333333333334
Ongava Game Reserve,ongavagamereserve,5,Conservancy/Protected Area,77,11380,164,1668,0,1,5,69.39024390243902,0.2987012987012987,0.3116883116883117,0.38961038961038963,230.0,37.0,0.0,0.0,0.0,0.05194805194805195,0.03896103896103896,0.04,0.6133333333333333,0.0,0.013333333333333334,0.2781,0.005185,59.0,0.0,0.0,0.3335523024589292,7,ecotourism_aesthetic,0.8571428571428571,179,74,3.0111731843575416,0.12987012987012986,0.0,0.06493506493506493,0.07792207792207792,0.0,0.09090909090909091,0.025974025974025976,0.05194805194805195,0.0,0.012987012987012988,0.013333333333333334,0.6133333333333333,0.04,0.0
Harnas Wildlife Foundation,harnaswildlifefoundation,1,NGO/Foundation/Trust,74,44193,221,2038,0,1,6,199.9683257918552,0.013513513513513514,0.47297297297297297,0.5135135135135135,264.0,38.0,3.0,1.0,0.0,0.04054054054054054,0.12162162162162163,0.014492753623188406,0.6285714285714286,0.0,0.0,0.2853,0.0023985,106.0,0.0,0.0,0.5490266319797558,7,ecotourism_aesthetic,0.7027027027027027,146,73,3.547945205479452,0.1891891891891892,0.06756756756756757,0.33783783783783783,0.22972972972972974,0.0,0.14864864864864866,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.6285714285714286,0.014492753623188406,0.0
Ocean Conservation Namibia,oceanconservationnamibia,1,NGO/Foundation/Trust,64,236580,503,1959,1,1,9,470.337972166998,0.828125,0.078125,0.09375,108.0,11.0,5.0,0.0,0.0,0.0,0.109375,0.2033898305084746,0.85,0.0,0.016666666666666666,0.24535,0.013433,3178.0,70.0,0.022333898643256186,0.4980278865344765,2,rescue_intervention,0.890625,55,52,8.145454545454546,0.65625,0.78125,0.578125,0.09375,0.0,0.046875,0.046875,0.09375,0.046875,0.046875,0.016666666666666666,0.85,0.2033898305084746,0.0
Cheetah Conservation Fund,ccfcheetah,1,NGO/Foundation/Trust,53,56641,269,2327,0,1,15,210.56133828996283,0.5283018867924528,0.4528301886792453,0.018867924528301886,872.0,126.0,5.0,0.0,0.0,0.1320754716981132,0.660377358490566,0.22641509433962265,0.8867924528301887,0.0,0.03773584905660377,0.2969,0.009428,534.0,7.0,0.0125,0.8779549147065466,6,monitoring_conservation_tech,0.33962264150943394,80,45,4.6375,0.33962264150943394,0.37735849056603776,0.7735849056603774,0.18867924528301888,0.0,0.03773584905660377,0.11320754716981132,0.3584905660377358,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.8867924528301887,0.22641509433962265,0.0
Namibia Nature Foundation,namibia_nature_foundation,1,NGO/Foundation/Trust,53,3532,3696,501,0,1,0,0.9556277056277056,0.1509433962264151,0.5849056603773585,0.2641509433962264,972.0,123.0,1.0,1.0,1.0,0.05660377358490566,0.1509433962264151,0.36538461538461536,0.17307692307692307,0.038461538461538464,0.0,0.2827,0.009343,33.0,0.0,0.0,0.7920410287879044,8,coexistence_community_livelihoods,0.3584905660377358,168,35,2.2083333333333335,0.0,0.2641509433962264,0.7547169811320755,0.5849056603773585,0.0,0.3018867924528302,0.37735849056603776,0.4716981132075472,0.05660377358490566,0.03773584905660377,0.0,0.17307692307692307,0.36538461538461536,0.038461538461538464
