org_a,org_b,shared_commenters
ccfcheetah,giraffe_conservation,5
ehranamibia,giraffe_conservation,4
africat_foundation,ehranamibia,3
harnaswildlifefoundation,naankuse_foundation,2
ccfcheetah,naankuse_foundation,2
ccfcheetah,ehranamibia,1
ccfcheetah,savetherhinonamibia,1
gobabeb,wwfnamibia,1
gobabeb,savetherhinonamibia,1
naankuse_foundation,ongavagamereserve,1
africat_foundation,giraffe_conservation,1
ccfcheetah,harnaswildlifefoundation,1
ehranamibia,naankuse_foundation,1
africat_foundation,ongavagamereserve,1
ehranamibia,ongavagamereserve,1
gobabeb,namibia_nature_foundation,1
ehranamibia,tosconamibia,1
ministry_of_environment_nam,namibia_nature_foundation,1
africat_foundation,savetherhinonamibia,1
