variable,type,n,agree,kappa,changed,band,base_rate,degenerate,note
Normative,binary,99,1,1,0,almost perfect,0.020202020202020204,FALSE,
Youth_Addressed,binary,99,1,1,0,almost perfect,0.08080808080808081,FALSE,
Collective_ID,binary,99,0.98989898989899,0.9797917942437233,1,almost perfect,0.48484848484848486,FALSE,
Efficacy,binary,99,0.98989898989899,0.9792583280955375,1,almost perfect,0.5757575757575758,FALSE,
Scientific,binary,99,0.98989898989899,0.9702970297029704,1,almost perfect,0.21212121212121213,FALSE,
Moral,binary,99,0.98989898989899,0.9692451071761418,1,almost perfect,0.20202020202020202,FALSE,
Economic,binary,99,0.9696969696969697,0.8790224032586559,3,almost perfect,0.13131313131313133,FALSE,
Empathy,binary,99,0.9696969696969697,0.8405797101449276,3,almost perfect,0.12121212121212122,FALSE,
Threat,binary,99,0.9595959595959596,0.7785234899328857,4,substantial,0.08080808080808081,FALSE,
Protagonist,binary,96,0.84375,0.6825396825396826,15,substantial,0.53125,FALSE,
Youth_Style,binary,96,0.96875,0.6504854368932043,3,substantial,0.052083333333333336,FALSE,
Onscreen_Text,binary,96,0.8541666666666666,0.6394849785407724,14,substantial,0.2708333333333333,FALSE,
Data_Visual,binary,96,0.9895833333333334,0,1,slight/none,0.010416666666666666,TRUE,kappa paradox (floor/ceiling base rate)
Interactivity,binary,99,0.9797979797979798,-0.010204081632656063,2,slight/none,0.010101010101010102,TRUE,kappa paradox (floor/ceiling base rate)
Primary_CTA,multiclass,99,0.98989898989899,0.9750000000000001,1,almost perfect,NA,FALSE,
Story_Structure,multiclass,99,0.9595959595959596,0.938964241676942,4,almost perfect,NA,FALSE,
Primary_Topic,multiclass,98,0.8469387755102041,0.8082191780821917,15,almost perfect,NA,FALSE,
Emotional_Valence,multiclass,99,0.9090909090909091,0.7877560743211053,9,substantial,NA,FALSE,
Language,multiclass,99,0.98989898989899,0.6632653061224505,1,substantial,NA,FALSE,
