Post_ID,Actor_Name,Post_Format,BERTopic,functional_genre,blindspot,comment_avail,n_comments_scraped,eng_rate,pca1,pca2,pca3,pca1_bin,pca2_bin,pca3_bin,commemoration_day,live_series,hiring,pure_info
DWbxil5DMTW,WWF Namibia,Video,20,commemoration_awareness,False,False,0,0.002801,-3.7264380952356664,3.9546794124289937,4.026542768704303,lo,hi,hi,False,False,False,False
DXbu79iDCnX,WWF Namibia,Image,20,commemoration_awareness,False,False,0,0.004357,-1.1554986212622225,1.7232531262958635,0.07183969755302698,lo,hi,mid,True,False,False,False
DWjdIZtjHgI,WWF Namibia,Carousel,-1,outlier_atypical,False,False,1,0.023965,-0.12299296712236407,-0.2825818732147056,-1.2672521581888723,mid,mid,lo,False,False,False,False
DWbAAoijFTa,WWF Namibia,Image,20,commemoration_awareness,False,False,0,0.004046,-3.7264380952356664,3.9546794124289937,4.026542768704303,lo,hi,hi,True,False,False,False
DWW4P-5CLtE,Ministry of Environment Forestry & Tourism,Video,6,policy_governance,False,False,0,0.011523,-1.1193530042879007,-0.30217838708089606,0.4510373310645676,lo,mid,hi,False,False,False,False
DWUhj7VjtYE,Ministry of Environment Forestry & Tourism,Video,6,policy_governance,True,False,1,0.01602,-0.5488751781320583,-1.142296854744908,0.422390691270749,mid,lo,hi,False,False,False,False
DRUGF9ajCli,Youth4CAN,Carousel,-1,outlier_atypical,False,False,0,0.009162,-2.7241445601345067,4.338332365467566,0.5611126170850682,lo,hi,hi,False,False,False,False
DXceVTokb5e,Giraffe Conservation Foundation,Image,20,commemoration_awareness,False,True,3,0.008453,-0.015130186578565033,0.343470585842195,0.0906257722933255,mid,mid,mid,True,False,False,False
DUxWaDAiHXN,NACSO,Image,-1,outlier_atypical,False,False,0,0.030445,-0.9689778285407518,1.3430678901843447,-0.3408525828964261,lo,hi,lo,True,False,False,False
DXbU3-0DCwx,Youth4CAN,Image,-1,outlier_atypical,False,False,0,0.011126,-3.1418139724277396,1.6291333539343311,4.55604945898059,lo,hi,hi,True,False,False,False
DXuf7d6EZeD,Giraffe Conservation Foundation,Carousel,4,monitoring_conservation_tech,False,False,2,0.005778,-0.6934707932782062,0.5575365944493067,-1.2386055183950537,lo,hi,lo,False,False,False,False
DVAe29YCKEl,NACSO,Image,13,research_dispatch,False,False,1,0.098361,-0.12696127047962025,3.112769473099742,0.4735411087401808,mid,hi,hi,True,False,False,False
DXhn93Tjbxw,Giraffe Conservation Foundation,Image,8,weekly_ritual_filler,True,True,9,0.016584,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DXgfcC4CBh-,Ministry of Environment Forestry & Tourism,Carousel,-1,outlier_atypical,False,False,0,0.004216,-0.26062929682930497,-0.7732224623743671,-0.6491469667167866,mid,mid,lo,False,False,False,False
DUx-o2qCL2l,NACSO,Image,10,coexistence_community_livelihoods,False,False,0,0.035129,-0.5937111045798322,1.1420204304617037,-0.9090984016126795,mid,hi,lo,True,False,False,False
DXmxhmVDVZm,Giraffe Conservation Foundation,Image,4,monitoring_conservation_tech,False,False,1,0.002482,-0.3603889855276791,-1.3577062983867636,-0.9786540834991607,mid,lo,lo,False,False,False,False
DVGf_p2iJ72,NACSO,Carousel,6,policy_governance,False,False,0,0.021077,-1.017627915706618,0.44708124140116395,-0.20780804647351506,lo,mid,mid,False,False,False,False
DXqj3iSiA-v,Ministry of Environment Forestry & Tourism,Carousel,-1,outlier_atypical,False,False,0,0.014053,-0.6981530213536047,-1.2483699148045293,1.7363067082069512,lo,lo,hi,False,False,False,False
DXivehMRBFx,Ongava Game Reserve,Video,2,ecotourism_aesthetic,True,False,1,0.006854,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DVvS2FYjO4c,WWF Namibia,Carousel,6,policy_governance,False,False,0,0.005913,-0.023233278423989936,0.3019019627976912,-0.9377450414064981,mid,mid,lo,False,False,False,False
DXhEfFxiKkR,Ministry of Environment Forestry & Tourism,Carousel,6,policy_governance,False,False,0,0.003092,-0.3114791597267433,-0.06717242957284986,0.13379261658103755,mid,mid,mid,False,False,False,False
DU2f6MXjhAG,Save the Rhino Trust Namibia,Image,5,species_spotlight_facts,False,False,0,0.003544,0.5553476395772773,-0.4966478818218173,0.06197913249950685,hi,mid,mid,False,False,False,False
