nearest_event,event_date,n_posts,n_orgs
World Wildlife Day,2026-03-03,29,13
Earth Day,2026-04-22,27,14
Earth Hour,2026-03-28,25,13
World Pangolin Day,2026-02-21,19,11
World Rewilding Day,2026-03-20,17,11
World Penguin Day,2026-04-25,14,8
Wildlife Conservation Day / Int'l Cheetah Day,2025-12-04,12,10
World Meteorological Day,2026-03-23,12,10
World Fisheries Day,2025-11-21,11,8
World Wetlands Day,2026-02-02,10,8
Namibia Independence Day,2026-03-21,7,5
World Water Day,2026-03-22,6,6
World Soil Day,2025-12-05,4,4
