Post_ID,visual_zeroshot,visual_zeroshot_margin,visual_hdbscan
DWbxil5DMTW,people_event,0.0104,6
DXbu79iDCnX,poster_text,0.0113,1
DWjdIZtjHgI,behind_the_scenes,0.0051,18
DWbAAoijFTa,poster_text,0.0291,2
DWW4P-5CLtE,person_portrait,0.0407,12
DWUhj7VjtYE,person_portrait,0.0389,12
DRUGF9ajCli,people_event,0.0443,18
DXceVTokb5e,animal_portrait,0.0344,5
DUxWaDAiHXN,animal_portrait,0.003,1
DXbU3-0DCwx,behind_the_scenes,0.0313,18
DXuf7d6EZeD,animal_portrait,0.0403,5
DVAe29YCKEl,animal_portrait,0.0086,8
DXhn93Tjbxw,animal_portrait,0.0444,5
DXgfcC4CBh-,person_portrait,0.0313,13
DUx-o2qCL2l,poster_text,0.0125,1
DXmxhmVDVZm,behind_the_scenes,0.0152,10
DVGf_p2iJ72,behind_the_scenes,1e-04,12
DXqj3iSiA-v,person_portrait,0.0062,12
DXivehMRBFx,animal_portrait,0.0349,4
DVvS2FYjO4c,behind_the_scenes,0.0469,10
DXhEfFxiKkR,person_portrait,0.0015,13
DU2f6MXjhAG,landscape_scenery,0.0616,16
DUh5k2lAUk4,behind_the_scenes,0.0234,11
DVIyH5WjD2M,animal_portrait,0.0043,-1
DXtx6MkCJiI,poster_text,0.0365,13
DVYvpYOjOdh,behind_the_scenes,0.0169,-1
DV8qrmUDGoW,people_event,0.0586,18
DVa3opXjgA4,animal_portrait,0.0452,8
DVF8oQhjpcp,behind_the_scenes,0.0276,-1
DUP4CreEVt1,person_portrait,0.0259,15
DWny2u3DoHP,behind_the_scenes,0.0175,19
DWBK6wwjrgc,animal_portrait,0.043,8
DVskknKErzC,behind_the_scenes,0.0572,-1
DXJwT-bjkEW,behind_the_scenes,0.0231,17
DWQnsyXjpjb,landscape_scenery,0.002,8
DWws0QXjeph,poster_text,0.0015,2
DVX-MaIDs-A,animal_portrait,0.0169,8
DU8LQZCDHZD,animal_portrait,0.0037,11
DWgEfuPDuiu,landscape_scenery,0.0122,10
DW4bUExGWiB,people_event,0.0284,18
DXMoBOzDnXM,behind_the_scenes,0.0165,15
DXWs260ldFZ,infographic_data,0.0148,-1
DWrjZFUDvNu,animal_portrait,0.0281,5
DWmZr1-Ewni,animal_portrait,0.0255,5
DTfkmjZiIqB,poster_text,0.0298,2
DTxc-x1iMoN,people_event,0.0461,18
DW4hFLgDm7x,people_event,0.0091,12
DRe7J7VjG1W,person_portrait,0.0102,-1
DRb4AbSDIld,infographic_data,0.0107,12
DXHaZrliNMl,person_portrait,0.0367,13
DXCNPQDCMkN,animal_portrait,0.0397,9
DXMfT__iL4g,people_event,0.0099,-1
DXHih5GiFjt,poster_text,0.0055,3
DXCM5WvCK1G,person_portrait,0.0176,13
DSJ-pEaCZpG,animal_portrait,0.0132,8
DXOusaviOJN,person_portrait,0.0224,13
DSRtCbRj9Wv,behind_the_scenes,0.0289,-1
DSJ-qKtlVzK,animal_portrait,0.0493,4
DXcTP6pCFgr,behind_the_scenes,0.0691,6
DSetnWpEdUz,animal_portrait,0.0088,8
DXLzm_7CPil,person_portrait,0.0085,13
DXb9mmtiBmy,person_portrait,0.0141,13
DXPSz7wCFzY,people_event,0.009,12
DRPdL0MjNdg,poster_text,0.0288,4
DXfEn4XjoXB,poster_text,0.026,8
DWI5Bgrijl6,poster_text,0.045,1
DQrx5BLD64o,poster_text,0.0007,-1
DWoX4BUCpCZ,poster_text,0.0204,7
DWlbimAChbY,poster_text,0.0081,2
DWLzna6im7B,poster_text,0.0489,1
DRJmoBPDER3,person_portrait,0.0045,13
DWYsdYrCvaE,poster_text,0.0157,-1
DWOYeqICgEF,poster_text,0.0454,1
DWV5l8TCp7a,poster_text,0.0333,1
DQmoSzej7Cs,landscape_scenery,0.0112,-1
DRKRMspjOJr,behind_the_scenes,0.0117,12
DQmVJK-ji6U,behind_the_scenes,0.046,-1
DRPZSnICLAt,branding_logo,0.0056,13
DXJOpNMFqRt,behind_the_scenes,0.0626,-1
DXwfTUBjkcO,behind_the_scenes,0.0384,-1
DQ8u1Tdjfxy,landscape_scenery,0.0146,-1
DW1KVyzCmTL,poster_text,0.0104,7
DQvufAaFCLQ,behind_the_scenes,0.0422,-1
DROvNLoDNmc,branding_logo,0.0131,-1
DQoIHPqDDxC,poster_text,0.0032,12
DW9k8REk6pa,animal_portrait,0.0106,-1
DW-3Ni3gdfG,people_event,0.0121,14
DRC9C5yCNUK,people_event,0.0145,19
DRNXF-BgS9b,animal_portrait,0.0003,-1
DXxKLyiGcYl,animal_portrait,0.0016,9
DXGjtBPFtcW,people_event,0.0038,14
DXEY-ltlqzA,person_portrait,0.0127,-1
DWn1ukqCqP6,poster_text,0.0247,7
DXO2wrHFpDS,people_event,0.0174,14
DXbYa58lhWu,behind_the_scenes,0.0446,-1
DXWIgNFloaI,people_event,0.0152,-1
DXMHXGjlv3g,branding_logo,0.0196,-1
DVwU7pzDM_m,landscape_scenery,0.0003,8
DV6oG8iDJKi,animal_portrait,0.0058,-1
DVomlnGjA8A,animal_portrait,0.0066,5
DWHgHlgj4h3,animal_portrait,0.0278,5
DWCWeXDDvpY,animal_portrait,0.0028,5
DWUYKewCPZI,infographic_data,0.0097,-1
DV1ejcrjD4w,animal_portrait,0.0147,5
DWZhpaAj9mI,animal_portrait,0.0263,5
DWMpye-jTwn,people_event,0.0145,14
DR2Pq0aDO16,animal_portrait,0.0255,9
DSpvIk3DMXZ,animal_portrait,0.0366,9
DXe7m2rEo4m,animal_portrait,0.0412,4
DXr5rGXmV5m,animal_portrait,0.0356,4
DWqKBa7j5v4,poster_text,0.0215,-1
DW3oE3qFjbF,person_portrait,0.0113,-1
DWjZfpulh0r,behind_the_scenes,0.0115,-1
DSVJ6XUDP5G,animal_portrait,0.021,4
DWZose4CUA7,animal_portrait,0.0106,-1
DWs8j4KATCm,animal_portrait,0.0127,8
DS2oMpeDIjB,animal_portrait,0.0438,4
DVeTWHdlzyU,animal_portrait,0.0262,5
DTGPqHUjOPo,animal_portrait,0.0345,4
DW6aWEHllsp,branding_logo,0.0227,2
DU-bZq3inWr,poster_text,0.02,7
DUtYO6nDaS4,animal_portrait,0.0413,5
DWn5r-flixF,animal_portrait,0.0431,4
DWa0GEIgUev,branding_logo,0.0118,2
DXpWrXrDEJt,animal_portrait,0.0186,4
DW5xIWgllJY,behind_the_scenes,0.0015,14
DU_ZzNqDJmc,landscape_scenery,0.0008,-1
DVMRx8yCMbB,animal_portrait,0.0249,5
DWrjZUMCXX9,animal_portrait,0.0106,-1
DVRbYULjY8q,animal_portrait,0.0402,5
DVjc9hvjaPy,animal_portrait,0.0279,5
DXZhne-jWEN,animal_portrait,0.0076,4
DVa5zYsCm_O,poster_text,0.0107,1
DSAiXtljEJ3,animal_portrait,0.026,11
DVWk_9XDbv8,animal_portrait,0.0041,-1
DTQXoYHDNgM,animal_portrait,0.0224,11
DVEjcvgj1xY,behind_the_scenes,0.0041,11
DU6QOvFk9xX,behind_the_scenes,0.0318,4
DXuRr8pGfJ_,poster_text,0.0093,4
DViTTw0CueE,poster_text,0.0326,7
DXca0cil6Mk,behind_the_scenes,0.0284,15
DXVdVqvGBrZ,animal_portrait,0.0082,9
DSFsknpDGEy,animal_portrait,0.0098,9
DVtL7Z1Cgjg,poster_text,0.0055,1
DVtRIKfigl2,branding_logo,0.0016,7
DWnyV1Wls37,behind_the_scenes,0.0309,-1
DWcGfdLjB95,people_event,0.0061,14
DVgLvVmipRs,infographic_data,0.0071,2
DV1elZ8D0VV,animal_portrait,0.0066,-1
DT-JQYiimAB,behind_the_scenes,0.0157,7
DUX_wPFCgIs,poster_text,0.0326,7
DT98qQrCBCZ,poster_text,0.0487,1
DWMpxKqjnAZ,behind_the_scenes,0.0263,10
DUQylVEiPWw,people_event,0.0362,19
DV9M4tnAc73,landscape_scenery,0.008,-1
DV4Db60iEI4,people_event,0.0532,18
DUELhjJjd7D,people_event,0.0335,18
DTugAKuirZm,poster_text,0.0294,1
DV6hPrUj1sO,people_event,0.0266,14
DUOesl5jXwq,animal_portrait,0.0522,5
DT8dIW2iCC3,animal_portrait,0.0238,5
DUbWq9sk2fR,animal_portrait,0.0283,5
DUWNHNmDsUE,animal_portrait,0.0142,5
DTqbkOCjdCj,animal_portrait,0.0032,5
DT3TiZ9DdmI,animal_portrait,0.0234,5
DTyJ9OpgXzm,poster_text,0.0306,1
DWE0qc5Evit,poster_text,0.0054,-1
DU5v6CKCn_O,landscape_scenery,0.0317,7
DWHgK_VkmUt,animal_portrait,0.0106,-1
DWI5bFigUef,people_event,0.0648,18
DUoOpqdjEUM,animal_portrait,0.0225,5
DWCWecbj-kV,behind_the_scenes,0.0088,14
DUggSmvjmH0,behind_the_scenes,0.02,-1
DV_xrwzjCSH,people_event,0.0033,18
DV1RBwxDDEe,behind_the_scenes,0.0082,6
DW4VErZEjmD,behind_the_scenes,0.0186,-1
DXFDkC8EZUF,poster_text,0.03,10
DXB-DjOjmZ2,behind_the_scenes,0.0041,6
DXMiL7jjXgk,animal_portrait,0.0121,6
DRFUHr8DPls,animal_portrait,0.0491,4
DQuKrLZDCfh,animal_portrait,0.0409,8
DRkL8DrjBZz,animal_portrait,0.0381,11
DW69EwJESBc,animal_portrait,0.0187,4
DW2bF8jjNJE,behind_the_scenes,0.0526,6
DVvyBh7Csmj,branding_logo,0.0082,7
DWBU3t0ilGW,poster_text,0.0436,1
DWD7q9hijMg,poster_text,0.0236,7
DVyHG_Jijrz,poster_text,0.009,7
DTibOjAjHCe,animal_portrait,0.0255,4
DV0so-eCkJk,branding_logo,0.0067,7
DRhp-g_DJMg,animal_portrait,0.0321,4
DUJVGkOjxSn,animal_portrait,0.0341,5
DVimfKujWUT,poster_text,0.0031,-1
DQ4iGjBjLUz,people_event,0.001,18
DRP35sUjLR6,poster_text,0.0502,-1
DQ87jsuDEw5,poster_text,0.0256,7
DWURr-cDbzB,poster_text,0.0263,8
DTamIGPCnjn,poster_text,0.0347,7
DVen7U1DDSX,behind_the_scenes,0.0335,14
DVl64BGCPgg,animal_portrait,0.0351,8
DWW44aTDSt2,behind_the_scenes,0.006,19
DWouAPSEVB9,behind_the_scenes,0.0024,6
DWl7H61DbCB,animal_portrait,0.0441,4
DRj_EEGDNma,branding_logo,0.0014,7
DWhFSe_Epwk,animal_portrait,0.0183,4
DV1dpcLjf4m,person_portrait,0.0121,15
DWaZbb-D-L5,behind_the_scenes,0.026,-1
DVqo_9BgVKV,people_event,0.0229,14
DWsMJvfjOo5,animal_portrait,0.0329,4
DVtwG76oLp5,person_portrait,0.0129,-1
DVqcuKHmK2G,branding_logo,0.012,2
DRKInR5DE1a,people_event,0.0165,7
DUDf5d4DUm_,branding_logo,0.0118,-1
DVjdARTD6tT,animal_portrait,0.0106,-1
DVyJnZlDMPe,landscape_scenery,0.0045,-1
DVmCpq8jAER,animal_portrait,0.0004,6
DWWv0b4kmFB,poster_text,0.0074,4
DReQDwTDOOM,infographic_data,0.0176,7
DSvNTG6DxNi,animal_portrait,0.0252,5
DVrBQE7jEWE,behind_the_scenes,0.0069,6
DVwVD1GjiEL,people_event,0.0214,-1
DVy5ucnCAYI,landscape_scenery,0.0004,16
DS0W5kkD2zk,behind_the_scenes,0.0067,14
DVthvBkjAAF,behind_the_scenes,0.0079,6
DU-ncR0jTOc,people_event,0.0149,12
DS8FQVIjdpH,animal_portrait,0.0384,5
DTGYcjdjeVp,animal_portrait,0.0135,5
DS-qEVPADma,animal_portrait,0.0168,5
DTBO21Djf01,animal_portrait,0.0112,5
DTgIY48D2Bx,people_event,0.0593,18
DTYZ__3jMEy,behind_the_scenes,0.0244,-1
DTOG1rZj1Wf,animal_portrait,0.0201,5
DT8Hxp4DMQV,behind_the_scenes,0.0378,11
DTTQcXSDwcQ,animal_portrait,0.0525,5
