Post_ID,Actor_Name,Post_Format,BERTopic,functional_genre,blindspot,comment_avail,n_comments_scraped,Comments,eng_rate,pca1_bin,pca2_bin,pca3_bin,commemoration_day,live_series,hiring,pure_info,visual_zeroshot,visual_hdbscan,selection_reason,image_path,image_exists
DQ_nfCKDKZ8,Elephant Human Relations Aid,Carousel,0,coexistence_community_livelihoods,False,False,2,2,0.01132,hi,hi,hi,False,False,False,False,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DQ_nfCKDKZ8.jpg,True
DR_9tu4DEa9,WWF Namibia,Carousel,10,coexistence_community_livelihoods,False,False,1,1,0.011204,lo,hi,mid,True,False,False,False,landscape_scenery,6,genre_core,../3. Codebook & Coding/media_test/DR_9tu4DEa9.jpg,True
DSMjgNigije,Ongava Game Reserve,Video,0,coexistence_community_livelihoods,True,False,2,2,0.006591,mid,lo,mid,False,False,False,False,animal_portrait,10,genre_core,../3. Codebook & Coding/media_test/DSMjgNigije.jpg,True
DTSgWRoloBs,Harnas Wildlife Foundation,Image,9,coexistence_community_livelihoods,True,False,0,0,0.00086,mid,lo,mid,False,False,False,False,infographic_data,-1,genre_core,../3. Codebook & Coding/media_test/DTSgWRoloBs.jpg,True
DU-z_9ziHyK,Namibia Nature Foundation,Video,10,coexistence_community_livelihoods,True,False,0,0,0.00906,lo,lo,mid,False,False,False,False,behind_the_scenes,12,genre_core,../3. Codebook & Coding/media_test/DU-z_9ziHyK.jpg,True
DU7v1hOilMn,Namibia Youth Chamber of Environment,Image,10,coexistence_community_livelihoods,False,False,0,0,0.012899,lo,hi,hi,False,False,False,False,poster_text,1,genre_core,../3. Codebook & Coding/media_test/DU7v1hOilMn.jpg,True
DUVa739DPUG,Elephant Human Relations Aid,Image,0,coexistence_community_livelihoods,False,False,0,0,0.012056,mid,lo,lo,False,False,False,True,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DUVa739DPUG.jpg,True
DUi-O5xmKYK,N/a'an ku se Foundation,Carousel,0,coexistence_community_livelihoods,False,True,3,3,0.010113,hi,mid,hi,False,False,False,False,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DUi-O5xmKYK.jpg,True
DV8V_PjFMlT,Ongava Game Reserve,Video,0,coexistence_community_livelihoods,False,False,0,0,0.006503,hi,mid,hi,False,False,False,False,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DV8V_PjFMlT.jpg,True
DW8ZEQcGmuw,Ocean Conservation Namibia,Image,10,coexistence_community_livelihoods,False,True,9,10,0.001889,lo,hi,lo,False,False,False,False,poster_text,6,genre_core,../3. Codebook & Coding/media_test/DW8ZEQcGmuw.jpg,True
