variable,kind,n,exact3,pairwise,kappa,lo,hi,n_categories,textonly_vs_run1
Scientific,binary,184,0.9619565217391305,0.9746376811594203,0.9399020141535112,0.8923539449094012,0.9814562862181909,2,0.9619565217391305
Interactivity,binary,184,0.9945652173913043,0.9963768115942029,0.9072424802554216,0.6289699210216779,1.0,2,1.0
Efficacy,binary,184,0.8913043478260869,0.927536231884058,0.8544534092706848,0.7927483372666811,0.9125371360665478,2,0.7880434782608695
Youth_Addressed,binary,184,0.9728260869565217,0.9818840579710145,0.8474716772589105,0.6891255375793561,0.959637320854052,2,0.9836956521739131
Threat,binary,184,0.9184782608695652,0.9456521739130435,0.8076744402118368,0.7000407553321563,0.894734332912207,2,0.9402173913043478
Empathy,binary,184,0.8804347826086957,0.9202898550724637,0.7737536329085627,0.6714285714285714,0.8559028910787707,2,0.9239130434782609
Economic,binary,184,0.9184782608695652,0.9456521739130435,0.7604166666666665,0.6386083052749719,0.8658240155566358,2,0.9565217391304348
Moral,binary,184,0.9130434782608695,0.9420289855072463,0.7172131147540987,0.5679229775742626,0.8343685300207042,2,0.9347826086956522
Collective_ID,binary,184,0.7880434782608695,0.8586956521739131,0.6914698463655126,0.6034429007116231,0.7774578125899905,2,0.8532608695652174
Normative,binary,184,1.0,1.0,,,,1,1.0
Primary_CTA,multiclass,184,0.9184782608695652,0.9456521739130435,0.8841666433507736,0.8235764129334682,0.9355977190858843,6,0.9347826086956522
Primary_Topic,multiclass,183,0.8142076502732241,0.8761384335154827,0.8451005775741884,0.795938815582149,0.8898797335584324,10,0.8469945355191257
Story_Structure,multiclass,184,0.7554347826086957,0.8351449275362319,0.7556738037102247,0.6921662052029625,0.8172754887452294,4,0.7065217391304348
Emotional_Valence,multiclass,184,0.8369565217391305,0.8894927536231884,0.6873363418574849,0.581626537878521,0.7783326058489741,4,0.8260869565217391
Language,multiclass,184,1.0,1.0,,,,1,1.0
Youth_Style,visual,172,0.9941860465116279,0.9961240310077519,0.8980237154150229,-0.0019417475727837139,1.0,2,
Protagonist,visual,172,0.8488372093023255,0.8992248062015504,0.761111111111111,0.6735679779158041,0.8408418760772929,2,
Data_Visual,visual,172,0.9941860465116279,0.9961240310077519,0.7480468750000068,-0.0058479532163648335,1.0,2,
Onscreen_Text,visual,171,0.8011695906432749,0.8674463937621832,0.6343549536707056,0.5241187384044524,0.7382271468144044,2,
