idx;author_original;author_retest;llm_blind;llm_confidence;all_three_agree
1;disputing;disputing;disputing;high;1
2;disputing;questioning;disputing;low;0
3;questioning;questioning;questioning;high;1
4;noncodeable;noncodeable;noncodeable;high;1
5;questioning;questioning;questioning;low;1
6;disputing;disputing;disputing;high;1
7;disputing;disputing;disputing;high;1
8;disputing;disputing;disputing;low;1
9;other;noncodeable;questioning;low;0
10;other;noncodeable;noncodeable;low;0
11;disputing;qualifying;disputing;high;0
12;disputing;disputing;disputing;high;1
13;disputing;disputing;disputing;high;1
14;disputing;disputing;disputing;high;1
15;disputing;disputing;other;low;0
16;disputing;disputing;disputing;high;1
17;disputing;disputing;disputing;high;1
18;qualifying;questioning;disputing;low;0
19;noncodeable;noncodeable;noncodeable;high;1
20;disputing;disputing;disputing;high;1
21;disputing;disputing;disputing;high;1
22;other;other;other;low;1
23;disputing;other;other;low;0
24;supporting;qualifying;qualifying;high;0
25;disputing;disputing;disputing;high;1
26;disputing;other;other;low;0
27;other;other;supporting;low;0
28;disputing;disputing;disputing;high;1
29;disputing;disputing;disputing;high;1
30;disputing;disputing;disputing;high;1
31;disputing;questioning;disputing;high;0
32;disputing;disputing;disputing;low;1
33;disputing;disputing;disputing;high;1
34;supporting;qualifying;supporting;high;0
35;disputing;questioning;disputing;high;0
36;questioning;questioning;questioning;high;1
37;noncodeable;noncodeable;noncodeable;high;1
38;disputing;disputing;disputing;high;1
39;noncodeable;noncodeable;noncodeable;high;1
40;other;other;supporting;low;0
41;qualifying;questioning;qualifying;low;0
42;disputing;disputing;disputing;low;1
43;other;other;other;high;1
44;qualifying;questioning;qualifying;high;0
45;supporting;qualifying;qualifying;high;0
46;qualifying;questioning;qualifying;high;0
47;disputing;questioning;disputing;high;0
48;disputing;disputing;disputing;high;1
49;disputing;disputing;disputing;high;1
50;disputing;disputing;disputing;high;1
51;disputing;disputing;disputing;high;1
52;noncodeable;noncodeable;noncodeable;high;1
53;disputing;questioning;questioning;low;0
54;supporting;supporting;supporting;high;1
55;qualifying;disputing;qualifying;low;0
56;disputing;other;other;low;0
57;disputing;disputing;disputing;high;1
58;other;questioning;questioning;low;0
59;disputing;disputing;disputing;high;1
60;other;noncodeable;noncodeable;low;0
61;disputing;disputing;disputing;high;1
62;other;noncodeable;disputing;low;0
63;noncodeable;noncodeable;noncodeable;high;1
64;disputing;disputing;disputing;high;1
65;disputing;disputing;disputing;high;1
66;questioning;questioning;questioning;high;1
67;disputing;other;other;low;0
68;disputing;disputing;disputing;high;1
69;noncodeable;noncodeable;noncodeable;high;1
70;other;other;other;low;1
71;qualifying;disputing;qualifying;low;0
