idx;stance;confidence
1;disputing;high
2;disputing;low
3;questioning;high
4;noncodeable;high
5;questioning;low
6;disputing;high
7;disputing;high
8;disputing;low
9;questioning;low
10;noncodeable;low
11;disputing;high
12;disputing;high
13;disputing;high
14;disputing;high
15;other;low
16;disputing;high
17;disputing;high
18;disputing;low
19;noncodeable;high
20;disputing;high
21;disputing;high
22;other;low
23;other;low
24;qualifying;high
25;disputing;high
26;other;low
27;supporting;low
28;disputing;high
29;disputing;high
30;disputing;high
31;disputing;high
32;disputing;low
33;disputing;high
34;supporting;high
35;disputing;high
36;questioning;high
37;noncodeable;high
38;disputing;high
39;noncodeable;high
40;supporting;low
41;qualifying;low
42;disputing;low
43;other;high
44;qualifying;high
45;qualifying;high
46;qualifying;high
47;disputing;high
48;disputing;high
49;disputing;high
50;disputing;high
51;disputing;high
52;noncodeable;high
53;questioning;low
54;supporting;high
55;qualifying;low
56;other;low
57;disputing;high
58;questioning;low
59;disputing;high
60;noncodeable;low
61;disputing;high
62;disputing;low
63;noncodeable;high
64;disputing;high
65;disputing;high
66;questioning;high
67;other;low
68;disputing;high
69;noncodeable;high
70;other;low
71;qualifying;low
