idx;stance;codeable
1;disputing;1
2;questioning;1
3;questioning;1
4;noncodeable;0
5;questioning;1
6;disputing;1
7;disputing;1
8;disputing;1
9;noncodeable;0
10;noncodeable;0
11;qualifying;1
12;disputing;1
13;disputing;1
14;disputing;1
15;disputing;1
16;disputing;1
17;disputing;1
18;questioning;1
19;noncodeable;0
20;disputing;1
21;disputing;1
22;other;1
23;other;1
24;qualifying;1
25;disputing;1
26;other;1
27;other;1
28;disputing;1
29;disputing;1
30;disputing;1
31;questioning;1
32;disputing;1
33;disputing;1
34;qualifying;1
35;questioning;1
36;questioning;1
37;noncodeable;0
38;disputing;1
39;noncodeable;0
40;other;1
41;questioning;1
42;disputing;1
43;other;1
44;questioning;1
45;qualifying;1
46;questioning;1
47;questioning;1
48;disputing;1
49;disputing;1
50;disputing;1
51;disputing;1
52;noncodeable;0
53;questioning;1
54;supporting;1
55;disputing;1
56;other;1
57;disputing;1
58;questioning;1
59;disputing;1
60;noncodeable;0
61;disputing;1
62;noncodeable;0
63;noncodeable;0
64;disputing;1
65;disputing;1
66;questioning;1
67;other;1
68;disputing;1
69;noncodeable;0
70;other;1
71;disputing;1
