frame,n,k,prev,ci_lo,ci_hi,flag
Protagonist,881,571,0.6481271282633371,0.6160117078616857,0.6789563877199313,
Efficacy,917,455,0.4961832061068702,0.463905781343303,0.5284924757801709,
Collective_ID,917,266,0.2900763358778626,0.2616288684461875,0.32027527334488365,
Scientific,917,262,0.2857142857142857,0.25741638629623886,0.31580004935023115,
Onscreen_Text,879,199,0.22639362912400454,0.19995279223806856,0.2552155223056059,
Threat,917,178,0.1941112322791712,0.1698097084718385,0.2209648981380082,
Empathy,917,162,0.1766630316248637,0.15334198811306685,0.2026817939183754,
Moral,917,127,0.13849509269356597,0.11764215326262553,0.16236420000355695,
Economic,917,115,0.12540894220283533,0.10552403978064011,0.14841919505173903,
Youth_Addressed,917,47,0.05125408942202835,0.038760831769210524,0.06749139860494964,
Interactivity,917,16,0.017448200654307525,0.010768111615058206,0.028154396138443324,FLOOR (<3%)
Youth_Style,882,14,0.015873015873015872,0.009478412928548756,0.02646646016768691,FLOOR (<3%)
Normative,917,6,0.006543075245365322,0.003002098811085208,0.014201143580913528,FLOOR (<3%)
Data_Visual,881,4,0.004540295119182747,0.0017670061385797022,0.011615570709114884,FLOOR (<3%)
