CTA_Type,topic,topic_name,top_words,n_comments,pct_within_cta
Donate,0,0_right_sad_know_beautiful,"right, sad, know, beautiful, love, , ,",27,20.5
Donate,-1,-1_god_love_bless_god bless,"god, love, bless, god bless, guys, thank, wow, good",26,19.7
Donate,NA,unassigned,,25,18.9
Donate,28,28_happy_birthday_day_today,"happy, birthday, day, today, check, long, live, baby",8,6.1
Donate,1,1_amazing beautiful_grazie_thanks_beautiful,"amazing beautiful, grazie, thanks, beautiful, amazing, , ,",6,4.5
Donate,19,19_wish___,"wish, , , , , , ,",6,4.5
Donate,2,2_good job_thing_precious_poor,"good job, thing, precious, poor, job, good, ,",5,3.8
Donate,5,5_beautiful_cute_adorable_beauty,"beautiful, cute, adorable, beauty, precious, looks, puppies, doesn",5,3.8
Donate,3,3_ehra_experience_best_volunteering,"ehra, experience, best, volunteering, life, stay, amazing, time",3,2.3
Donate,10,10_guy_perfect_poor_love,"guy, perfect, poor, love, time, like, little, baby",3,2.3
Donate,21,21_adorable_let_need_birthday,"adorable, let, need, birthday, know, happy, doing amazing, november",3,2.3
Donate,8,8_ya_natural_grazie_animal,"ya, natural, grazie, animal, love, , ,",2,1.5
Donate,13,13_animals_conservation_animal_make,"animals, conservation, animal, make, wildlife, earth, important, humans",2,1.5
Donate,22,22_animals_creatures_thank saving_precious,"animals, creatures, thank saving, precious, saving, thank, planet, humans",2,1.5
Donate,4,4_work_great work_job_good job,"work, great work, job, good job, work guys, great, love work, thanks",1,0.8
Donate,6,6_congratulations_congrats_wait_news,"congratulations, congrats, wait, news, proud, end, time, experience",1,0.8
Donate,7,7_fishing_ve_small_easier,"fishing, ve, small, easier, little, away, bravo, spot",1,0.8
Donate,9,9_miss_oh_hi_definitely,"miss, oh, hi, definitely, taking, rachel, night, respect",1,0.8
Donate,11,11_thank thank_thank_sharing_link,"thank thank, thank, sharing, link, nice, thanks, ,",1,0.8
Donate,16,16_heroes_real_little_god bless,"heroes, real, little, god bless, witness, bless, said, thank god",1,0.8
Donate,18,18_reach_going_face_ve,"reach, going, face, ve, wait, pictures, doing amazing, able",1,0.8
Donate,20,20_saving_puppies_thing_poor,"saving, puppies, thing, poor, little, hard, patrol, different",1,0.8
Donate,24,24_does_project_volunteer_looking,"does, project, volunteer, looking, look, hi, sign, proposal",1,0.8
Event,-1,-1_god_love_bless_god bless,"god, love, bless, god bless, guys, thank, wow, good",14,22.2
Event,NA,unassigned,,7,11.1
Event,6,6_congratulations_congrats_wait_news,"congratulations, congrats, wait, news, proud, end, time, experience",6,9.5
Event,0,0_right_sad_know_beautiful,"right, sad, know, beautiful, love, , ,",5,7.9
Event,2,2_good job_thing_precious_poor,"good job, thing, precious, poor, job, good, ,",5,7.9
Event,13,13_animals_conservation_animal_make,"animals, conservation, animal, make, wildlife, earth, important, humans",5,7.9
Event,3,3_ehra_experience_best_volunteering,"ehra, experience, best, volunteering, life, stay, amazing, time",4,6.3
