frame,n_present,delta,lo,hi
Empathy,162,0.33809241998323225,0.251741178443588,0.41910303186475434
Interactivity,16,0.2693701226309922,-0.05527328019421611,0.5425051652082036
Youth_Style,14,0.26703042328042326,-0.08399846987036286,0.5591006219148565
Threat,177,0.2596874232375338,0.17073391525631593,0.3444420877857576
Protagonist,570,0.21745814046516945,0.14261191485770713,0.28983154354694746
Efficacy,452,0.10997638838231623,0.0402973353277996,0.17859097283038136
Scientific,262,0.009093467478101806,-0.06595812899320154,0.08404275282482405
Normative,6,-0.019845644983461974,-0.5163436913803838,0.4866374173999171
Youth_Addressed,47,-0.040956218367647776,-0.2098247642102412,0.13028499013538453
Collective_ID,262,-0.0913743975797657,-0.16845959621247142,-0.013178358870162079
Onscreen_Text,197,-0.12164772472036296,-0.20810498902646019,-0.033304273948495396
Moral,127,-0.16814930576426035,-0.2650859038599314,-0.06784777265344392
Economic,114,-0.21576312495883015,-0.31451650265472586,-0.112389416705425
