feature,rho,ci_lo,ci_hi,n,p
f_Scientific,0.21479046331264778,0.1506765992611333,0.27854654960231073,913,5.45776196911516e-11
f_Threat,0.10469668029183325,0.0444821523660776,0.16706847989204832,913,0.0015355528642274604
f_Empathy,0.05115857262453638,-0.011064803162896104,0.11365476233979237,913,0.12241989909159971
cap_chars,0.03131311537810562,-0.033187173131503676,0.0945739940000849,913,0.3446133422932336
f_Protagonist,0.02045710735270254,-0.04566748795657824,0.08908537100444094,877,0.5451658143904317
f_Onscreen_Text,-0.016054025091584136,-0.07992899698133235,0.04907075841082055,875,0.6353314993048569
f_Data_Visual,-0.02215840835339182,-0.07726066098087057,0.05154115752610176,877,0.5122438679695298
f_Economic,-0.042203302975902426,-0.10161035150177658,0.016945786564400368,913,0.20265243217019388
f_Efficacy,-0.058964744329950844,-0.12483418469781216,0.00444721431191844,913,0.07494824114728985
n_emojis,-0.060112181808559796,-0.1231454229431746,0.006365339864504064,913,0.06944761831545002
clip_align,-0.08065402632070881,-0.14412798039708133,-0.015279168394938808,906,0.015170703668899261
n_hashtags,-0.17627719726450086,-0.2346389258777108,-0.11667436153420593,913,8.271194516652005e-8
