Actor_Name,n_posts,n_scientific,pct_org_posts_scientific,pct_scientific_occurrences,research_led_account
Gobabeb Research & Training Centre,79,64,81,24.4,TRUE
Giraffe Conservation Foundation,83,41,49.4,15.6,TRUE
AfriCat Foundation,37,36,97.3,13.7,TRUE
Namibia Nature Foundation,53,25,47.2,9.5,FALSE
Elephant Human Relations Aid,79,22,27.8,8.4,FALSE
Cheetah Conservation Fund,53,19,35.8,7.3,FALSE
Save the Rhino Trust Namibia,40,13,32.5,5,FALSE
Ministry of Environment Forestry & Tourism,82,9,11,3.4,FALSE
N/a'an ku se Foundation,79,8,10.1,3.1,FALSE
WWF Namibia,29,7,24.1,2.7,FALSE
Ocean Conservation Namibia,64,6,9.4,2.3,FALSE
Namibia Youth Chamber of Environment,46,5,10.9,1.9,FALSE
Ongava Game Reserve,77,4,5.2,1.5,FALSE
Harnas Wildlife Foundation,74,2,2.7,0.8,FALSE
Environmental Investment Fund,14,1,7.1,0.4,FALSE
