a,b,phi,n,ci_low,ci_high
Empathy,Threat,0.3705133513501748,879,0.31203375433973235,0.42619597625508027
Efficacy,Threat,0.30459096501079147,879,0.2433682020542709,0.3633962549361975
Empathy,Protagonist,0.30403813425138,879,0.24279494996374143,0.3628673418011959
Collective_ID,Efficacy,0.2419529986411393,879,0.17868740095073032,0.303226101520842
Collective_ID,Moral,0.21765920831092375,879,0.15374761685664382,0.2797571957629241
Economic,Efficacy,0.2154602348222015,879,0.1514941824753546,0.27762921828815285
Onscreen_Text,Youth_Style,0.21345726423237907,879,0.14944218377602783,0.27569038450289074
Moral,Threat,0.2042863419928023,879,0.1400538154847078,0.2668066512189815
Youth_Addressed,Youth_Style,0.17660525687890233,879,0.11178627035483796,0.2399278167067899
Efficacy,Scientific,0.16716470228371721,879,0.10216963393721507,0.23073861175905833
Efficacy,Moral,0.16422029754228523,879,0.09917279447516508,0.2278702782958056
Economic,Onscreen_Text,0.13569274816553362,879,0.07019819111272878,0.20002244361781255
Efficacy,Empathy,0.1271349611398702,879,0.0615277907533626,0.1916482446194399
Data_Visual,Onscreen_Text,0.12498384676677322,879,0.05934992566302301,0.18954179920438693
Protagonist,Threat,0.12029429482763361,879,0.054604220483796775,0.18494756733217316
Data_Visual,Interactivity,0.11723524554309628,879,0.05151014031778391,0.18194917273610056
Collective_ID,Youth_Addressed,0.10105141004005104,879,0.035161943317583204,0.16606617915670413
Normative,Youth_Style,0.09981879206428783,879,0.03391825048316655,0.16485509033784182
Collective_ID,Normative,0.09891619506432696,879,0.03300767323486427,0.16396813388310316
Scientific,Threat,0.09453017603584714,879,0.028584432639788538,0.1596566195873813
Moral,Onscreen_Text,0.08999064105542533,879,0.024009091424707942,0.15519157896590102
Economic,Moral,0.0897193652051816,879,0.023735763343078364,0.1549246704082146
Empathy,Moral,0.08924647515012231,879,0.023259319408167497,0.154459370688812
Moral,Normative,0.08894389593373515,879,0.02295448196246589,0.15416163297976468
Collective_ID,Economic,0.08546789027063009,879,0.01945341390127087,0.15074039635899705
Efficacy,Protagonist,0.08292559863405981,879,0.016893816685802893,0.1482371715221121
Efficacy,Youth_Addressed,0.07981124128296846,879,0.013759438713944042,0.1451695307903424
Protagonist,Scientific,0.07658165778739363,879,0.010510464292182426,0.1419870646225212
Data_Visual,Scientific,0.0687689076157835,879,0.0026565702286213983,0.13428270097651082
Collective_ID,Data_Visual,0.0682710117897128,879,0.0021563286591148286,0.1337914438711013
Collective_ID,Onscreen_Text,0.06607543471699416,879,-4.9197857768049017e-5,0.1316247574934888
Collective_ID,Youth_Style,0.0584558562975596,879,-0.007698318088544603,0.12410058056471114
Efficacy,Normative,0.05612021935483944,879,-0.010041461292282486,0.12179267448983731
Normative,Onscreen_Text,0.0542004122104132,879,-0.011966894407920632,0.11989512920072598
Data_Visual,Threat,0.052485236730629374,879,-0.0136866812787667,0.11819943662016053
Interactivity,Onscreen_Text,0.04835038118965176,879,-0.017831044790616337,0.11410997315852524
Interactivity,Moral,0.04623338368454296,879,-0.019952030395828588,0.11201535294378456
Normative,Youth_Addressed,0.04343554382618743,879,-0.02275422734828937,0.10924618999677353
Economic,Threat,0.037482315947628686,879,-0.02871326739925626,0.10335057953679318
Data_Visual,Efficacy,0.03450025518034595,879,-0.031696471894678745,0.10039563929609496
Onscreen_Text,Threat,0.024179578103826357,879,-0.042012010861222075,0.09015984271029112
Onscreen_Text,Youth_Addressed,0.02235349827942009,879,-0.043835713436571076,0.08834732864737627
Interactivity,Threat,0.01951192420500472,879,-0.04667271122909685,0.08552599493504799
Economic,Normative,0.009758451434929323,879,-0.05640236104426138,0.07583393554539002
Efficacy,Onscreen_Text,0.008257796146724013,879,-0.05789823633928622,0.07434162012218667
Threat,Youth_Style,0.006726876794570172,879,-0.059423973250630736,0.07281890377846496
Collective_ID,Interactivity,0.006371501550871166,879,-0.05977810128984188,0.07246538864491184
Economic,Scientific,0.004786832683000349,879,-0.061357006056313,0.07088881211325358
Economic,Youth_Addressed,0.004121163852517212,879,-0.06202015485207149,0.07022644409466011
Moral,Youth_Style,0.003214404013433002,879,-0.06292338800952581,0.06932408675715689
Moral,Youth_Addressed,-6.201259231007554e-4,879,-0.06674180676374483,0.06550697784051991
Economic,Interactivity,-9.872038366976e-4,879,-0.06710724081102401,0.06514146610558633
Empathy,Normative,-0.002103547372345673,879,-0.06821847608527444,0.06402977652302035
Data_Visual,Normative,-0.005605243354952362,879,-0.0717030846955884,0.06054161361723612
Interactivity,Protagonist,-0.006362492432124953,879,-0.07245642646597783,0.059787078574302543
Data_Visual,Youth_Style,-0.008601653289127528,879,-0.07468359242613708,0.057555500708599966
Interactivity,Normative,-0.011288158447427098,879,-0.07735483664517136,0.054877220786539005
Interactivity,Scientific,-0.011704646513731416,879,-0.07776887390739531,0.05446192261519576
Data_Visual,Youth_Addressed,-0.01570540719004569,879,-0.08174493180652428,0.05047142555522953
Efficacy,Youth_Style,-0.016872598557230594,879,-0.08290452036994482,0.04930683023684017
Interactivity,Youth_Style,-0.01732249950427517,879,-0.0833514430309133,0.04885788189681757
Empathy,Interactivity,-0.01834157711950219,879,-0.08436367627008673,0.04784086314772085
Collective_ID,Threat,-0.02225790771694983,879,-0.08825243617880817,0.04393116740749637
Normative,Protagonist,-0.025562380296465348,879,-0.09153208146657048,0.04063071531997223
Data_Visual,Economic,-0.025836715231943325,879,-0.0918042909353887,0.04035664921044687
Data_Visual,Moral,-0.02662408213587134,879,-0.09258550279938346,0.0395699985422695
Data_Visual,Empathy,-0.0312840185792814,879,-0.09720734942956642,0.034912620596734584
Interactivity,Youth_Addressed,-0.031628443872282724,879,-0.09754884662130309,0.03456827025736065
Efficacy,Interactivity,-0.03264796134539077,879,-0.09855960578439103,0.03354888252195762
Empathy,Youth_Style,-0.03502023358575573,879,-0.10091097241813718,0.031176378942220126
Collective_ID,Scientific,-0.038531014434884485,879,-0.10438946430875459,0.027663886365467884
