quantity,kind,n,estimate,lo,hi,iqr_low,iqr_high
"Flesch-Kincaid grade level, median",median,896,10.6,10.2,11,7.8,13.7
"Caption length in words, median",median,917,65,61,71,34,104
"Hashtags per post among users, median",median,500,5,5,5,3,6
"Warm-hue share, median",median,911,0.67,0.64,0.69,0.48,0.86
"Brightness, median (video)",median,218,0.47,0.46,0.49,0.42,0.53
"Brightness, median (photograph)",median,300,0.54,0.53,0.56,0.44,0.65
"Saturation, median (video)",median,218,0.33,0.31,0.34,0.25,0.4
"Saturation, median (photograph)",median,300,0.28,0.26,0.29,0.2,0.37
"Carries at least one number, %",percent,917,36,32.9,39.1,NA,NA
"Carries at least one hashtag, %",percent,917,54.5,51.3,57.7,NA,NA
"English-language captions, %",percent,917,99.8,99.2,99.9,NA,NA
"On-image data visualization, %",percent,881,0.5,0.2,1.2,NA,NA
