Actor_Name,n_posts,first_to_last_span_days,active_days,posts_per_month_retrieved_span,posts_per_month_nominal_window
Ocean Conservation Namibia,64,55,52,35.4,10.7
N/a'an ku se Foundation,79,84,61,28.6,13.2
Cheetah Conservation Fund,53,80,45,20.2,8.8
Harnas Wildlife Foundation,74,146,73,15.4,12.3
Giraffe Conservation Foundation,83,178,82,14.2,13.8
Ministry of Environment Forestry & Tourism,82,176,47,14.2,13.7
Elephant Human Relations Aid,79,176,78,13.7,13.2
Gobabeb Research & Training Centre,79,177,73,13.6,13.2
Ongava Game Reserve,77,179,74,13.1,12.8
Namibia Nature Foundation,53,168,35,9.6,8.8
Namibia Youth Chamber of Environment,46,171,43,8.2,7.7
Save the Rhino Trust Namibia,40,176,38,6.9,6.7
AfriCat Foundation,37,172,37,6.5,6.2
WWF Namibia,29,169,27,5.2,4.8
NACSO,16,100,13,4.9,2.7
Environmental Investment Fund,14,165,14,2.6,2.3
Tosco Trust,7,117,7,1.8,1.2
Youth4CAN,3,152,3,0.6,0.5
Desert Lion Conservation Trust,2,155,2,0.4,0.3
