Actor_Name,Actor_Type_label,n_posts,followers,kmeans_cluster,hclust_cluster,cap_chars_med,hashtags_med,emojis_med,link_rate,question_rate,onscreen_text_rate,protagonist_rate,data_visual_rate,pct_video,pct_carousel,clip_align_med,genre_entropy
Giraffe Conservation Foundation,NGO/Foundation/Trust,83,46731,3,1,575,9,6,0.07228915662650602,0.25301204819277107,0.13414634146341464,0.8902439024390244,0.01219512195121951,0.02409638554216867,0.24096385542168677,0.297,0.5938684851573092
Ministry of Environment Forestry & Tourism,Government,82,3558,1,2,633,0,0,0.01219512195121951,0,0.5897435897435898,0.5384615384615384,0,0.14634146341463414,0.5609756097560976,0.27164999999999995,0.6405296980584047
N/a'an ku se Foundation,NGO/Foundation/Trust,79,29665,3,1,626,5,2,0.6075949367088608,0.1518987341772152,0.18666666666666668,0.76,0,0.35443037974683544,0.4936708860759494,0.2583,0.9028103027504866
Elephant Human Relations Aid,NGO/Foundation/Trust,79,10866,4,3,472,0,2,0.13924050632911392,0.3037974683544304,0.07894736842105263,0.7894736842105263,0,0.1518987341772152,0.5949367088607594,0.2803,0.4401490119022725
Gobabeb Research & Training Centre,Research/Academic,79,1112,4,3,403,0,0,0.10126582278481013,0.1139240506329114,0.09333333333333334,0.5866666666666667,0.01333333333333333,0.01265822784810126,0.6962025316455697,0.2784,0.4672733657356065
Ongava Game Reserve,Conservancy/Protected Area,77,11380,4,3,230,0,0,0.05194805194805195,0.03896103896103896,0.04,0.6133333333333333,0,0.2987012987012987,0.3116883116883117,0.2781,0.3335523024589292
Harnas Wildlife Foundation,NGO/Foundation/Trust,74,44193,4,3,264,3,1,0.04054054054054054,0.12162162162162164,0.0144927536231884,0.6285714285714286,0,0.01351351351351351,0.47297297297297297,0.2853,0.5490266319797558
Ocean Conservation Namibia,NGO/Foundation/Trust,64,236580,2,4,108,5,0,0,0.109375,0.2033898305084746,0.85,0,0.828125,0.078125,0.24535,0.4980278865344765
Cheetah Conservation Fund,NGO/Foundation/Trust,53,56641,3,1,872,5,0,0.1320754716981132,0.660377358490566,0.22641509433962265,0.8867924528301887,0,0.5283018867924528,0.4528301886792453,0.2969,0.8779549147065466
Namibia Nature Foundation,NGO/Foundation/Trust,53,3532,1,2,972,1,1,0.05660377358490566,0.1509433962264151,0.36538461538461536,0.17307692307692307,0.03846153846153846,0.1509433962264151,0.5849056603773585,0.2827,0.7920410287879044
Namibia Youth Chamber of Environment,Umbrella/Network,46,1628,1,2,379.5,0,1,0.2391304347826087,0.17391304347826086,0.5897435897435898,0.2564102564102564,0,0.04347826086956521,0.5217391304347826,0.28600000000000003,0.9056841679934596
Save the Rhino Trust Namibia,NGO/Foundation/Trust,40,12414,4,3,399,3,0,0.05,0.025,0.05128205128205128,0.8461538461538461,0,0.225,0.225,0.29955,0.4551514732083191
AfriCat Foundation,NGO/Foundation/Trust,37,18529,2,4,1007,5,1,0,0.02702702702702703,0.08108108108108109,0.918918918918919,0,0.8108108108108109,0.1891891891891892,0.2592,0.367130880238366
WWF Namibia,NGO/Foundation/Trust,29,3213,1,2,479,2,2,0.06896551724137931,0.1724137931034483,0.4642857142857143,0.32142857142857145,0,0.2413793103448276,0.3448275862068966,0.2913,0.9501600883620298
NACSO,Umbrella/Network,16,427,1,1,891,5,4,0,0.125,0.3125,0.3125,0,0.0625,0.6875,0.26965,0.7394359844601422
Environmental Investment Fund,Consultancy/Private/Other,14,1579,1,2,328.5,0,1,0,0,0.9285714285714286,0.14285714285714285,0,0,0.2857142857142857,0.32205,0.8193399999898042
