Actor_Name,functional_genre,n,share
AfriCat Foundation,outlier_atypical,1,0.02702702702702703
AfriCat Foundation,research_dispatch,33,0.8918918918918919
AfriCat Foundation,species_spotlight_facts,3,0.08108108108108109
Cheetah Conservation Fund,education_youth,3,0.05660377358490566
Cheetah Conservation Fund,monitoring_conservation_tech,18,0.33962264150943394
Cheetah Conservation Fund,org_update_identity,9,0.16981132075471697
Cheetah Conservation Fund,outlier_atypical,7,0.1320754716981132
Cheetah Conservation Fund,rescue_intervention,14,0.2641509433962264
Cheetah Conservation Fund,species_spotlight_facts,2,0.03773584905660377
Desert Lion Conservation Trust,education_youth,1,0.5
Desert Lion Conservation Trust,wildlife_series_broadcast,1,0.5
Elephant Human Relations Aid,coexistence_community_livelihoods,64,0.810126582278481
Elephant Human Relations Aid,ecotourism_aesthetic,7,0.08860759493670886
Elephant Human Relations Aid,education_youth,2,0.02531645569620253
Elephant Human Relations Aid,outlier_atypical,5,0.06329113924050633
Elephant Human Relations Aid,species_spotlight_facts,1,0.012658227848101266
Environmental Investment Fund,commemoration_awareness,1,0.07142857142857142
Environmental Investment Fund,education_youth,1,0.07142857142857142
Environmental Investment Fund,org_update_identity,2,0.14285714285714285
Environmental Investment Fund,outlier_atypical,2,0.14285714285714285
Environmental Investment Fund,policy_governance,7,0.5
Environmental Investment Fund,rescue_intervention,1,0.07142857142857142
Giraffe Conservation Foundation,commemoration_awareness,1,0.012048192771084338
Giraffe Conservation Foundation,education_youth,3,0.03614457831325301
Giraffe Conservation Foundation,monitoring_conservation_tech,53,0.6385542168674698
Giraffe Conservation Foundation,weekly_ritual_filler,26,0.3132530120481928
Gobabeb Research & Training Centre,coexistence_community_livelihoods,1,0.012658227848101266
Gobabeb Research & Training Centre,commemoration_awareness,2,0.02531645569620253
Gobabeb Research & Training Centre,ecotourism_aesthetic,2,0.02531645569620253
Gobabeb Research & Training Centre,education_youth,2,0.02531645569620253
Gobabeb Research & Training Centre,org_update_identity,2,0.02531645569620253
Gobabeb Research & Training Centre,outlier_atypical,10,0.12658227848101267
Gobabeb Research & Training Centre,rescue_intervention,1,0.012658227848101266
Gobabeb Research & Training Centre,research_dispatch,58,0.7341772151898734
Gobabeb Research & Training Centre,species_spotlight_facts,1,0.012658227848101266
Harnas Wildlife Foundation,coexistence_community_livelihoods,8,0.10810810810810811
Harnas Wildlife Foundation,ecotourism_aesthetic,52,0.7027027027027027
Harnas Wildlife Foundation,education_youth,3,0.04054054054054054
Harnas Wildlife Foundation,org_update_identity,1,0.013513513513513514
Harnas Wildlife Foundation,outlier_atypical,3,0.04054054054054054
Harnas Wildlife Foundation,rescue_intervention,1,0.013513513513513514
Harnas Wildlife Foundation,species_spotlight_facts,6,0.08108108108108109
Ministry of Environment Forestry & Tourism,coexistence_community_livelihoods,4,0.04878048780487805
Ministry of Environment Forestry & Tourism,outlier_atypical,30,0.36585365853658536
Ministry of Environment Forestry & Tourism,policy_governance,47,0.573170731707317
Ministry of Environment Forestry & Tourism,weekly_ritual_filler,1,0.012195121951219513
N/a'an ku se Foundation,coexistence_community_livelihoods,18,0.22784810126582278
N/a'an ku se Foundation,ecotourism_aesthetic,3,0.0379746835443038
N/a'an ku se Foundation,education_youth,22,0.27848101265822783
N/a'an ku se Foundation,org_update_identity,7,0.08860759493670886
N/a'an ku se Foundation,outlier_atypical,7,0.08860759493670886
N/a'an ku se Foundation,rescue_intervention,8,0.10126582278481013
N/a'an ku se Foundation,species_spotlight_facts,3,0.0379746835443038
N/a'an ku se Foundation,wildlife_series_broadcast,11,0.13924050632911392
NACSO,coexistence_community_livelihoods,1,0.0625
NACSO,org_update_identity,4,0.25
NACSO,outlier_atypical,1,0.0625
NACSO,policy_governance,9,0.5625
NACSO,research_dispatch,1,0.0625
Namibia Nature Foundation,coexistence_community_livelihoods,19,0.3584905660377358
Namibia Nature Foundation,commemoration_awareness,1,0.018867924528301886
Namibia Nature Foundation,education_youth,1,0.018867924528301886
Namibia Nature Foundation,org_update_identity,2,0.03773584905660377
Namibia Nature Foundation,outlier_atypical,13,0.24528301886792453
Namibia Nature Foundation,policy_governance,10,0.18867924528301888
Namibia Nature Foundation,research_dispatch,5,0.09433962264150944
Namibia Nature Foundation,species_spotlight_facts,2,0.03773584905660377
Namibia Youth Chamber of Environment,coexistence_community_livelihoods,3,0.06521739130434782
Namibia Youth Chamber of Environment,commemoration_awareness,6,0.13043478260869565
Namibia Youth Chamber of Environment,ecotourism_aesthetic,2,0.043478260869565216
