Actor_Name,posts_per_month
Giraffe Conservation Foundation,13.8
Ministry of Environment Forestry & Tourism,13.7
N/a'an ku se Foundation,13.2
Elephant Human Relations Aid,13.2
Gobabeb Research & Training Centre,13.2
Ongava Game Reserve,12.8
Harnas Wildlife Foundation,12.3
Ocean Conservation Namibia,10.7
Cheetah Conservation Fund,8.8
Namibia Nature Foundation,8.8
Namibia Youth Chamber of Environment,7.7
Save the Rhino Trust Namibia,6.7
AfriCat Foundation,6.2
WWF Namibia,4.8
NACSO,2.7
Environmental Investment Fund,2.3
Tosco Trust,1.2
Youth4CAN,0.5
Desert Lion Conservation Trust,0.3
