Actor_Name,Instagram_Handle,n_retrieved_posts,first_retrieved_post,last_retrieved_post,series_begins_february_or_later
Gobabeb Research & Training Centre,gobabeb,79,2025-11-01,2026-04-27,FALSE
Giraffe Conservation Foundation,giraffe_conservation,83,2025-11-02,2026-04-29,FALSE
Ongava Game Reserve,ongavagamereserve,77,2025-11-02,2026-04-30,FALSE
Environmental Investment Fund,eif_namibia,14,2025-11-03,2026-04-17,FALSE
Save the Rhino Trust Namibia,savetherhinonamibia,40,2025-11-03,2026-04-28,FALSE
Elephant Human Relations Aid,ehranamibia,79,2025-11-04,2026-04-29,FALSE
Harnas Wildlife Foundation,harnaswildlifefoundation,74,2025-11-04,2026-03-30,FALSE
Ministry of Environment Forestry & Tourism,ministry_of_environment_nam,82,2025-11-04,2026-04-29,FALSE
WWF Namibia,wwfnamibia,32,2025-11-04,2026-04-22,FALSE
AfriCat Foundation,africat_foundation,37,2025-11-06,2026-04-27,FALSE
Namibia Youth Chamber of Environment,namyouthchamber,46,2025-11-10,2026-04-30,FALSE
Namibia Nature Foundation,namibia_nature_foundation,53,2025-11-12,2026-04-29,FALSE
NACSO,nacso_namibia1,16,2025-11-17,2026-02-25,FALSE
Desert Lion Conservation Trust,desertlionconservation,2,2025-11-19,2026-04-23,FALSE
Youth4CAN,youth4can_namibia,3,2025-11-21,2026-04-22,FALSE
Tosco Trust,tosconamibia,7,2025-11-29,2026-03-26,FALSE
N/a'an ku se Foundation,naankuse_foundation,79,2026-02-05,2026-04-30,TRUE
Cheetah Conservation Fund,ccfcheetah,53,2026-02-09,2026-04-30,TRUE
Ocean Conservation Namibia,oceanconservationnamibia,64,2026-03-06,2026-04-30,TRUE
