variable,type,n,agree,kappa,kappa_ci_low,kappa_ci_high,changed,band,base_rate,degenerate,note
Normative,binary,99,1,1,1,1,0,almost perfect,0.020202020202020204,FALSE,
Youth_Addressed,binary,99,1,1,1,1,0,almost perfect,0.08080808080808081,FALSE,
Collective_ID,binary,99,0.98989898989899,0.9797917942437233,0.9403930307622701,1,1,almost perfect,0.48484848484848486,FALSE,
Efficacy,binary,99,0.98989898989899,0.9792583280955375,0.9388199385741811,1,1,almost perfect,0.5757575757575758,FALSE,
Scientific,binary,99,0.98989898989899,0.9702970297029704,0.9124006048943298,1,1,almost perfect,0.21212121212121213,FALSE,
Moral,binary,99,0.98989898989899,0.9692451071761418,0.9093002043323191,1,1,almost perfect,0.20202020202020202,FALSE,
Economic,binary,99,0.9696969696969697,0.8790224032586559,0.7452061474122497,1,3,almost perfect,0.13131313131313133,FALSE,
Empathy,binary,99,0.9696969696969697,0.8405797101449276,0.6652082262126989,1,3,almost perfect,0.12121212121212122,FALSE,
Threat,binary,99,0.9595959595959596,0.7785234899328857,0.5711905087362239,0.9858564711295474,4,substantial,0.08080808080808081,FALSE,
Protagonist,binary,96,0.84375,0.6825396825396826,0.5377609835435625,0.8273183815358026,15,substantial,0.53125,FALSE,
Youth_Style,binary,96,0.96875,0.6504854368932043,0.28233969246803503,1,3,substantial,0.052083333333333336,FALSE,
Onscreen_Text,binary,96,0.8541666666666666,0.6394849785407724,0.4676885272516783,0.8112814298298671,14,substantial,0.2708333333333333,FALSE,
Data_Visual,binary,96,0.9895833333333334,0,0,0,1,slight/none,0.010416666666666666,TRUE,kappa paradox (floor/ceiling base rate)
Interactivity,binary,99,0.9797979797979798,-0.010204081632656063,-0.024345221115887557,0.003937057850586647,2,slight/none,0.010101010101010102,TRUE,kappa paradox (floor/ceiling base rate)
Primary_CTA,multiclass,99,0.98989898989899,0.9750000000000001,0.92628232477007,1,1,almost perfect,NA,FALSE,
Story_Structure,multiclass,99,0.9595959595959596,0.938964241676942,0.8803401893701157,0.9975882939837684,4,almost perfect,NA,FALSE,
Primary_Topic,multiclass,98,0.8469387755102041,0.8082191780821917,0.7191951851245265,0.8972431710398568,15,almost perfect,NA,FALSE,
Emotional_Valence,multiclass,99,0.9090909090909091,0.7877560743211053,0.6567794495169252,0.9187326991252855,9,substantial,NA,FALSE,
Language,multiclass,99,0.98989898989899,0.6632653061224505,0.04576684147116583,1,1,substantial,NA,FALSE,
