variable,type,n,agree,kappa,kappa_ci_low,kappa_ci_high,disagree,band,base_rate,degenerate,note
Interactivity,binary,181,0.994475138121547,0.8543845534995979,0.5728066138889345,1,1,almost perfect,0.022099447513812154,FALSE,
Scientific,binary,182,0.9340659340659341,0.8452600255065892,0.7608289449541759,0.9296911060590025,12,almost perfect,0.3021978021978022,FALSE,
Youth_Addressed,binary,181,0.9668508287292817,0.7678495083368957,0.5890181613340597,0.9466808553397317,6,substantial,0.08287292817679558,FALSE,
Threat,binary,183,0.9289617486338798,0.7578132953272931,0.6335978036976372,0.8820287869569486,13,substantial,0.20218579234972678,FALSE,
Collective_ID,binary,184,0.8369565217391305,0.5940579496984851,0.46437261635311167,0.7237432830438579,30,moderate,0.2554347826086957,FALSE,
Efficacy,binary,184,0.7934782608695652,0.5924932975871312,0.482326475513629,0.7026601196606337,38,moderate,0.375,FALSE,
Empathy,binary,182,0.8186813186813187,0.5197505197505198,0.3786395608063614,0.6608614786946782,33,moderate,0.2857142857142857,FALSE,
Moral,binary,182,0.9175824175824175,0.4823663253697378,0.2676725304343588,0.6970601203051168,15,moderate,0.04395604395604396,FALSE,
Economic,binary,181,0.850828729281768,0.4711611297478629,0.30311912294342314,0.6392031365523027,27,moderate,0.19889502762430938,FALSE,
Data_Visual,binary,175,0.9828571428571429,0.3944636678200721,-0.1461492786770769,0.9350766143172133,3,fair,0.022857142857142857,TRUE,kappa paradox (floor/ceiling base rate)
Onscreen_Text,binary,174,0.7586206896551724,0.35315985130111527,0.1960729523431127,0.5102467502591174,42,fair,0.22413793103448276,FALSE,
Youth_Style,binary,175,0.96,0.34456928838951256,-0.024048838787689097,0.7131874155667131,7,fair,0.04,TRUE,kappa paradox (floor/ceiling base rate)
Protagonist,binary,176,0.5625,0.1798595981602518,0.06089142231747349,0.29882777400302984,77,slight/none,0.42045454545454547,FALSE,
Normative,binary,181,0.9613259668508287,0,0,0,7,slight/none,0.03867403314917127,TRUE,kappa paradox (floor/ceiling base rate)
Primary_CTA,multiclass,184,0.907608695652174,0.7991008349389853,0.7125437622258908,0.8856579076520794,17,substantial,NA,FALSE,
Primary_Topic,multiclass,183,0.7377049180327869,0.6865431966598866,0.6113849017619379,0.7617014915578353,48,substantial,NA,FALSE,
Story_Structure,multiclass,183,0.6775956284153005,0.4995596755504055,0.4029250421613858,0.5961943089394252,59,moderate,NA,FALSE,
Emotional_Valence,multiclass,183,0.7431693989071039,0.4669352339634336,0.3475447372837934,0.5863257306430734,47,moderate,NA,FALSE,
Language,multiclass,182,0.9945054945054945,0,-2.2409146066217813e-6,2.2409146066217813e-6,1,slight/none,NA,FALSE,
