variable,type,n_all,kappa_all,kappa_all_lo,kappa_all_hi,n_single,kappa_single,kappa_single_lo,kappa_single_hi,kappa_gain
Youth_Style,binary,175,0.34456928838951256,-0.024048838787689097,0.7131874155667131,58,0.6588235294117637,0.0356943224814672,1,0.31425424102225114
Onscreen_Text,binary,174,0.35315985130111527,0.1960729523431127,0.5102467502591174,57,0.6303501945525292,0.42372238636094733,0.8369780027441105,0.2771903432514139
Data_Visual,binary,175,0.3944636678200721,-0.1461492786770769,0.9350766143172133,58,0.6588235294117637,0.0356943224814672,1,0.2643598615916916
Threat,binary,183,0.7578132953272931,0.6335978036976372,0.8820287869569486,62,1,1,1,0.24218670467270687
Economic,binary,181,0.4711611297478629,0.30311912294342314,0.6392031365523027,60,0.6212121212121212,0.32094491662363084,0.9214793258006118,0.15005099146425832
Interactivity,binary,181,0.8543845534995979,0.5728066138889345,1,60,1,1,1,0.14561544650040215
Efficacy,binary,184,0.5924932975871312,0.482326475513629,0.7026601196606337,62,0.713846153846154,0.5482244354651087,0.8794678722271989,0.12135285625902281
Story_Structure,multiclass,183,0.4995596755504055,0.4029250421613858,0.5961943089394252,62,0.6182937554969217,0.4519184930273028,0.7846690179665405,0.11873407994651619
Moral,binary,182,0.4823663253697378,0.2676725304343588,0.6970601203051168,61,0.576976421636616,0.2550609569916097,0.898891886281621,0.09461009626687822
Emotional_Valence,multiclass,183,0.4669352339634336,0.3475447372837934,0.5863257306430734,62,0.5526695526695528,0.31953343431505415,0.7858056710240513,0.08573431870611914
Primary_Topic,multiclass,183,0.6865431966598866,0.6113849017619379,0.7617014915578353,61,0.7713798977853492,0.6500365686258192,0.8927232269448793,0.0848367011254626
Primary_CTA,multiclass,184,0.7991008349389853,0.7125437622258908,0.8856579076520794,62,0.857011070110701,0.739865537734221,0.9741566024871814,0.057910235171715674
Scientific,binary,182,0.8452600255065892,0.7608289449541759,0.9296911060590025,61,0.8836617927527017,0.7555153734025966,1,0.03840176724611255
Collective_ID,binary,184,0.5940579496984851,0.46437261635311167,0.7237432830438579,62,0.60849598163031,0.40061911295800734,0.8163728503026125,0.014438031931824913
Protagonist,binary,176,0.1798595981602518,0.06089142231747349,0.29882777400302984,58,0.19284294234592456,0.04507609699574322,0.3406097876961055,0.012983344185672763
Normative,binary,181,0,0,0,60,0,0,0,0
Youth_Addressed,binary,181,0.7678495083368957,0.5890181613340597,0.9466808553397317,60,0.7413793103448273,0.46274875103136587,1,-0.0264701979920684
Empathy,binary,182,0.5197505197505198,0.3786395608063614,0.6608614786946782,61,0.16438356164383555,-0.15615005564581003,0.48491717893348113,-0.3553669581066842
